DATOS MÓVILES 2020_CRUZ ROJA,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,NO2,MO3,MSO2,MCO,MPM10,MPM2.5,
FEB,16,9,20.31,14.7,17.97,1.7,51.82,27.06,
FEB,16,10,16.6,14.91,16.43,1.74,52.33,27.29,
FEB,16,11,15.18,18.29,14.3,1.78,52.19,27.47,
FEB,16,12,17.43,23.88,14.92,1.81,52.2,27.09,
FEB,16,13,17.47,31.48,16.62,1.84,52.99,27.57,
FEB,16,14,15.23,41.15,16.28,1.86,53.61,28.65,
FEB,16,15,12.56,50.53,16.1,1.87,53.58,28.37,
FEB,16,16,10.85,59.83,15.69,1.81,53.15,28.33,
FEB,16,17,8.74,69.7,15.58,1.7,52.9,28.31,
FEB,16,18,10.74,76.77,15.74,1.69,52.25,28.1,
FEB,16,19,21.02,76.79,15.78,1.71,52.02,28.28,
FEB,16,20,31.79,72.83,15.79,1.82,51.13,28.32,
FEB,16,21,33.19,65.73,15.79,1.96,49.31,28.65,
FEB,16,22,12.32,60.19,15.7,1.92,48.65,28.5,
FEB,16,23,20.87,51.56,15.76,1.94,47.98,28.03,
FEB,17,0,14.31,44.39,15.52,1.92,47.61,27.99,
FEB,17,1,13.97,35.6,15.55,1.91,46.8,27.83,
FEB,17,2,13.08,27.04,15.48,1.89,46.6,27.79,
FEB,17,3,11.9,23.15,15.5,1.82,46.43,27.9,
FEB,17,4,11.64,22.96,15.53,1.65,45.88,27.58,
FEB,17,5,13.83,23.2,15.44,1.48,45.52,27.37,
FEB,17,6,15.17,19.38,15.36,1.47,45.12,27.33,
FEB,17,7,17.5,18.08,15.66,1.46,48.02,26.92,
FEB,17,8,17.49,16.22,16.72,1.51,47.63,26.27,
FEB,17,9,16.53,16.13,17.28,1.57,46.95,25.64,
FEB,17,10,15.99,16.12,17.69,1.62,46.62,25.17,
FEB,17,11,19.15,15.63,19.42,1.66,46.94,25.05,
FEB,17,12,14.82,17.22,18.33,1.7,46.73,25.32,
FEB,17,13,13.86,21.39,16.78,1.73,45.92,24.86,
FEB,17,14,13.88,25.49,15.83,1.75,44.47,23.57,
FEB,17,15,13.24,29.72,15.77,1.73,43.72,23.01,
FEB,17,16,11.8,34.11,16.18,1.69,43.47,22.37,
FEB,17,17,11.42,38.04,16.62,1.64,42.82,21.85,
FEB,17,18,17.62,40.95,17.04,1.64,42.38,21.33,
FEB,17,19,25.84,42.05,17.69,1.72,42.9,20.63,
FEB,17,20,32.13,39.04,18.42,1.9,42.83,20.24,
FEB,17,21,28.52,34.03,18.27,2.01,43.05,19.48,
FEB,17,22,21.45,31.23,18.83,2.05,44.02,19.53,
FEB,17,23,15.04,29.31,19.08,2.06,45.05,20.09,
,,,,,,,,,
,,,,,,,,,
