DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.,PM2.5 Promedio ponderado  de 12 hrs.,NO2 Horario
JUN,12,18,31.12,30.36,52.41,0.84,15.62,NA,4.23
JUN,12,19,31.02,31.26,56.74,0.83,22.13,NA,3.38
JUN,12,20,35.92,32.56,56.79,0.76,25.16,NA,0.92
JUN,12,21,36.66,33.52,56.78,0.75,23.14,NA,NA
JUN,12,22,37.17,34.17,56.78,0.73,22.09,11,0.33
JUN,12,23,38.47,34.88,56.78,0.70,17.71,12,NA
JUN,13,0,32.44,34.79,58.59,0.60,21.11,10,5.89
JUN,13,1,32.13,34.37,63.93,0.58,29.11,13,5.02
JUN,13,2,34.13,34.74,67.64,0.61,27.12,15,4.92
JUN,13,3,42.94,36.24,67.82,0.60,28.54,16,NA
JUN,13,4,40.01,36.75,70.20,0.73,26.85,12,NA
JUN,13,5,35.75,36.63,62.04,0.84,24.27,12,2.25
JUN,13,6,34.75,36.33,63.00,1.04,23.25,13,2.94
JUN,13,7,32.48,35.58,62.41,1.13,23.52,13,4.93
JUN,13,8,36.14,36.04,55.47,1.31,23.43,16,2.23
JUN,13,9,39.30,36.94,57.14,1.41,22.22,12,2.06
JUN,13,10,42.92,38.04,56.33,1.43,21.35,13,NA
JUN,13,11,44.55,38.24,55.32,1.49,17.89,13,NA
JUN,13,12,43.32,38.65,56.21,1.36,22.41,14,3.67
JUN,13,13,46.36,39.98,57.67,1.28,38.97,19,3.22
JUN,13,14,47.77,41.60,58.75,1.12,163.45,18,2.84
JUN,13,15,48.23,43.57,59.27,1.06,159.27,13,NA
JUN,13,16,49.30,45.22,58.51,0.88,84.35,14,NA
JUN,13,17,51.26,46.71,57.60,0.77,44.92,14,NA
JUN,13,18,53.62,48.05,54.05,0.71,28.92,11,NA
JUN,13,19,52.69,49.07,49.71,0.65,23.06,8,NA
JUN,13,20,49.78,49.88,49.62,0.65,22.14,7,2.23
JUN,13,21,45.02,49.71,49.59,0.62,22.42,7,3.69
JUN,13,22,45.41,49.41,49.60,0.58,20.69,7,NA
JUN,13,23,39.81,48.36,50.46,0.67,19.20,8,NA
JUN,14,0,32.17,46.22,50.31,0.69,20.35,8,7.53
JUN,14,1,28.77,43.41,46.68,0.69,23.58,17,7.03
JUN,14,2,29.50,40.39,47.15,0.70,21.45,17,5.94
JUN,14,3,35.42,38.24,50.45,0.79,19.63,10,2.16
JUN,14,4,36.97,36.63,45.40,0.87,18.29,13,NA
JUN,14,5,33.98,35.25,43.04,0.87,18.13,15,2.24
JUN,14,6,31.97,33.57,40.19,0.87,15.92,12,2.09
JUN,14,7,34.11,32.86,36.48,0.81,14.34,12,2.77
JUN,14,8,31.95,32.83,37.72,0.83,14.16,12,4.00
JUN,14,9,42.26,34.52,37.83,0.83,14.24,14,1.12
JUN,14,10,43.45,36.26,37.51,0.87,17.82,16,1.54
JUN,14,11,46.49,37.65,37.12,0.83,18.45,19,1.54
JUN,14,12,49.75,39.25,36.20,0.76,18.14,20,2.24
JUN,14,13,51.00,41.37,34.69,0.77,57.34,18,2.89
JUN,14,14,53.63,44.08,33.52,0.78,172.14,15,2.75
JUN,14,15,55.12,46.71,32.92,0.74,114.20,16,3.85
JUN,14,16,57.69,49.92,33.01,0.70,69.70,15,2.10
JUN,14,17,58.39,51.94,33.13,0.71,43.41,14,2.05
JUN,14,18,56.47,53.57,33.16,0.68,34.00,14,NA
JUN,14,19,52.25,54.29,34.23,0.64,28.20,15,NA
JUN,14,20,46.65,53.90,34.24,0.63,27.27,14,2.57
JUN,14,21,43.08,52.91,34.23,0.62,25.37,12,2.15
JUN,14,22,43.55,51.65,34.20,0.61,21.50,9,0.75
JUN,14,23,41.64,49.97,33.34,0.60,24.02,9,NA
