DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2020,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm],,,,
NOV,15,1,0.0287,0.0225,0.0058,2.002,89,39,0.0230,,,,
NOV,15,2,0.0194,0.0186,0.0055,1.958,76,32,0.0250,,,,
NOV,15,3,0.0193,0.0190,0.0055,1.830,71,32,0.0244,,,,
NOV,15,4,0.0170,0.0194,0.0056,1.715,67,29,0.0237,,,,
NOV,15,5,0.0172,0.0199,0.0057,1.609,70,29,0.0251,,,,
NOV,15,6,0.0181,0.0199,0.0058,1.519,68,29,0.0228,,,,
NOV,15,7,0.0166,0.0198,0.0059,1.458,64,29,0.0230,,,,
NOV,15,8,0.0127,0.0186,0.0060,1.444,62,26,0.0278,,,,
NOV,15,9,0.0257,0.0183,0.0079,1.444,57,26,0.0186,,,,
NOV,15,10,0.0394,0.0208,0.0084,1.434,57,29,0.0155,,,,
NOV,15,11,0.0526,0.0249,0.0090,1.425,59,28,0.0157,,,,
NOV,15,12,0.0666,0.0311,0.0096,1.422,60,27,0.0130,,,,
NOV,15,13,0.0704,0.0378,0.0108,1.420,56,23,0.0101,,,,
NOV,15,14,0.0750,0.0449,0.0110,1.398,52,21,0.0106,,,,
NOV,15,15,0.0767,0.0524,0.0120,1.374,44,19,0.0095,,,,
NOV,15,16,0.0642,0.0588,0.0134,1.324,50,18,0.0078,,,,
NOV,15,17,0.0599,0.0631,0.0158,1.293,69,23,0.0077,,,,
NOV,15,18,0.0515,0.0646,0.0168,1.274,72,26,0.0061,,,,
NOV,15,19,0.0440,0.0635,0.0168,1.237,79,18,0.0059,,,,
NOV,15,20,0.0430,0.0606,0.0167,1.201,66,16,0.0058,,,,
NOV,15,21,0.0429,0.0572,0.0167,1.166,53,16,0.0049,,,,
NOV,15,22,0.0432,0.0532,0.0166,1.143,40,13,0.0050,,,,
NOV,15,23,0.0429,0.0490,0.0163,1.124,29,11,0.0051,,,,
NOV,16,0,0.0424,0.0462,0.0166,1.179,23,10,0.0051,,,,
NOV,16,1,0.0417,0.0440,0.0174,1.287,22,10,0.0055,,,,
NOV,16,2,0.0404,0.0426,0.0179,1.327,22,11,0.0048,,,,
NOV,16,3,0.0341,0.0413,0.0184,1.352,23,11,0.0067,,,,
NOV,16,4,0.0293,0.0396,0.0207,1.357,27,10,0.0098,,,,
NOV,16,5,0.0255,0.0374,0.0234,1.384,28,18,0.0106,,,,
NOV,16,6,0.0245,0.0351,0.0254,1.418,28,20,0.0116,,,,
NOV,16,7,0.0274,0.0332,0.0281,1.491,26,21,0.0115,,,,
NOV,16,8,0.0248,0.0310,0.0290,1.525,25,17,0.0119,,,,
NOV,16,9,0.0355,0.0302,0.0297,1.488,21,20,0.0063,,,,
NOV,16,10,0.0352,0.0295,0.0308,1.440,21,20,0.0066,,,,
NOV,16,11,0.0388,0.0301,0.0313,1.420,22,NA,0.0077,,,,
NOV,16,12,0.0398,0.0314,0.0317,1.424,26,NA,0.0071,,,,
NOV,16,13,0.0384,0.0331,0.0315,1.411,28,15,0.0072,,,,
NOV,16,14,0.0374,0.0347,0.0319,1.422,25,17,0.0060,,,,
NOV,16,15,0.0414,0.0364,0.0310,1.379,21,10,0.0053,,,,
NOV,16,16,0.0446,0.0389,0.0296,1.282,18,7,0.0053,,,,
NOV,16,17,0.0437,0.0399,0.0272,1.203,23,6,0.0056,,,,
NOV,16,18,0.0411,0.0406,0.0262,1.197,27,6,0.0055,,,,
NOV,16,19,0.0380,0.0405,0.0262,1.193,29,5,0.0057,,,,
NOV,16,20,0.0351,0.0399,0.0262,1.187,25,3,0.0063,,,,
NOV,16,21,0.0356,0.0396,0.0262,1.175,21,2,0.0054,,,,
NOV,16,22,0.0353,0.0393,0.0262,1.132,18,2,0.0048,,,,
NOV,16,23,0.0326,0.0382,0.0264,1.138,15,3,0.0062,,,,
NOV,17,0,0.0317,0.0366,0.0293,1.341,15,3,0.0070,,,,
NOV,17,1,0.0288,0.0348,0.0321,1.637,NA,NA,0.0094,,,,
NOV,17,2,0.0293,0.0333,0.0337,1.917,18,5,0.0081,,,,
NOV,17,3,0.0331,0.0327,0.0331,1.910,13,5,0.0046,,,,
NOV,17,4,0.0331,0.0324,0.0307,1.908,9,6,0.0048,,,,
NOV,17,5,0.0336,0.0322,0.0278,1.907,10,6,0.0044,,,,
NOV,17,6,0.0330,0.0319,0.0257,1.909,10,5,0.0045,,,,
NOV,17,7,0.0299,0.0316,0.0290,2.043,10,4,0.0083,,,,
NOV,17,8,0.0290,0.0312,0.0372,2.007,15,4,0.0091,,,,
NOV,17,9,0.0318,0.0316,0.0444,1.751,16,8,0.0082,,,,
NOV,17,10,0.0329,0.0321,0.0444,1.482,13,8,0.0067,,,,
NOV,17,11,0.0361,0.0324,0.0445,1.527,15,8,0.0062,,,,
NOV,17,12,0.0391,0.0332,0.0442,1.565,13,7,0.0066,,,,
NOV,17,13,0.0408,0.0341,0.0437,1.605,17,6,0.0056,,,,
NOV,17,14,0.0394,0.0349,0.0432,1.632,17,5,0.0058,,,,
NOV,17,15,0.0390,0.0360,0.0435,1.498,15,5,0.0058,,,,
NOV,17,16,0.0352,0.0368,0.0437,1.358,25,3,0.0066,,,,
NOV,17,17,0.0330,0.0369,0.0437,1.325,22,3,0.0064,,,,
NOV,17,18,0.0320,0.0368,0.0437,1.323,21,3,0.0069,,,,
NOV,17,19,0.0317,0.0363,0.0437,1.293,18,3,0.0071,,,,
NOV,17,20,0.0283,0.0349,0.0437,1.301,44,3,0.0082,,,,
NOV,17,21,0.0312,0.0337,0.0437,1.269,31,38,0.0063,,,,
NOV,17,22,0.0329,0.0329,0.0437,1.248,18,20,0.0058,,,,
NOV,17,23,0.0330,0.0322,0.0435,1.215,11,11,0.0058,,,,
NOV,18,0,0.0358,0.0322,0.0403,1.186,6,7,0.0048,,,,
NOV,18,1,0.0361,0.0326,0.0365,1.176,8,5,0.0046,,,,
NOV,18,2,0.0387,0.0335,0.0344,1.165,7,4,0.0038,,,,
NOV,18,3,0.0383,0.0343,0.0344,1.162,6,3,0.0039,,,,
NOV,18,4,0.0356,0.0352,0.0360,1.134,5,2,0.0048,,,,
NOV,18,5,0.0403,0.0363,0.0407,1.130,8,3,0.0052,,,,
NOV,18,6,0.0394,0.0371,0.0458,1.126,9,3,0.0062,,,,
NOV,18,7,0.0367,0.0376,0.0446,1.125,11,3,0.0089,,,,
NOV,18,8,0.0335,0.0373,0.0366,1.127,15,3,0.0107,,,,
NOV,18,9,0.0368,0.0374,0.0289,1.132,16,4,0.0083,,,,
NOV,18,10,0.0415,0.0378,0.0305,1.181,15,5,0.0062,,,,
NOV,18,11,0.0442,0.0385,0.0313,1.200,16,5,0.0062,,,,
NOV,18,12,0.0469,0.0399,0.0321,1.186,18,6,0.0071,,,,
NOV,18,13,0.0495,0.0411,0.0335,1.188,28,8,0.0073,,,,
NOV,18,14,0.0489,0.0422,0.0354,1.193,40,9,0.0082,,,,
NOV,18,15,0.0502,0.0439,0.0369,1.197,43,16,0.0068,,,,
NOV,18,16,0.0515,0.0462,0.0384,1.206,44,13,0.0070,,,,
NOV,18,17,0.0503,0.0479,0.0407,1.208,44,11,0.0076,,,,
NOV,18,18,0.0435,0.0481,0.0434,1.192,43,12,0.0091,,,,
NOV,18,19,0.0401,0.0476,0.0479,1.280,38,9,0.0090,,,,
NOV,18,20,0.0372,0.0464,0.0524,1.489,31,7,0.0085,,,,
NOV,18,21,0.0360,0.0447,0.0555,1.557,25,6,0.0074,,,,
NOV,18,22,0.0353,0.0430,0.0565,1.690,21,5,0.0064,,,,
NOV,18,23,0.0358,0.0412,0.0565,1.689,17,4,0.0059,,,,
NOV,19,0,0.0353,0.0392,0.0622,1.768,14,3,0.0077,,,,
NOV,19,1,0.0343,0.0372,0.0653,2.105,11,4,0.0083,,,,
NOV,19,2,0.0350,0.0361,0.0709,2.211,12,3,0.0071,,,,
NOV,19,3,0.0379,0.0358,0.0710,2.096,11,3,0.0042,,,,
NOV,19,4,0.0341,0.0355,0.0694,1.883,9,4,0.0053,,,,
NOV,19,5,0.0336,0.0352,0.0647,1.812,8,3,0.0059,,,,
NOV,19,6,0.0333,0.0349,0.0598,1.711,9,2,0.0058,,,,
NOV,19,7,0.0302,0.0342,0.0548,1.713,6,2,0.0086,,,,
NOV,19,8,0.0271,0.0332,0.0531,1.638,9,3,0.0108,,,,
NOV,19,9,0.0328,0.0330,0.0511,1.359,7,3,0.0082,,,,
NOV,19,10,0.0405,0.0337,0.0492,1.326,11,4,0.0064,,,,
NOV,19,11,0.0440,0.0345,0.0486,1.363,13,5,0.0061,,,,
NOV,19,12,0.0464,0.0360,0.0493,1.372,14,5,0.0064,,,,
NOV,19,13,0.0485,0.0379,0.0492,1.377,25,5,0.0070,,,,
NOV,19,14,0.0483,0.0397,0.0492,1.348,30,10,0.0079,,,,
NOV,19,15,0.0515,0.0424,0.0491,1.353,31,14,0.0075,,,,
NOV,19,16,0.0528,0.0456,0.0491,1.348,51,11,0.0082,,,,
NOV,19,17,0.0525,0.0481,0.0482,1.301,50,15,0.0097,,,,
NOV,19,18,0.0476,0.0490,0.0472,1.214,49,15,0.0114,,,,
NOV,19,19,0.0351,0.0478,0.0427,1.190,43,13,0.0089,,,,
NOV,19,20,0.0313,0.0460,0.0381,1.190,36,10,0.0070,,,,
NOV,19,21,0.0311,0.0438,0.0350,1.191,27,10,0.0058,,,,
NOV,19,22,0.0349,0.0421,0.0340,1.186,22,6,0.0053,,,,
NOV,19,23,0.0344,0.0400,0.0340,1.179,17,4,0.0052,,,,
NOV,20,0,0.0322,0.0374,0.0293,1.228,13,3,0.0061,,,,
NOV,20,1,0.0311,0.0347,0.0315,1.337,15,2,0.0083,,,,
NOV,20,2,0.0306,0.0326,0.0301,1.379,14,4,0.0075,,,,
NOV,20,3,0.0297,0.0319,0.0333,1.489,15,5,0.0087,,,,
NOV,20,4,0.0287,0.0316,0.0379,1.613,14,6,0.0092,,,,
NOV,20,5,0.0261,0.0310,0.0398,1.613,15,6,0.0084,,,,
NOV,20,6,0.0223,0.0294,0.0418,1.613,18,9,0.0119,,,,
NOV,20,7,0.0194,0.0275,0.0447,1.614,21,12,0.0142,,,,
NOV,20,8,0.0200,0.0260,0.0477,1.564,24,14,0.0136,,,,
NOV,20,9,0.0272,0.0255,0.0492,1.450,21,15,0.0100,,,,
NOV,20,10,0.0325,0.0257,0.0498,1.402,21,14,0.0080,,,,
NOV,20,11,0.0370,0.0266,0.0496,1.290,23,13,0.0070,,,,
NOV,20,12,0.0397,0.0280,0.0489,1.170,22,11,0.0072,,,,
NOV,20,13,0.0456,0.0305,0.0486,1.211,21,12,0.0059,,,,
NOV,20,14,0.0481,0.0337,0.0477,1.235,19,9,0.0060,,,,
NOV,20,15,0.0498,0.0375,0.0477,1.275,19,7,0.0059,,,,
NOV,20,16,0.0491,0.0411,0.0480,1.360,21,6,0.0060,,,,
NOV,20,17,0.0466,0.0435,0.0498,1.367,21,6,0.0058,,,,
NOV,20,18,0.0411,0.0446,0.0515,1.371,28,7,0.0084,,,,
NOV,20,19,0.0290,0.0436,0.0543,1.381,38,12,0.0133,,,,
NOV,20,20,0.0295,0.0423,0.0599,1.450,40,12,0.0106,,,,
NOV,20,21,0.0323,0.0407,0.0639,1.491,29,7,0.0077,,,,
NOV,20,22,0.0294,0.0383,0.0646,1.547,25,6,0.0067,,,,
NOV,20,23,0.0292,0.0358,0.0648,1.524,18,4,0.0059,,,,
NOV,21,0,0.0311,0.0335,0.0642,1.494,12,3,0.0057,,,,
NOV,21,1,0.0300,0.0315,0.0659,1.621,15,4,0.0083,,,,
NOV,21,2,0.0293,0.0300,0.0662,1.737,12,4,0.0081,,,,
NOV,21,3,0.0338,0.0306,0.0630,1.737,8,3,0.0044,,,,
NOV,21,4,0.0349,0.0313,0.0587,1.694,7,3,0.0042,,,,
NOV,21,5,0.0318,0.0312,0.0606,1.715,6,NA,0.0071,,,,
NOV,21,6,0.0272,0.0309,0.0685,1.705,9,NA,0.0082,,,,
NOV,21,7,0.0252,0.0304,0.0684,1.886,9,6,0.0104,,,,
NOV,21,8,0.0135,0.0282,0.0670,1.871,17,7,0.0176,,,,
NOV,21,9,0.0208,0.0271,0.0660,1.758,17,11,0.0121,,,,
NOV,21,10,0.0302,0.0272,0.0654,1.646,21,10,0.0089,,,,
NOV,21,11,0.0362,0.0275,0.0660,1.724,20,9,0.0074,,,,
NOV,21,12,0.0405,0.0282,0.0678,1.737,17,7,0.0059,,,,
NOV,21,13,0.0419,0.0295,0.0680,1.663,15,7,0.0061,,,,
NOV,21,14,0.0443,0.0316,0.0685,1.616,14,4,0.0066,,,,
NOV,21,15,0.0449,0.0340,0.0684,1.428,19,8,0.0066,,,,
NOV,21,16,0.0450,0.0380,0.0680,1.392,24,6,0.0068,,,,
NOV,21,17,0.0438,0.0409,0.0665,1.373,57,6,0.0067,,,,
NOV,21,18,0.0390,0.0420,0.0651,1.368,46,11,0.0091,,,,
NOV,21,19,0.0335,0.0416,0.0646,1.287,39,11,0.0096,,,,
NOV,21,20,0.0328,0.0407,0.0592,1.254,32,8,0.0064,,,,
NOV,21,21,0.0316,0.0394,0.0553,1.232,25,6,0.0057,,,,
NOV,21,22,0.0315,0.0378,0.0546,1.222,18,4,0.0059,,,,
NOV,21,23,0.0303,0.0359,0.0561,1.269,14,3,0.0065,,,,
NOV,22,0,0.0321,0.0343,0.0558,1.297,11,2,0.0053,,,,
NOV,22,1,0.0323,0.0329,0.0493,1.359,7,2,0.0047,,,,
NOV,22,2,0.0316,0.0320,0.0451,1.373,7,1,0.0048,,,,
NOV,22,3,0.0266,0.0311,0.0485,1.391,8,1,0.0071,,,,
NOV,22,4,0.0211,0.0296,0.0519,1.386,10,2,0.0104,,,,
NOV,22,5,0.0194,0.0281,0.0494,1.381,14,5,0.0095,,,,
NOV,22,6,0.0192,0.0266,0.0403,1.374,15,7,0.0091,,,,
NOV,22,7,0.0138,0.0245,0.0418,1.319,20,7,0.0164,,,,
NOV,22,8,0.0170,0.0226,0.0434,1.295,27,17,0.0128,,,,
NOV,22,9,0.0226,0.0214,0.0452,1.233,24,23,0.0108,,,,
NOV,22,10,0.0337,0.0217,0.0464,1.223,19,19,0.0059,,,,
NOV,22,11,0.0377,0.0231,0.0458,1.200,13,12,0.0061,,,,
NOV,22,12,0.0414,0.0256,0.0434,1.217,15,16,0.0058,,,,
NOV,22,13,0.0441,0.0287,0.0434,1.228,13,9,0.0069,,,,
NOV,22,14,0.0441,0.0318,0.0425,1.239,16,7,0.0061,,,,
NOV,22,15,0.0442,0.0356,0.0409,1.246,11,5,0.0066,,,,
NOV,22,16,0.0462,0.0392,0.0395,1.247,11,4,0.0069,,,,
NOV,22,17,0.0484,0.0425,0.0378,1.246,14,3,0.0059,,,,
NOV,22,18,0.0466,0.0441,0.0369,1.243,18,3,0.0058,,,,
NOV,22,19,0.0381,0.0441,0.0345,1.244,24,3,0.0071,,,,
NOV,22,20,0.0364,0.0435,0.0343,1.227,26,3,0.0055,,,,
NOV,22,21,0.0354,0.0424,0.0343,1.217,28,3,0.0049,,,,
NOV,22,22,0.0358,0.0414,0.0343,1.204,25,4,0.0043,,,,
NOV,22,23,0.0355,0.0403,0.0329,1.198,20,4,0.0046,,,,
NOV,23,0,0.0307,0.0384,0.0357,1.225,16,NA,0.0071,,,,
NOV,23,1,0.0339,0.0365,0.0428,1.284,16,NA,0.0066,,,,
NOV,23,2,0.0333,0.0349,0.0491,1.402,15,3,0.0067,,,,
NOV,23,3,0.0373,0.0348,0.0457,1.406,13,4,0.0037,,,,
NOV,23,4,0.0371,0.0349,0.0423,1.441,10,3,0.0042,,,,
NOV,23,5,0.0378,0.0352,0.0414,1.484,7,2,0.0038,,,,
NOV,23,6,0.0286,0.0343,0.0414,1.499,8,2,0.0079,,,,
NOV,23,7,0.0180,0.0321,0.0392,1.510,17,3,0.0144,,,,
NOV,23,8,0.0141,0.0300,0.0378,1.545,22,9,0.0186,,,,
NOV,23,9,0.0351,0.0301,0.0413,1.505,19,10,0.0070,,,,
NOV,23,10,0.0371,0.0306,0.0418,1.383,17,9,0.0061,,,,
NOV,23,11,0.0393,0.0309,0.0422,1.394,17,7,0.0065,,,,
NOV,23,12,0.0444,0.0318,0.0421,1.395,18,7,0.0068,,,,
NOV,23,13,0.0497,0.0333,0.0415,1.375,15,7,0.0063,,,,
NOV,23,14,0.0527,0.0363,0.0412,1.381,16,7,0.0080,,,,
NOV,23,15,0.0555,0.0410,0.0415,1.392,19,7,0.0093,,,,
NOV,23,16,0.0578,0.0464,0.0418,1.356,24,10,0.0087,,,,
NOV,23,17,0.0576,0.0492,0.0423,1.378,25,8,0.0099,,,,
NOV,23,18,0.0501,0.0509,0.0417,1.421,29,9,0.0166,,,,
NOV,23,19,0.0171,0.0481,0.0420,2.336,39,10,0.0400,,,,
NOV,23,20,0.0107,0.0439,0.0424,2.553,51,11,0.0380,,,,
NOV,23,21,0.0316,0.0416,0.0424,2.551,46,14,0.0126,,,,
NOV,23,22,0.0301,0.0388,0.0445,2.560,36,9,0.0102,,,,
NOV,23,23,0.0221,0.0346,0.0457,2.552,34,7,0.0142,,,,
NOV,24,0,0.0204,0.0300,0.0433,2.535,34,7,0.0104,,,,
NOV,24,1,0.0161,0.0248,0.0369,2.495,36,7,0.0157,,,,
NOV,24,2,0.0192,0.0209,0.0311,2.458,29,7,0.0111,,,,
NOV,24,3,0.0139,0.0205,0.0316,1.531,26,6,0.0168,,,,
NOV,24,4,0.0136,0.0209,0.0325,1.287,28,7,0.0166,,,,
NOV,24,5,0.0122,0.0185,0.0328,1.279,26,10,0.0186,,,,
NOV,24,6,0.0108,0.0160,0.0331,1.269,29,11,0.0217,,,,
NOV,24,7,0.0113,0.0147,0.0318,1.293,31,15,0.0207,,,,
NOV,24,8,0.0125,0.0137,0.0313,1.298,32,13,0.0210,,,,
NOV,24,9,0.0166,0.0138,0.0263,1.327,33,17,0.0200,,,,
NOV,24,10,0.0243,0.0144,0.0239,1.340,32,17,0.0148,,,,
NOV,24,11,0.0338,0.0169,0.0221,1.351,34,20,0.0132,,,,
NOV,24,12,0.0488,0.0213,0.0215,1.368,37,16,0.0156,,,,
NOV,24,13,0.0611,0.0274,0.0207,1.379,37,17,0.0140,,,,
NOV,24,14,0.0705,0.0349,0.0200,1.380,38,17,0.0121,,,,
NOV,24,15,0.0730,0.0426,0.0197,1.360,35,14,0.0099,,,,
NOV,24,16,0.0735,0.0502,0.0193,1.357,35,15,0.0104,,,,
NOV,24,17,0.0694,0.0568,0.0188,1.354,37,14,0.0133,,,,
NOV,24,18,0.0685,0.0623,0.0183,1.384,47,19,0.0210,,,,
NOV,24,19,0.0237,0.0611,0.0182,2.468,60,18,0.0512,,,,
NOV,24,20,0.0097,0.0562,0.0181,2.997,70,18,0.0564,,,,
NOV,24,21,0.0097,0.0497,0.0180,3.369,97,28,0.0576,,,,
NOV,24,22,0.0113,0.0423,0.0159,3.635,139,35,0.0466,,,,
NOV,24,23,0.0114,0.0346,0.0144,3.724,127,37,0.0400,,,,
NOV,25,0,0.0130,0.0271,0.0136,3.812,118,37,0.0380,,,,
NOV,25,1,0.0129,0.0200,0.0125,3.872,109,37,0.0373,,,,
NOV,25,2,0.0108,0.0128,0.0117,3.893,96,33,0.0348,,,,
NOV,25,3,0.0116,0.0113,0.0112,2.850,90,35,0.0344,,,,
NOV,25,4,0.0127,0.0117,0.0100,2.347,84,34,0.0328,,,,
NOV,25,5,0.0108,0.0118,0.0094,1.994,80,32,0.0314,,,,
NOV,25,6,0.0111,0.0118,0.0081,1.760,71,29,0.0312,,,,
NOV,25,7,0.0125,0.0119,0.0076,1.725,89,29,0.0319,,,,
NOV,25,8,0.0128,0.0119,0.0068,1.772,99,33,0.0340,,,,
NOV,25,9,0.0178,0.0125,0.0061,1.783,94,39,0.0346,,,,
NOV,25,10,0.0305,0.0150,0.0058,1.779,96,40,0.0287,,,,
NOV,25,11,0.0498,0.0198,0.0057,1.767,90,43,0.0213,,,,
NOV,25,12,0.0687,0.0268,0.0058,1.788,66,38,0.0189,,,,
NOV,25,13,0.0780,0.0352,0.0063,1.814,56,34,0.0160,,,,
NOV,25,14,0.0832,0.0442,0.0065,1.799,43,26,0.0146,,,,
NOV,25,15,0.0960,0.0546,0.0072,1.775,40,24,0.0145,,,,
NOV,25,16,0.0830,0.0634,0.0073,1.666,42,26,0.0169,,,,
NOV,25,17,0.0755,0.0706,0.0074,1.607,42,24,0.0177,,,,
NOV,25,18,0.0600,0.0743,0.0074,1.608,44,23,0.0275,,,,
NOV,25,19,0.0236,0.0710,0.0071,1.771,53,17,0.0486,,,,
NOV,25,20,0.0110,0.0638,0.0069,1.977,68,21,0.0535,,,,
NOV,25,21,0.0108,0.0554,0.0068,2.098,97,28,0.0473,,,,
NOV,25,22,0.0112,0.0464,0.0068,2.368,118,32,0.0450,,,,
NOV,25,23,0.0225,0.0372,0.0074,2.436,135,42,0.0436,,,,
NOV,26,0,0.0294,0.0305,0.0111,2.436,109,40,0.0241,,,,
NOV,26,1,0.0321,0.0251,0.0143,2.427,77,30,0.0195,,,,
NOV,26,2,0.0312,0.0215,0.0199,2.376,55,19,0.0205,,,,
NOV,26,3,0.0257,0.0217,0.0208,2.184,49,18,0.0221,,,,
NOV,26,4,0.0294,0.0240,0.0215,1.925,44,17,0.0250,,,,
NOV,26,5,0.0207,0.0253,0.0234,1.753,46,21,0.0264,,,,
NOV,26,6,0.0150,0.0257,0.0263,1.470,48,23,0.0293,,,,
NOV,26,7,0.0149,0.0248,0.0282,1.389,49,24,0.0287,,,,
NOV,26,8,0.0156,0.0231,0.0287,1.399,49,24,0.0296,,,,
NOV,26,9,0.0211,0.0217,0.0302,1.413,54,25,0.0271,,,,
NOV,26,10,0.0317,0.0218,0.0310,1.435,57,25,0.0237,,,,
NOV,26,11,0.0443,0.0241,0.0330,1.449,58,28,0.0197,,,,
NOV,26,12,0.0646,0.0285,0.0327,1.461,62,34,0.0163,,,,
NOV,26,13,0.0767,0.0355,0.0322,1.476,55,26,0.0151,,,,
NOV,26,14,0.0866,0.0444,0.0323,1.498,53,23,0.0158,,,,
NOV,26,15,0.0994,0.0550,0.0317,1.492,51,23,0.0107,,,,
NOV,26,16,0.0891,0.0642,0.0317,1.481,50,23,0.0150,,,,
NOV,26,17,0.0838,0.0720,0.0318,1.475,51,24,0.0158,,,,
NOV,26,18,0.0730,0.0772,0.0319,1.500,50,24,0.0224,,,,
NOV,26,19,0.0293,0.0753,0.0321,1.665,60,21,0.0510,,,,
NOV,26,20,0.0167,0.0693,0.0322,1.831,75,25,0.0555,,,,
NOV,26,21,0.0140,0.0615,0.0324,2.006,94,29,0.0547,,,,
NOV,26,22,0.0240,0.0537,0.0325,2.079,100,37,0.0376,,,,
NOV,26,23,0.0314,0.0452,0.0320,2.113,91,36,0.0283,,,,
NOV,27,0,0.0193,0.0365,0.0284,2.163,95,38,0.0374,,,,
NOV,27,1,0.0299,0.0297,0.0253,2.202,100,39,0.0339,,,,
NOV,27,2,0.0260,0.0238,0.0200,2.223,98,41,0.0350,,,,
NOV,27,3,0.0124,0.0217,0.0190,2.082,95,44,0.0359,,,,
NOV,27,4,0.0146,0.0215,0.0183,1.938,88,38,0.0346,,,,
NOV,27,5,0.0217,0.0224,0.0165,1.785,81,37,0.0315,,,,
NOV,27,6,0.0544,0.0262,0.0138,1.735,85,37,0.0301,,,,
NOV,27,7,0.0444,0.0278,0.0117,1.760,86,41,0.0291,,,,
NOV,27,8,0.0267,0.0288,0.0108,1.808,90,41,0.0315,,,,
NOV,27,9,0.0319,0.0290,0.0093,1.860,100,43,0.0356,,,,
NOV,27,10,0.0528,0.0324,0.0088,1.864,121,58,0.0285,,,,
NOV,27,11,0.0700,0.0395,0.0072,1.875,95,62,0.0196,,,,
NOV,27,12,0.0843,0.0483,0.0074,1.875,71,47,0.0177,,,,
NOV,27,13,0.0901,0.0568,0.0075,1.858,54,34,0.0136,,,,
NOV,27,14,0.1099,0.0637,0.0090,1.906,47,24,0.0181,,,,
NOV,27,15,0.1069,0.0716,0.0102,1.914,50,27,0.0190,,,,
NOV,27,16,0.0840,0.0787,0.0104,1.828,48,27,0.0164,,,,
NOV,27,17,0.0749,0.0841,0.0106,1.748,46,22,0.0188,,,,
NOV,27,18,0.0688,0.0861,0.0109,1.753,47,21,0.0263,,,,
NOV,27,19,0.0165,0.0794,0.0111,2.086,61,21,0.0595,,,,
NOV,27,20,0.0135,0.0706,0.0112,2.347,86,26,0.0573,,,,
NOV,27,21,0.0137,0.0610,0.0112,2.508,104,32,0.0485,,,,
NOV,27,22,0.0137,0.0490,0.0113,2.656,111,30,0.0476,,,,
NOV,27,23,0.0141,0.0374,0.0115,2.806,126,31,0.0447,,,,
NOV,28,0,0.0148,0.0271,0.0121,2.800,134,42,0.0396,,,,
NOV,28,1,0.0138,0.0198,0.0121,2.806,134,51,0.0384,,,,
NOV,28,2,0.0096,0.0130,0.0121,2.766,110,45,0.0344,,,,
NOV,28,3,0.0072,0.0121,0.0126,2.480,85,33,0.0341,,,,
NOV,28,4,0.0086,0.0118,0.0127,2.264,85,29,0.0320,,,,
NOV,28,5,0.0104,0.0111,0.0127,2.155,92,46,0.0318,,,,
NOV,28,6,0.0077,0.0104,0.0128,2.001,91,42,0.0309,,,,
NOV,28,7,0.0072,0.0090,0.0129,1.833,86,37,0.0307,,,,
NOV,28,8,0.0077,0.0090,0.0134,1.796,101,32,0.0286,,,,
NOV,28,9,0.0133,0.0109,0.0131,1.803,98,40,0.0265,,,,
NOV,28,10,0.0250,0.0156,0.0129,1.810,86,38,0.0238,,,,
NOV,28,11,0.0453,0.0230,0.0127,1.778,80,36,0.0223,,,,
NOV,28,12,0.0672,0.0309,0.0125,1.763,69,39,0.0156,,,,
NOV,28,13,0.0742,0.0400,0.0124,1.729,60,32,0.0174,,,,
NOV,28,14,0.0805,0.0486,0.0107,1.667,57,29,0.0139,,,,
NOV,28,15,0.0756,0.0571,0.0094,1.595,45,29,0.0125,,,,
NOV,28,16,0.0755,0.0644,0.0092,1.575,43,21,0.0146,,,,
NOV,28,17,0.0723,0.0682,0.0089,1.595,43,21,0.0149,,,,
NOV,28,18,0.0553,0.0639,0.0086,1.832,45,17,0.0254,,,,
NOV,28,19,0.0110,0.0565,0.0084,2.222,57,17,0.0562,,,,
NOV,28,20,0.0076,0.0484,0.0083,2.413,81,22,0.0571,,,,
NOV,28,21,0.0097,0.0395,0.0082,2.588,88,30,0.0507,,,,
NOV,28,22,0.0087,0.0327,0.0081,2.638,94,27,0.0450,,,,
NOV,28,23,0.0213,0.0248,0.0074,2.709,90,28,0.0294,,,,
NOV,29,0,0.0124,0.0168,0.0071,2.797,88,29,0.0344,,,,
NOV,29,1,0.0082,0.0121,0.0070,2.782,88,30,0.0337,,,,
NOV,29,2,0.0178,0.0126,0.0070,2.567,87,34,0.0262,,,,
NOV,29,3,0.0147,0.0130,0.0066,2.195,74,34,0.0264,,,,
NOV,29,4,0.0110,0.0128,0.0064,2.023,70,35,0.0281,,,,
NOV,29,5,0.0084,0.0127,0.0063,1.888,71,33,0.0302,,,,
NOV,29,6,0.0079,0.0110,0.0062,1.876,72,33,0.0282,,,,
NOV,29,7,0.0077,0.0106,0.0062,1.872,64,34,0.0255,,,,
