DATOS MÓVILES 2020_CRUZ ROJA,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppb],O3 Promedio de 8 hrs. [ppb],SO2 Promedio de 24 hrs. [ppb],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppb]
MZO,13,10,25.83,12.53,1.85,0.77,65,36,24.92
MZO,13,11,48.13,17.06,1.72,0.79,60,34,14.15
MZO,13,12,65.43,22.07,1.65,0.79,48,29,7.74
MZO,13,13,67.54,29.53,1.61,0.81,43,26,10.64
MZO,13,14,84.33,38.61,2.43,0.83,45,20,9.69
MZO,13,15,84.27,48.32,3.45,0.79,49,23,16.39
MZO,13,16,82.21,58.13,4.47,0.68,52,32,10.64
MZO,13,17,62.31,65.01,4.54,0.64,52,35,17.81
MZO,13,18,50.28,68.06,4.58,0.65,53,32,23.94
MZO,13,19,35.43,66.48,4.61,0.7,62,39,25.67
MZO,13,20,38.44,63.1,4.63,0.73,73,34,14.86
MZO,13,21,41.07,59.79,5.52,0.8,119,37,9.21
MZO,13,22,40.03,54.26,6.11,0.83,86,43,3.53
MZO,13,23,36.11,48.24,6.56,0.91,58,28,4.09
MZO,14,0,42.15,43.23,6.6,0.88,32,22,NA
MZO,14,1,34.88,39.8,6.61,0.84,25,16,3.99
MZO,14,2,27.89,37,6.61,0.77,22,13,2.26
MZO,14,3,18.03,34.83,7,0.73,19,11,9.53
MZO,14,4,9.03,31.15,7.18,0.69,19,13,17.5
MZO,14,5,11.20,27.42,8.46,0.59,21,16,11.9
MZO,14,6,6.82,23.26,8.79,0.53,20,18,14.56
MZO,14,7,5.14,19.39,9.93,0.43,20,16,16.5
MZO,14,8,4.33,14.66,10.34,0.48,36,19,19.93
MZO,14,9,12.62,11.88,11.25,0.5,37,34,19.11
MZO,14,10,39.00,13.27,12.54,0.55,39,30,15.68
MZO,14,11,31.11,14.91,16.21,0.54,47,30,14.87
MZO,14,12,36.31,18.32,17.23,0.54,48,NA,7.78
MZO,14,13,41.39,22.09,18.75,0.57,45,NA,11.24
MZO,14,14,59.58,28.68,21.43,0.63,46,30,11.4
MZO,14,15,88.20,39.07,23.35,0.67,53,42,8.88
MZO,14,16,86.67,49.36,23.55,0.66,56,45,7.4
MZO,14,17,62.30,55.57,23.74,0.67,52,40,11.62
MZO,14,18,48.47,56.75,23.81,0.66,46,31,9.98
MZO,14,19,39.49,57.8,23.83,0.66,45,28,7.02
MZO,14,20,19.68,55.72,23.8,0.69,53,38,10.21
MZO,14,21,21.58,53.25,23.02,0.69,48,38,6.43
MZO,14,22,29.32,49.46,24.16,0.63,130,NA,2.84
MZO,14,23,30.49,42.25,24.95,0.58,108,NA,NA
MZO,15,0,24.68,34.5,26.98,0.55,67,NA,1.06
MZO,15,1,26.41,30.01,28.54,0.51,49,30,NA
MZO,15,2,30.77,27.8,28.83,0.47,32,26,NA
MZO,15,3,26.12,26.13,28.62,0.44,22,19,NA
MZO,15,4,17.67,25.88,28.51,0.39,17,15,3.46
MZO,15,5,18.26,25.47,27.25,0.37,17,13,NA
MZO,15,6,11.86,23.28,26.99,0.36,18,16,6.15
MZO,15,7,5.49,20.16,26.14,0.38,25,17,12.67
MZO,15,8,11.38,18.5,26.18,0.39,21,17,5.33
MZO,15,9,13.04,16.82,27.13,0.41,23,18,5.13
MZO,15,10,20.16,15.5,27.27,0.42,31,24,1.89
MZO,15,11,30.71,16.07,25.11,0.43,33,27,NA
MZO,15,12,40.85,18.97,25.38,0.43,32,29,NA
MZO,15,13,45.14,22.33,24.5,0.44,29,28,NA
MZO,15,14,49.66,27.05,21.24,0.44,26,22,NA
MZO,15,15,57.04,33.5,18.42,0.44,23,20,NA
MZO,15,16,57.10,39.21,17.33,0.44,23,19,NA
MZO,15,17,62.13,45.35,17.1,0.42,24,18,NA
MZO,15,18,57.80,50.05,17.01,0.43,25,15,NA
MZO,15,19,48.94,52.33,16.97,0.47,27,17,9.3
MZO,15,20,26.14,50.49,17,0.55,36,18,24.94
MZO,15,21,28.45,48.41,17.24,0.61,41,21,NA
MZO,15,22,25.53,45.39,16.14,0.63,41,21,NA
MZO,15,23,20.90,40.88,15.19,0.7,39,23,NA
MZO,16,0,17.23,35.89,13.35,0.75,36,27,NA
MZO,16,1,17.19,30.27,12.21,0.76,32,30,NA
MZO,16,2,15.06,24.93,12.1,0.76,32,30,NA
MZO,16,3,11.92,20.3,12.09,0.75,27,27,NA
MZO,16,4,7.82,18.01,12.29,0.67,26,28,NA
MZO,16,5,10.26,15.74,12.45,0.6,26,27,NA
MZO,16,6,8.84,13.65,12.46,0.57,26,25,NA
MZO,16,7,3.27,11.45,12.2,0.49,30,28,11.36
MZO,16,8,3.12,9.69,11.74,0.45,34,26,7.85
MZO,16,9,3.93,8.03,10.82,0.45,34,27,4.02
MZO,16,10,8.27,7.18,10.44,0.48,35,36,NA
MZO,16,11,14.87,7.55,9.58,0.52,32,34,NA
MZO,16,12,35.09,10.96,9,0.52,31,29,NA
MZO,16,13,45.42,15.35,9.27,0.55,29,27,NA
MZO,16,14,50.60,20.57,9.52,0.55,24,24,NA
MZO,16,15,59.53,27.6,9.69,0.54,20,23,NA
MZO,16,16,54.43,34.02,9.61,0.52,21,22,NA
MZO,16,17,49.44,39.71,9.62,0.53,32,15,4.15
MZO,16,18,18.11,40.94,9.69,0.51,57,22,5.99
MZO,16,19,15.56,41.02,9.72,0.48,35,20,8.21
MZO,16,20,13.81,38.36,9.7,0.49,26,14,6.82
MZO,16,21,20.99,35.31,9.39,0.47,22,12,NA
MZO,16,22,18.51,31.3,9.31,0.47,19,12,NA
MZO,16,23,20.37,26.4,9.61,0.47,23,16,NA
MZO,17,0,19.57,22.04,10.23,0.46,20,19,NA
MZO,17,1,25.19,19.01,10.96,0.44,18,23,NA
MZO,17,2,25.48,19.93,11.81,0.4,18,19,NA
MZO,17,3,21.45,20.67,12.81,0.36,16,17,NA
