DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2020,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.,PM2.5 Promedio ponderado  de 12 hrs.,NO2 Horario,
AGO,14,18,46.98,34.89,15,0.80,20,15,4.33,
AGO,14,19,41.06,37.14,15.06,0.83,24,13,12.44,
AGO,14,20,28.64,37.32,15.11,0.87,32,13,15.39,
AGO,14,21,22.5,36.61,16.94,0.83,29,15,8.19,
AGO,14,22,15.02,34.18,19.3,0.81,36,18,7.1,
AGO,14,23,7.43,30.78,21.11,0.78,32,20,10.27,
AGO,15,0,16.76,27.68,21.28,0.74,29,22,7.91,
AGO,15,1,20.81,24.9,21.15,0.72,22,16,5.88,
AGO,15,2,20.07,21.54,21.03,0.70,18,12,7.22,
AGO,15,3,11.02,17.78,20.98,0.66,12,9,13.91,
AGO,15,4,18.33,16.49,20.67,0.60,10,7,7.87,
AGO,15,5,13.9,15.42,20.47,0.60,11,7,12,
AGO,15,6,12.64,15.12,20.39,0.62,13,9,12.4,
AGO,15,7,4.72,14.78,20.14,0.68,20,12,18.06,
AGO,15,8,1.77,12.91,19.63,0.74,28,18,15.91,
AGO,15,9,4.17,10.83,19.99,0.78,35,17,15.32,
AGO,15,10,14.96,10.19,20.77,0.80,40,21,5.94,
AGO,15,11,27.15,12.21,20.33,0.82,30,24,2.35,
AGO,15,12,31.19,13.81,19.85,0.86,25,18,NA,
AGO,15,13,36.36,16.62,18.85,0.89,17,15,NA,
AGO,15,14,39.19,19.94,19.34,0.89,19,15,2.97,
AGO,15,15,43.63,24.8,19.73,0.84,20,19,3.17,
AGO,15,16,48.9,30.69,19.9,0.79,19,18,2.6,
AGO,15,17,44.28,35.71,20.86,0.76,22,20,4.25,
AGO,15,18,34.02,38.09,20.99,0.75,24,20,2.52,
AGO,15,19,29.69,38.41,21,0.73,21,16,1.85,
AGO,15,20,25.83,37.74,21.04,0.72,41,13,4.68,
AGO,15,21,23.68,36.15,19.25,0.69,27,11,6.6,
AGO,15,22,14.12,33.02,18.67,0.70,28,11,6.1,
AGO,15,23,11.39,28.99,19.72,0.72,23,18,5.33,
AGO,16,0,10.16,24.15,19.98,0.72,19,17,4.94,
AGO,16,1,7.01,19.49,20.15,0.72,17,14,5.72,
AGO,16,2,2.95,15.6,21.12,0.71,21,13,8.21,
