DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2020,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.,PM2.5 Promedio ponderado  de 12 hrs.,NO2 Horario,
AGO,16,3,5.2,12.54,21.92,0.74,20,18,5.66,
AGO,16,4,6.15,10.08,23.89,0.74,15,10,6.94,
AGO,16,5,5.42,7.8,24.35,0.72,16,8,4.9,
AGO,16,6,2.67,6.37,24.84,0.72,18,12,10.45,
AGO,16,7,2.32,5.24,25.91,0.70,28,16,9.84,
AGO,16,8,9.02,5.09,31.02,0.75,23,19,5.89,
AGO,16,9,17.45,6.4,32.15,0.78,15,18,1.83,
AGO,16,10,22.21,8.81,33.4,0.78,15,17,NA,
AGO,16,11,25.21,11.31,33.44,0.76,17,14,1.15,
AGO,16,12,31.35,14.46,33.75,0.76,21,18,1.97,
AGO,16,13,40.91,18.89,33.57,0.76,19,19,1.77,
AGO,16,14,42.26,23.84,32.61,0.77,17,17,2.78,
AGO,16,15,46.15,29.32,32.05,0.81,15,17,3.47,
AGO,16,16,45.32,33.86,32.6,0.78,18,17,3.2,
