DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario (ppm),O3 Promedio de 8 hrs.  (ppm),SO2 promedio de 24 hrs. (ppm),CO Promedio de 8 hrs. (ppm),PM10 Promedio ponderado  de 12 hrs. (µg/m³),PM2.5 Promedio ponderado  de 12 hrs. (µg/m³),NO2 Horario (ppm)
SEP,6,20,0.0257,0.0322,0.0578,NA,8,6,NA
SEP,6,21,0.0246,0.031,0.0537,NA,7,7,0.004
SEP,6,22,0.0245,0.0294,0.0516,NA,5,8,NA
SEP,6,23,0.0235,0.028,0.0481,NA,4,7,0.0031
SEP,7,0,0.0198,0.0266,0.045,NA,6,5,NA
SEP,7,1,0.0206,0.025,0.0368,NA,7,5,0.0046
SEP,7,2,0.0189,0.0233,0.0303,NA,7,5,NA
SEP,7,3,0.0177,0.0219,0.0265,NA,6,5,0.0062
SEP,7,4,0.0161,0.0207,0.0229,NA,6,5,NA
SEP,7,5,0.0124,0.0192,0.0153,NA,9,7,0.0098
SEP,7,6,0.0117,0.0176,0.0146,NA,13,12,0.0109
SEP,7,7,0.0086,0.0157,0.0139,NA,15,11,0.0151
SEP,7,8,0.0102,0.0145,0.014,NA,15,11,0.0135
SEP,7,9,0.0175,0.0141,0.0149,NA,16,10,0.0121
SEP,7,10,0.0238,0.0148,0.0161,NA,17,9,0.0068
SEP,7,11,0.0308,0.0164,0.0161,NA,16,11,0.0058
SEP,7,12,0.0362,0.0189,0.016,NA,18,12,0.007
SEP,7,13,0.0429,0.0227,0.0157,NA,24,18,0.0074
SEP,7,14,0.0483,0.0273,0.0155,NA,23,20,0.0057
SEP,7,15,0.0523,0.0328,0.0158,NA,21,17,0.0063
SEP,7,16,0.0499,0.0377,0.0164,NA,22,16,0.01
SEP,7,17,0.0462,0.0413,0.0164,NA,23,18,0.0149
SEP,7,18,0.0386,0.0432,0.0164,NA,26,17,0.0147
SEP,7,19,0.0265,0.0426,0.0165,NA,32,17,0.023
SEP,7,20,0.019,0.0405,0.0165,NA,27,26,0.021
SEP,7,21,0.0183,0.0374,0.0165,NA,26,23,0.0214
SEP,7,22,0.0202,0.0339,0.0165,NA,25,13,0.0137
SEP,7,23,NA,0.0312,0.0165,NA,20,13,NA
SEP,8,0,0.0201,0.027,0.0155,NA,22,NA,NA
SEP,8,1,0.0243,0.0238,0.0154,NA,13,NA,NA
SEP,8,2,0.0201,0.0212,0.0154,NA,10,18,NA
SEP,8,3,0.0249,0.021,0.0154,NA,7,15,NA
SEP,8,4,0.0225,0.0215,0.0147,NA,6,11,0.0078
SEP,8,5,0.0171,0.0213,0.0141,NA,6,8,0.0098
SEP,8,6,0.0108,0.02,0.013,NA,9,8,0.0147
SEP,8,7,0.0078,0.0185,0.0116,NA,10,9,0.0193
SEP,8,8,0.0081,0.017,0.0113,NA,13,8,0.0186
SEP,8,9,0.008,0.0149,0.0101,NA,21,8,0.0208
SEP,8,10,0.014,0.0142,0.0092,NA,30,NA,0.0206
SEP,8,11,0.0314,0.015,0.0087,NA,32,NA,0.0088
SEP,8,12,0.0388,0.017,0.0086,NA,26,25,0.008
SEP,8,13,0.0452,0.0205,0.0075,NA,29,29,0.0106
SEP,8,14,0.0499,0.0254,0.0067,NA,25,24,0.0094
SEP,8,15,0.0528,0.031,0.0062,NA,23,19,0.0059
SEP,8,16,0.0573,0.0372,0.0056,NA,21,18,0.0087
SEP,8,17,0.0539,0.0429,0.0054,NA,18,17,0.0074
SEP,8,18,0.0418,0.0464,0.0054,NA,22,17,0.0125
SEP,8,19,0.0335,0.0466,0.0053,NA,28,17,0.0145
SEP,8,20,0.0264,0.0451,0.0052,NA,26,20,0.0136
SEP,8,21,0.026,0.0427,0.0051,NA,19,14,0.0118
SEP,8,22,0.0274,0.0399,0.0051,NA,16,11,0.0103
SEP,8,23,0.025,0.0364,0.0053,NA,16,11,0.0131
SEP,9,0,0.0265,0.0326,0.0053,NA,18,18,0.0102
SEP,9,1,0.031,0.0297,0.0059,NA,18,19,NA
SEP,9,2,0.0317,0.0284,0.0063,NA,35,29,0.013
SEP,9,3,0.0211,0.0269,0.0067,NA,26,29,NA
SEP,9,4,0.0236,0.0265,0.0079,NA,19,25,NA
SEP,9,5,0.0208,0.0259,0.0084,NA,18,20,NA
SEP,9,6,0.0163,0.0245,0.0088,NA,20,19,0.0133
SEP,9,7,0.0116,0.0228,0.0092,NA,24,20,0.0169
SEP,9,8,0.0117,0.021,0.0098,NA,26,19,0.0184
SEP,9,9,0.019,0.0195,0.0103,NA,30,22,0.0158
SEP,9,10,0.0268,0.0189,0.0095,NA,33,25,0.0139
SEP,9,11,0.032,0.0202,0.0091,NA,30,24,0.0155
SEP,9,12,0.0451,0.0229,0.0082,NA,30,26,0.0123
