DATOS MÓVILES 2020_CRUZ ROJA,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,NO2,MO3,MSO2,MCO,MPM10,MPM2.5
ENE,13,20,45.42,61.14,19.77,2.83,67.44,33.92
ENE,13,21,16.66,57.43,20.57,2.71,68.06,34.59
ENE,13,22,13.20,52.48,21.17,2.68,66.08,34.21
ENE,13,23,9.53,46.10,27.09,2.61,63.87,33.31
ENE,14,0,11.04,38.51,29.21,2.62,62.49,32.93
ENE,14,1,13.98,30.71,30.89,2.57,60.66,32.61
ENE,14,2,11.63,26.29,NA,2.46,59.40,32.45
ENE,14,3,9.99,26.68,NA,2.17,58.42,31.92
ENE,14,4,10.42,28.81,NA,1.64,56.90,31.79
ENE,14,5,12.76,27.33,NA,1.58,55.61,31.20
ENE,14,6,12.18,25.81,NA,1.52,54.04,30.44
ENE,14,7,13.55,23.42,NA,1.50,52.38,30.05
ENE,14,8,15.04,21.46,NA,1.43,50.06,29.49
ENE,14,9,15.76,20.60,NA,1.48,48.86,28.50
ENE,14,10,13.33,21.18,NA,1.51,47.65,28.56
ENE,14,11,11.90,21.88,NA,1.54,45.64,28.19
ENE,14,12,10.78,23.17,NA,1.56,43.30,27.43
ENE,14,13,11.93,26.05,NA,1.60,41.39,26.48
ENE,14,14,15.60,30.50,NA,1.68,40.02,25.40
ENE,14,15,15.25,36.56,NA,1.73,39.95,25.67
ENE,14,16,15.32,42.64,NA,1.74,39.75,25.41
ENE,14,17,16.74,49.09,33.14,1.74,39.76,25.44
ENE,14,18,14.55,54.22,33.14,1.77,39.61,25.52
ENE,14,19,22.61,55.37,33.14,1.87,39.05,25.51
ENE,14,20,40.16,52.76,33.14,2.09,37.30,25.28
ENE,14,21,37.78,49.28,33.14,2.29,37.48,24.84
ENE,14,22,7.49,47.98,33.14,2.22,38.16,25.69
ENE,14,23,14.15,43.03,28.09,2.16,38.86,25.68
ENE,15,0,11.77,38.63,26.39,2.12,39.26,26.07
ENE,15,1,12.45,33.59,27.14,2.07,39.78,25.90
ENE,15,2,9.34,28.83,27.18,2.08,40.03,25.86
ENE,15,3,6.65,28.35,27.44,1.97,40.10,25.92
ENE,15,4,9.28,30.23,NA,1.73,40.31,25.59
ENE,15,5,8.00,31.50,NA,1.51,40.24,25.78
ENE,15,6,8.65,28.79,NA,1.50,40.15,25.72
ENE,15,7,14.22,27.31,NA,1.54,40.32,25.48
ENE,15,8,20.47,25.17,NA,1.59,40.48,25.60
ENE,15,9,20.39,23.55,NA,1.63,40.51,25.89
ENE,15,10,21.56,22.31,NA,1.62,40.48,25.54
ENE,15,11,11.98,21.55,NA,1.64,40.55,24.91
ENE,15,12,11.64,22.75,NA,1.64,40.78,24.41
