DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2021,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³]
MARZO,8,18,0.0469,0.0504,0.0145,0.971,41
MARZO,8,19,0.0283,0.0496,0.0145,0.999,38
MARZO,8,20,0.0166,0.0465,0.0157,1.117,43
MARZO,8,21,0.0286,0.0445,0.0171,1.117,64
MARZO,8,22,0.0195,0.0406,0.0194,1.096,97
MARZO,8,23,0.0202,0.0354,0.0215,1.063,113
MARZO,9,0,0.0192,0.0298,0.0246,1.043,103
MARZO,9,1,0.0241,0.0254,0.0257,1.03,89
MARZO,9,2,0.0301,0.0233,0.0258,1.015,59
MARZO,9,3,0.0259,0.023,0.0264,0.972,42
MARZO,9,4,0.0262,0.0242,0.0275,0.844,35
MARZO,9,5,0.027,0.024,0.0284,0.827,33
MARZO,9,6,0.0238,0.0246,0.0294,0.825,30
MARZO,9,7,0.0214,0.0247,0.0297,0.837,27
MARZO,9,8,0.0147,0.0241,0.0299,0.854,32
MARZO,9,9,0.0199,0.0236,0.0301,0.874,41
MARZO,9,10,0.0284,0.0234,0.0302,0.89,41
MARZO,9,11,0.0335,0.0244,0.0303,0.901,41
MARZO,9,12,0.0391,0.026,0.0301,0.913,43
MARZO,9,13,0.0431,0.028,0.0298,0.934,49
MARZO,9,14,0.0611,0.0326,0.0291,0.974,58
MARZO,9,15,0.0651,0.0381,0.0282,0.986,59
MARZO,9,16,0.0678,0.0448,0.0279,0.986,54
MARZO,9,17,0.0576,0.0495,0.0278,0.968,58
MARZO,9,18,0.0505,0.0522,0.0278,0.965,59
MARZO,9,19,0.0387,0.0529,0.0278,1.012,58
MARZO,9,20,0.0167,0.0501,0.0267,1.133,90
MARZO,9,21,0.019,0.0471,0.0282,1.206,126
MARZO,9,22,0.0231,0.0423,0.0273,1.173,100
MARZO,9,23,0.0205,0.0367,0.0255,1.154,73
