DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2021,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³]
AGOSTO,13,8,0.0148,0.0250,0.0034,0.7597,16
AGOSTO,13,9,0.018,0.0234,0.0034,0.7581,18
AGOSTO,13,10,0.0327,0.0246,0.0038,0.7423,20
AGOSTO,13,11,0.0407,0.0263,0.0040,0.7399,18
AGOSTO,13,12,0.0454,0.0280,0.0040,0.7448,19
AGOSTO,13,13,0.0486,0.0298,0.0040,0.7445,20
AGOSTO,13,14,0.0513,0.0331,0.0040,0.7288,16
AGOSTO,13,15,0.0519,0.0379,0.0038,0.6963,17
AGOSTO,13,16,0.0546,0.0429,0.0037,0.6490,12
AGOSTO,13,17,0.0547,0.0475,0.0035,0.6260,11
AGOSTO,13,18,0.0534,0.0501,0.0033,0.6355,14
AGOSTO,13,19,0.0479,0.0510,0.0032,0.6593,29
AGOSTO,13,20,0.0321,0.0493,0.0032,0.7101,30
AGOSTO,13,21,0.0351,0.0476,0.0032,0.7381,35
AGOSTO,13,22,0.0343,0.0455,0.0031,0.7399,29
AGOSTO,13,23,0.0365,0.0436,0.0031,0.7505,19
AGOSTO,14,0,0.0337,0.0410,0.0031,0.7552,15
AGOSTO,14,1,0.035,0.0385,0.0031,0.7565,15
AGOSTO,14,2,0.0397,0.0368,0.0030,0.7379,9
AGOSTO,14,3,0.0343,0.0351,0.0030,0.7099,7
AGOSTO,14,4,0.0362,0.0356,0.0029,0.6509,10
AGOSTO,14,5,0.0378,0.0359,0.0029,0.6183,9
AGOSTO,14,6,0.0362,0.0362,0.0029,0.6183,8
AGOSTO,14,7,0.0282,0.0351,0.0029,0.6245,8
AGOSTO,14,8,0.0216,0.0336,0.0029,0.6586,11
AGOSTO,14,9,0.0219,0.0320,0.0028,0.6863,16
AGOSTO,14,10,0.0282,0.0306,0.0025,0.6976,15
AGOSTO,14,11,0.033,0.0304,0.0022,0.7062,15
AGOSTO,14,12,0.0373,0.0305,0.0022,0.7156,16
AGOSTO,14,13,0.041,0.0309,0.0021,0.7230,16
AGOSTO,14,14,0.0492,0.0326,0.0023,0.7520,17
AGOSTO,14,15,0.0646,0.0371,0.0027,0.7829,21
AGOSTO,14,16,0.0555,0.0413,0.0031,0.7853,23
AGOSTO,14,17,0.0374,0.0433,0.0033,0.7958,24
AGOSTO,14,18,0.029,0.0434,0.0034,0.8120,20
AGOSTO,14,19,0.0262,0.0425,0.0034,0.8454,16
AGOSTO,14,20,0.0305,0.0417,0.0034,0.8769,17
AGOSTO,14,21,0.0307,0.0404,0.0034,0.9100,15
AGOSTO,14,22,0.0304,0.0380,0.0035,0.9035,16
AGOSTO,14,23,0.025,0.0331,0.0035,0.8812,15
AGOSTO,15,0,0.0222,0.0289,0.0035,0.8658,14
AGOSTO,15,1,0.0173,0.0264,0.0035,0.8447,20
AGOSTO,15,2,0.0159,0.0248,0.0035,0.8284,20
AGOSTO,15,3,0.0169,0.0236,0.0035,0.7985,20
AGOSTO,15,4,0.0086,0.0209,0.0035,0.7789,23
AGOSTO,15,5,0.0131,0.0187,0.0036,0.7580,24
AGOSTO,15,6,0.022,0.0176,0.0036,0.7616,23
AGOSTO,15,7,0.018,0.0168,0.0036,0.7698,26
AGOSTO,15,8,0.019,0.0164,0.0036,0.7766,27
AGOSTO,15,9,0.0171,0.0163,0.0036,0.7792,21
AGOSTO,15,10,0.0258,0.0176,0.0036,0.7789,15
AGOSTO,15,11,0.0341,0.0197,0.0035,0.7773,16
AGOSTO,15,12,0.0407,0.0237,0.0035,0.7650,16
AGOSTO,15,13,0.0466,0.0279,0.0035,0.7556,16
AGOSTO,15,14,0.0479,0.0312,0.0034,0.7306,14
AGOSTO,15,15,0.0451,0.0345,0.0030,0.7005,12
AGOSTO,15,16,0.0454,0.0378,0.0026,0.6686,8
AGOSTO,15,17,0.0476,0.0417,0.0024,0.6464,8
AGOSTO,15,18,0.0505,0.0447,0.0023,0.6408,8
AGOSTO,15,19,0.0488,0.0466,0.0024,0.6498,13
AGOSTO,15,20,0.0294,0.0452,0.0024,0.6979,17
AGOSTO,15,21,0.0219,0.0421,0.0024,0.7379,22
AGOSTO,15,22,0.0201,0.0386,0.0025,0.7541,21
AGOSTO,15,23,0.0176,0.0352,0.0025,0.7500,18
AGOSTO,16,0,0.0144,0.0313,0.0025,0.7489,16
AGOSTO,16,1,0.0164,0.0274,0.0025,0.7439,17
AGOSTO,16,2,0.0163,0.0231,0.0024,0.7333,13
AGOSTO,16,3,0.0166,0.0191,0.0024,0.7076,11
AGOSTO,16,4,0.0165,0.0175,0.0024,0.6468,11
AGOSTO,16,5,0.0162,0.0168,0.0024,0.5960,12
AGOSTO,16,6,0.0152,0.0162,0.0024,0.5824,14
AGOSTO,16,7,0.0069,0.0148,0.0024,0.6007,18
AGOSTO,16,8,0.0095,0.0142,0.0024,0.6214,23
AGOSTO,16,9,0.0172,0.0143,0.0025,0.6367,24
AGOSTO,16,10,0.0283,0.0158,0.0025,0.6508,21
AGOSTO,16,11,0.0355,0.0182,0.0025,0.6596,17
