DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2021,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³]
MAYO,17,19,0.0515,0.0540,0.0066,1.321,38
MAYO,17,20,0.0464,0.0537,0.0066,1.326,45
MAYO,17,21,0.0399,0.0521,0.0066,1.340,52
MAYO,17,22,0.0280,0.0488,0.0065,1.355,58
MAYO,17,23,0.0299,0.0456,0.0065,1.370,56
MAYO,18,0,0.0267,0.0418,0.0064,1.380,50
MAYO,18,1,0.0315,0.0387,0.0064,1.383,43
MAYO,18,2,0.0329,0.0358,0.0064,1.379,39
MAYO,18,3,0.0310,0.0333,0.0064,1.373,37
MAYO,18,4,0.0275,0.0309,0.0064,1.360,35
MAYO,18,5,0.0202,0.0285,0.0064,1.345,40
MAYO,18,6,0.0221,0.0277,0.0064,1.335,42
MAYO,18,7,0.0158,0.0260,0.0064,1.352,47
MAYO,18,8,0.0173,0.0248,0.0063,1.369,48
