DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2021,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
NOVIEMBRE,3,18,0.0334,0.0459,0.0048,0.8867,28,0.0156
NOVIEMBRE,3,19,0.0182,0.0436,0.005,0.9773,33,0.0271
NOVIEMBRE,3,20,0.005,0.0387,0.0051,1.1798,52,0.036
NOVIEMBRE,3,21,0.0045,0.0331,0.0051,1.2975,74,0.0334
NOVIEMBRE,3,22,0.0076,0.0275,0.0052,1.3813,98,0.0292
NOVIEMBRE,3,23,0.0022,0.0209,0.0054,1.3982,97,0.0267
NOVIEMBRE,4,0,0.0027,0.0149,0.0056,1.4018,73,0.0219
NOVIEMBRE,4,1,0.0114,0.0106,0.0056,1.3716,58,0.0138
NOVIEMBRE,4,2,0.0051,0.0071,0.0056,1.33,44,0.0185
NOVIEMBRE,4,3,0.0088,0.0059,0.0056,1.2385,40,0.0178
NOVIEMBRE,4,4,0.0088,0.0064,0.0059,1.0398,32,0.0162
NOVIEMBRE,4,5,0.0055,0.0065,0.0059,0.9299,35,0.0179
NOVIEMBRE,4,6,0.0119,0.0071,0.0063,0.8299,30,0.0106
NOVIEMBRE,4,7,0.0101,0.008,0.0064,0.7978,23,0.0126
NOVIEMBRE,4,8,0.0099,0.0089,0.0064,0.8166,31,0.0134
NOVIEMBRE,4,9,0.0194,0.0099,0.0064,0.8208,30,0.0091
NOVIEMBRE,4,10,0.0293,0.013,0.0064,0.8186,27,0.0068
NOVIEMBRE,4,11,0.0365,0.0164,0.0064,0.8146,26,0.0051
NOVIEMBRE,4,12,0.0416,0.0205,0.0064,0.8222,23,0.007
NOVIEMBRE,4,13,0.0474,0.0258,0.0065,0.8355,24,0.0113
NOVIEMBRE,4,14,0.0597,0.0317,0.0065,0.847,24,0.0077
NOVIEMBRE,4,15,0.0653,0.0386,0.0063,0.8446,24,0.0057
NOVIEMBRE,4,16,0.0649,0.0455,0.0063,0.822,25,0.0058
NOVIEMBRE,4,17,0.0626,0.0509,0.0064,0.8245,26,0.0073
NOVIEMBRE,4,18,0.0524,0.0538,0.0064,0.8642,26,0.014
NOVIEMBRE,4,19,0.0283,0.0528,0.0063,0.9741,43,0.0298
NOVIEMBRE,4,20,0.0125,0.0492,0.0064,1.2222,89,0.0418
NOVIEMBRE,4,21,0.0222,0.046,0.0065,1.223,86,0.0105
NOVIEMBRE,4,22,0.0188,0.0409,0.0066,1.2267,68,0.0087
NOVIEMBRE,4,23,0.0222,0.0355,0.0065,1.2205,54,0.0061
NOVIEMBRE,5,0,0.0236,0.0303,0.0064,1.2079,39,0.0046
NOVIEMBRE,5,1,0.023,0.0254,0.0064,1.191,28,0.0043
NOVIEMBRE,5,2,0.0229,0.0217,0.0064,1.1438,19,0.0047
NOVIEMBRE,5,3,0.0222,0.0209,0.0063,1.0297,15,0.0046
NOVIEMBRE,5,4,0.0206,0.0219,0.0059,0.7657,13,0.0049
NOVIEMBRE,5,5,0.0214,0.0218,0.0059,0.7445,14,0.0053
NOVIEMBRE,5,6,0.0185,0.0218,0.0054,0.7281,13,0.0075
NOVIEMBRE,5,7,0.0147,0.0209,0.0053,0.7399,12,0.0105
NOVIEMBRE,5,8,0.0125,0.0195,0.0053,0.7623,20,0.0121
NOVIEMBRE,5,9,0.018,0.0188,0.0052,0.7835,28,0.0093
NOVIEMBRE,5,10,0.0271,0.0194,0.0052,0.798,30,0.0068
NOVIEMBRE,5,11,0.035,0.021,0.0051,0.8079,28,0.0053
NOVIEMBRE,5,12,0.0416,0.0236,0.0051,0.8152,26,0.0045
