DATOS HORARIOS 2017_CRUZ ROJA,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,PM2.5
MAY,7,21,16.77,3.48,0.98,17.86,59.76,2.88,174.35,28.19,28.14,620.88,50.22
MAY,7,22,14.97,3.56,0.98,18.26,77.3,2.7,199.2,27.42,29.49,621.72,41.22
MAY,7,23,16.58,3.59,0.84,15.33,69.62,3.32,198.26,25.9,30.46,622.21,42.49
MAY,8,0,18.36,7.16,0.75,12.74,58.23,1.88,114.18,24.23,37.93,622.44,37.66
MAY,8,1,17.16,5.63,0.69,12.45,62.67,2.06,104.85,22.65,45.64,622.42,34.05
MAY,8,2,12.86,34.49,0.75,15.84,43.58,1.39,57.19,22.22,47.48,622.27,37.23
MAY,8,3,12.17,6.86,0.74,16.52,63.39,1.61,135.36,21.3,52.16,622.12,35.96
MAY,8,4,12.05,7.98,0.72,16.84,49.6,2.16,115.61,20.86,55.36,621.83,28.68
MAY,8,5,10.17,8.19,0.76,20.19,51.53,1.51,125.9,20.14,57.17,621.8,33.15
MAY,8,6,6.14,9.18,1.02,27.06,48.92,0.9,148.94,19.37,58.56,622.15,36.38
MAY,8,7,4.58,7.37,1.6,28.25,77.46,1.05,174.15,18.84,59.21,622.57,45.22
MAY,8,8,5.38,6.98,2.05,26.52,103.17,1.33,293.45,19.72,52.98,622.97,44.14
MAY,8,9,11.56,4.93,1.42,23.14,166.5,2.09,263.54,21.98,42.83,623.09,50.4
MAY,8,10,17.13,4.19,1.1,19.41,99.46,1.9,241.98,23.73,39.63,623.19,50.25
MAY,8,11,23.48,3.97,0.91,16.25,76.61,2.13,272.53,25.36,35.64,622.95,39.79
MAY,8,12,21.51,3.79,0.92,17.1,77.46,2.85,232.71,26.59,31.68,622.62,34.8
MAY,8,13,23.84,3.69,0.9,16.62,58.44,3,251.52,27.69,27.87,622.25,33.88
MAY,8,14,23.99,3.59,0.93,16.9,314.5,3.21,262.02,29.02,24.42,621.63,32.01
MAY,8,15,23.49,3.61,0.89,16.29,64.85,3.09,229.24,30,22.21,620.82,30.11
MAY,8,16,23.09,3.47,0.96,17.24,60.45,3.21,226.38,31.14,20.27,620.12,29.71
MAY,8,17,25.79,3.62,0.96,17.45,63.71,3.3,244.64,31.13,20.38,619.65,32.47
