DATOS HORARIOS 2017_CRUZ ROJA,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,PM2.5
FEB,11,5,4.14,11.14,0.22,NA,52.19,2.18,125.66,12.95,56.16,625.78,25.58
FEB,11,6,4.19,18.37,0.27,NA,53.74,2.36,108.95,12.46,58.64,625.91,27.74
FEB,11,7,4.15,25.62,0.34,NA,48.36,1.89,110.97,11.78,60.13,626.26,26.43
FEB,11,8,4.02,29.32,0.47,NA,53.35,2.67,97.79,11.88,56.24,626.58,25.27
FEB,11,9,3.67,28.67,0.5,NA,60.79,3.41,99.49,13.22,49.73,626.97,21.99
FEB,11,10,4.83,58.5,0.37,NA,71.96,3.23,100.72,15.15,47.02,627.19,35.31
FEB,11,11,5.14,57.91,0.38,NA,101.45,2.42,104.54,18.39,40.79,627.13,37.62
FEB,11,12,9.65,25.17,0.33,NA,107.16,1.77,123.61,21.35,30.07,626.7,38.12
FEB,11,13,16.79,10.81,0.27,NA,73.94,1.46,137.49,23.78,15.49,625.95,20.47
FEB,11,14,23.3,10.93,0.23,NA,37.84,1.16,183.94,26.07,6.69,624.98,7.14
FEB,11,15,26.09,5.36,0.22,NA,35.7,1.36,215.99,27.36,5.79,624.24,8.48
FEB,11,16,24.9,6.69,0.28,19.91,35.69,1.51,228.46,28,4.79,623.51,12.1
FEB,11,17,20.24,4.66,0.2,20.43,33.48,1.63,132.64,28.6,2.69,623.11,8.24
FEB,11,18,28.36,3.84,0.19,18.26,17.64,1.41,131.51,28.62,2.74,623.05,6.2
FEB,11,19,18.66,3.46,0.48,30.2,26.07,1.6,279.79,27.16,6.69,623.16,14.04
FEB,11,20,6.32,4.42,1.04,42.06,46.54,1.49,305.54,24.17,11.94,623.39,19.81
FEB,11,21,4.95,4.98,1.19,42.27,97.86,0.8,344.68,21.98,17.21,623.8,22.1
FEB,11,22,5.27,7.37,1.16,39.32,100.15,1.95,84.29,20.74,17.86,624.12,30.87
FEB,11,23,4.29,16.95,1.04,40.33,98.49,1.88,105.31,19.5,22.76,624.31,41.08
FEB,12,0,4.56,28.47,0.63,35.48,157.23,1.83,116.44,18.74,26.52,624.68,39.28
FEB,12,1,4.34,10.49,0.59,33.3,97.45,2.05,120.15,17.16,30.07,624.77,27.48
