DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2020,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.
ABRIL,12,8,26.08215,25.460425,4.640114,0.986363,23.5103
ABRIL,12,9,29.612817,25.691231,4.401428,0.994473,23.5001
ABRIL,12,10,NA,25.532364,4.280228,0.998522,NA
ABRIL,12,11,NA,NA,NA,NA,NA
ABRIL,12,12,NA,NA,4.150069,NA,NA
ABRIL,12,13,29.753207,NA,4.12999,NA,1.4742
ABRIL,12,14,36.167067,NA,4.152991,NA,0.7771
ABRIL,12,15,36.190333,NA,4.180696,NA,13.2626
ABRIL,12,16,34.159121,NA,4.22546,NA,13.2578
ABRIL,12,17,NA,NA,4.235049,NA,4.6661
ABRIL,12,18,31.059977,NA,4.311855,NA,2.1326
ABRIL,12,19,33.941467,33.545195,4.409309,1.0484,1.1475
ABRIL,12,20,32.406767,33.382563,4.50329,1.034557,9.9019
ABRIL,12,21,26.1986,32.874762,4.602698,0.958542,7.4088
ABRIL,12,22,26.395383,31.478807,4.654848,0.942107,15.4706
ABRIL,12,23,27.904667,30.29514,4.684627,0.938603,13.7642
ABRIL,13,0,23.782267,28.812733,4.736759,0.943384,14.5358
ABRIL,13,1,23.73795,28.178385,4.742734,0.946747,15.8191
ABRIL,13,2,17.029467,26.424571,4.715239,0.960404,26.1204
ABRIL,13,3,8.870787,23.290736,4.722285,0.994653,29.609
ABRIL,13,4,11.599225,20.689793,4.743574,1.010635,23.4889
ABRIL,13,5,8.387677,18.463428,4.753592,1.031668,22.9567
ABRIL,13,6,6.291355,15.950424,4.784434,1.059574,29.3479
ABRIL,13,7,1.50352,12.650281,4.807521,1.108472,36.5304
ABRIL,13,8,5.780935,10.400115,4.830995,1.159121,35.1999
ABRIL,13,9,16.99295,9.55699,4.870427,1.20072,36.6291
ABRIL,13,10,25.0609,10.560919,4.828152,1.224636,29.7573
ABRIL,13,11,37.559167,14.146966,4.780161,1.226803,28.7783
ABRIL,13,12,41.700017,17.909565,4.729046,1.230757,30.5223
ABRIL,13,13,40.254733,21.892947,4.687755,1.222042,17.402
ABRIL,13,14,43.23475,26.510872,4.588763,1.208672,13.997
ABRIL,13,15,44.705217,31.911084,4.50445,1.172266,15.9834
ABRIL,13,16,49.117783,37.32819,4.406944,1.129919,20.9065
ABRIL,13,17,50.657083,41.536206,4.324229,1.095481,19.1754
ABRIL,13,18,51.465783,44.836817,4.216452,1.072009,23.3409
ABRIL,13,19,52.646617,46.722748,4.090189,1.071283,29.7212
ABRIL,13,20,39.904817,46.498348,3.964439,1.086998,36.5814
ABRIL,13,21,30.8408,45.321606,3.852577,1.105291,48.2004
ABRIL,13,22,26.87665,43.276844,3.756574,1.12882,47.0978
ABRIL,13,23,32.245167,41.719338,3.642833,1.134478,38.7532
ABRIL,14,0,32.9937,39.703827,3.503922,1.145608,33.1314
ABRIL,14,1,28.634383,36.95099,3.484805,1.157356,32.6257
ABRIL,14,2,28.572583,34.08934,3.542116,1.1761,37.4017
ABRIL,14,3,22.96425,30.379044,3.550441,1.181436,34.838
ABRIL,14,4,27.608067,28.84195,3.559303,1.177832,36.7507
ABRIL,14,5,17.372533,27.158417,3.567264,1.185262,42.5367
ABRIL,14,6,8.600215,24.873862,3.626546,1.214326,51.5963
ABRIL,14,7,4.256212,21.375243,3.795418,1.307206,77.2356
ABRIL,14,8,2.289313,17.537195,3.983034,1.36535,88.5097
ABRIL,14,9,8.114232,14.972176,4.162123,1.415614,75.8144
ABRIL,14,10,29.351367,15.069524,4.26078,1.428878,58.5317
ABRIL,14,11,48.037467,18.203676,4.455319,1.445458,45.3846
ABRIL,14,12,58.731333,22.094084,4.544716,1.456834,37.42
ABRIL,14,13,59.136533,27.314584,4.580932,1.444329,23.8646
ABRIL,14,14,68.7293,34.83072,4.635094,1.405644,18.8247
ABRIL,14,15,69.229433,42.952372,4.669376,1.321784,14.9043
ABRIL,14,16,66.660533,50.998775,4.704957,1.268166,28.9888
ABRIL,14,17,63.901583,57.972194,4.798878,1.232183,43.184
ABRIL,14,18,61.053483,61.934958,4.891622,1.216868,50.3074
ABRIL,14,19,55.762117,62.900539,4.963849,1.195709,47.9024
ABRIL,14,20,48.189133,61.582764,5.00772,1.176555,47.1316
ABRIL,14,21,40.327667,59.231656,5.033227,1.167718,43.9554
ABRIL,14,22,35.292267,55.052027,5.043894,1.159124,38.4325
ABRIL,14,23,30.506033,50.211602,5.071986,1.149116,37.8477
ABRIL,15,0,18.246067,44.159794,5.132114,1.147705,45.4038
ABRIL,15,1,24.483267,39.232504,5.150148,1.133984,34.9132
ABRIL,15,2,28.576583,35.172892,5.128068,1.129504,32.309
ABRIL,15,3,30.966533,32.073444,5.133039,1.129942,32.3739
ABRIL,15,4,24.806783,29.15065,5.097849,1.140938,35.3094
ABRIL,15,5,14.24434,25.890234,5.082642,1.165311,52.6435
ABRIL,15,6,2.426122,21.781966,5.076767,1.195758,63.0771
ABRIL,15,7,0.790533,18.067529,5.02576,1.243518,83.8097
ABRIL,15,8,3.895948,16.273764,4.974325,1.294501,73.7079
ABRIL,15,9,18.441167,15.518501,4.875149,1.335339,74.4349
ABRIL,15,10,32.05255,15.952997,4.884937,1.365257,61.4532
ABRIL,15,11,48.50875,18.145774,4.785922,1.377699,44.2321
ABRIL,15,12,54.229633,21.82363,4.750906,1.383447,33.457
