DATOS MÓVILES 2020_NATIVITAS,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,O3 Horario [ppb],O3 Promedio de 8 hrs. [ppb],SO2 Promedio de 24 hrs. [ppb],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³]
MZO,21,20,45.73,57.62,8.41,NA,54
MZO,21,21,39.13,55.87,8.28,NA,66
MZO,21,22,37.67,52.85,8.19,NA,68
MZO,21,23,26.55,48.48,7.47,NA,71
MZO,22,0,19.94,43.5,6.66,NA,59
MZO,22,1,19.07,38.24,6.01,NA,53
MZO,22,2,19.96,33.05,5.01,NA,41
MZO,22,3,21.65,28.71,4.48,NA,33
MZO,22,4,22.08,25.75,4.09,NA,31
MZO,22,5,18.31,23.15,3.83,NA,27
MZO,22,6,15.38,20.37,3.75,NA,28
MZO,22,7,9.90,18.29,3.64,NA,28
MZO,22,8,10.06,17.05,3.51,NA,27
MZO,22,9,14.56,16.49,3.15,NA,27
MZO,22,10,23.16,16.89,2.86,NA,26
MZO,22,11,29.77,17.9,2.83,NA,25
MZO,22,12,38.47,19.95,3.56,NA,27
