DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2020,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.,NO2 Horario
AGO,8,14,32.27,20.57,5.11,2.49,22,NA
AGO,8,15,32.79,23.61,4.91,2.49,23,9.64
AGO,8,16,34.79,26.64,4.71,2.48,21,9.75
AGO,8,17,33.61,29.03,4.52,2.48,21,10.14
AGO,8,18,31.52,30.46,4.30,2.49,44,10.68
AGO,8,19,28.03,31.10,4.10,2.49,29,11.38
AGO,8,20,27.58,31.20,4.14,2.48,34,9.99
AGO,8,21,22.85,30.43,4.11,2.48,28,11.51
AGO,8,22,21.38,29.07,4.34,2.48,22,9.95
AGO,8,23,20.29,27.51,3.99,2.47,18,9.01
AGO,9,0,20.97,25.78,3.77,2.45,15,8.38
AGO,9,1,17.60,23.78,3.72,2.44,10,9.42
AGO,9,2,16.61,21.91,3.77,2.42,9,9.70
AGO,9,3,15.61,20.36,3.81,2.41,7,9.74
AGO,9,4,14.48,18.72,3.87,2.39,8,9.62
AGO,9,5,12.63,17.45,3.97,2.37,9,10.69
AGO,9,6,12.08,16.28,3.99,2.36,10,11.81
AGO,9,7,9.77,14.97,4.02,2.37,12,12.46
AGO,9,8,8.65,13.43,4.09,2.38,14,12.52
AGO,9,9,13.04,12.86,4.17,2.40,20,9.87
AGO,9,10,15.36,12.70,4.23,2.42,19,9.38
AGO,9,11,16.76,12.85,4.32,2.44,17,10.17
AGO,9,12,19.54,13.48,4.39,2.46,18,8.73
AGO,9,13,25.31,15.07,4.47,2.47,18,8.87
AGO,9,14,29.24,17.21,4.55,2.48,16,8.50
AGO,9,15,28.52,19.55,4.64,2.49,14,8.46
AGO,9,16,30.81,22.32,4.73,2.49,14,6.44
AGO,9,17,32.92,24.81,4.84,2.48,16,8.31
AGO,9,18,32.14,26.91,4.95,2.47,19,9.04
AGO,9,19,23.73,27.78,5.04,2.48,19,11.85
AGO,9,20,16.38,27.38,4.81,2.48,NA,11.96
AGO,9,21,13.88,25.95,4.65,2.49,NA,12.11
AGO,9,22,13.61,24.00,4.23,2.50,16,12.14
AGO,9,23,9.67,21.64,4.10,2.49,15,11.47
AGO,10,0,7.66,18.75,4.02,2.49,13,12.68
AGO,10,1,5.07,15.27,3.89,2.49,13,13.87
AGO,10,2,5.76,11.97,3.71,2.48,12,12.79
AGO,10,3,1.48,9.19,3.57,2.45,12,17.22
AGO,10,4,NA,8.16,3.42,2.44,14,17.52
AGO,10,5,1.04,6.33,3.28,2.43,16,17.17
AGO,10,6,NA,5.11,3.18,2.44,19,17.06
AGO,10,7,NA,NA,3.07,2.45,22,15.44
AGO,10,8,2.13,NA,2.93,2.48,22,14.83
AGO,10,9,7.59,NA,2.79,2.51,24,17.92
AGO,10,10,14.16,NA,2.69,2.52,21,14.68
AGO,10,11,21.43,NA,2.57,2.54,18,11.41
AGO,10,12,26.29,12.11,2.44,2.54,16,10.96
AGO,10,13,27.82,16.57,2.31,2.55,16,10.19
