DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2020,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
DIC,13,21,0.0009,0.0226,0.0040,3.627,69,NA
DIC,13,22,0.0021,0.0188,0.0040,3.751,123,NA
DIC,13,23,0.0007,0.0147,0.0041,3.970,140,NA
DIC,14,0,0.0004,0.0110,0.0042,4.068,126,NA
DIC,14,1,0.0001,0.0074,0.0043,4.115,117,NA
DIC,14,2,0.0004,0.0040,0.0045,4.144,106,NA
DIC,14,3,0.0003,0.0016,0.0044,4.127,84,NA
DIC,14,4,0.0038,0.0011,0.0042,4.037,64,NA
DIC,14,5,0.0192,0.0034,0.0041,3.863,48,NA
DIC,14,6,0.0287,0.0067,0.0040,3.738,40,NA
DIC,14,7,0.0227,0.0094,0.0038,3.533,38,NA
DIC,14,8,0.0180,0.0116,0.0036,3.461,39,NA
DIC,14,9,0.0193,0.0140,0.0034,3.427,48,NA
DIC,14,10,0.0296,0.0177,0.0033,3.397,52,NA
DIC,14,11,0.0327,0.0217,0.0031,3.385,58,NA
DIC,14,12,0.0396,0.0262,0.0031,3.384,55,NA
DIC,14,13,0.0468,0.0297,0.0031,3.396,52,NA
DIC,14,14,0.0535,0.0328,0.0030,3.404,47,NA
DIC,14,15,0.0537,0.0367,0.0029,3.416,46,NA
DIC,14,16,0.0524,0.0409,0.0028,3.401,42,NA
DIC,14,17,0.0463,0.0443,0.0029,3.409,43,NA
DIC,14,18,0.0381,0.0454,0.0029,3.437,47,NA
DIC,14,19,0.0280,0.0448,0.0030,3.440,49,NA
DIC,14,20,0.0260,0.0431,0.0030,3.455,61,NA
DIC,14,21,0.0210,0.0399,0.0029,3.466,60,NA
DIC,14,22,0.0202,0.0357,0.0028,3.479,53,NA
DIC,14,23,0.0218,0.0317,NA,3.474,46,NA
DIC,15,0,0.0084,0.0262,NA,3.493,46,NA
DIC,15,1,0.0040,0.0209,NA,3.490,46,NA
DIC,15,2,0.0119,0.0177,NA,3.466,43,NA
DIC,15,3,0.0046,0.0147,NA,3.472,38,NA
DIC,15,4,0.0008,0.0116,NA,3.462,38,NA
DIC,15,5,0.0016,0.0092,NA,3.469,37,NA
DIC,15,6,0.0001,0.0066,NA,3.491,41,NA
DIC,15,7,0.0001,0.0039,NA,3.548,50,NA
DIC,15,8,0.0004,0.0029,NA,3.661,65,NA
DIC,15,9,0.0006,0.0025,NA,3.831,96,NA
DIC,15,10,0.0038,0.0015,NA,3.904,119,NA
DIC,15,11,0.0225,0.0037,NA,3.893,85,NA
DIC,15,12,0.0293,0.0073,NA,3.877,53,NA
DIC,15,13,0.0325,0.0112,NA,3.847,40,NA
DIC,15,14,0.0371,0.0158,NA,3.810,37,NA
DIC,15,15,0.0347,0.0201,NA,3.736,40,NA
DIC,15,16,0.0300,0.0238,NA,3.591,56,NA
DIC,15,17,0.0315,0.0277,NA,3.393,54,NA
DIC,15,18,0.0280,0.0307,NA,3.324,51,NA
DIC,15,19,0.0191,0.0303,0.0040,3.346,52,NA
DIC,15,20,0.0093,0.0278,0.0039,3.405,55,NA
DIC,15,21,0.0108,0.0251,0.0039,3.451,59,NA
DIC,15,22,0.0096,0.0216,0.0038,3.495,54,NA
DIC,15,23,0.0070,0.0182,0.0037,3.552,53,NA
DIC,16,0,0.0030,0.0148,0.0037,3.589,58,NA
DIC,16,1,0.0032,0.0113,0.0037,3.620,60,NA
DIC,16,2,0.0018,0.0080,0.0037,3.642,57,NA
DIC,16,3,0.0005,0.0057,0.0037,3.649,58,NA
DIC,16,4,0.0026,0.0048,0.0037,3.637,56,NA
DIC,16,5,0.0014,0.0036,0.0039,3.641,60,NA
DIC,16,6,0.0005,0.0025,0.0040,3.649,68,NA
