DATOS MÓVILES 2020_NATIVITAS,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,MPM10,,
ENE,9,8,3.10,8.25,2.55,97.93,,
ENE,9,9,3.18,8.39,2.56,102.14,,
ENE,9,10,3.80,8.46,2.57,104.93,,
ENE,9,11,6.08,8.49,2.56,106.37,,
ENE,9,12,10.24,8.50,2.54,107.38,,
ENE,9,13,15.52,8.49,2.52,108.36,,
ENE,9,14,21.77,8.43,2.51,108.37,,
ENE,9,15,28.93,8.40,2.43,108.30,,
ENE,9,16,36.67,8.37,2.32,108.88,,
ENE,9,17,44.17,8.31,2.24,108.91,,
ENE,9,18,50.84,8.21,2.21,109.22,,
ENE,9,19,53.04,7.97,2.31,108.91,,
ENE,9,20,51.96,7.83,2.61,110.52,,
ENE,9,21,50.10,7.81,2.95,114.42,,
ENE,9,22,47.75,7.63,3.10,114.67,,
ENE,9,23,40.87,7.33,3.24,108.72,,
ENE,10,0,33.57,7.03,3.38,104.96,,
ENE,10,1,26.31,6.91,3.49,102.82,,
ENE,10,2,19.15,7.11,3.57,102.14,,
ENE,10,3,14.72,7.63,3.52,103.04,,
ENE,10,4,12.43,8.05,3.27,103.28,,
ENE,10,5,11.23,8.89,2.98,105.09,,
ENE,10,6,7.68,9.31,2.89,105.97,,
ENE,10,7,8.02,9.74,2.84,109.32,,
ENE,10,8,7.82,10.07,2.83,109.16,,
ENE,10,9,7.63,10.48,2.87,109.41,,
ENE,10,10,8.20,11.01,2.89,110.35,,
ENE,10,11,10.73,11.33,2.85,110.08,,
ENE,10,12,13.67,11.57,2.79,108.89,,
ENE,10,13,16.04,11.73,2.73,107.28,,
ENE,10,14,20.25,11.88,2.67,106.74,,
ENE,10,15,24.11,11.96,2.57,106.41,,
ENE,10,16,28.34,12.02,2.43,105.95,,
ENE,10,17,32.17,12.10,2.27,105.91,,
ENE,10,18,34.93,12.21,2.15,104.85,,
ENE,10,19,34.48,12.29,2.13,103.97,,
ENE,10,20,31.09,12.25,2.23,100.62,,
ENE,10,21,26.40,12.04,2.43,94.29,,
ENE,10,22,21.86,11.95,2.65,90.48,,
ENE,10,23,17.42,12.01,2.73,89.46,,
ENE,11,0,13.07,12.17,2.84,88.73,,
ENE,11,1,9.14,12.31,2.92,88.02,,
ENE,11,2,5.72,12.14,2.99,87.09,,
ENE,11,3,3.59,11.68,3.04,85.81,,
ENE,11,4,3.33,11.39,2.97,84.05,,
ENE,11,5,3.36,10.68,2.79,80.47,,
ENE,11,6,3.35,10.34,2.60,79.48,,
ENE,11,7,3.32,9.95,2.58,75.68,,
