DATOS MÓVILES 2020_NATIVITAS,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,MPM10,
FEB,15,15,28.88,11.33,2.7,36.74,
FEB,15,16,34.07,11.62,2.68,37.31,
FEB,15,17,39.73,11.72,2.65,37.57,
FEB,15,18,43.71,11.47,2.63,38.33,
FEB,15,19,45.88,11.4,2.63,38.06,
FEB,15,20,45.12,11.31,2.7,38.43,
FEB,15,21,41.05,11.18,2.94,39.84,
FEB,15,22,36.23,11.07,3.05,41.18,
FEB,15,23,32.4,11.15,3.11,42.25,
FEB,16,0,28.07,10.73,3.17,43.5,
FEB,16,1,24.56,9.79,3.18,43.33,
FEB,16,2,21.17,9.69,3.18,44.32,
FEB,16,3,18.72,9.63,3.17,45.41,
FEB,16,4,17.77,9.63,3.09,46.2,
FEB,16,5,18.75,9.65,2.85,46.73,
FEB,16,6,19.31,9.71,2.74,47.52,
FEB,16,7,18.48,9.81,2.71,48.65,
FEB,16,8,17.14,9.88,2.7,49.68,
FEB,16,9,15.01,10.05,2.73,50.29,
FEB,16,10,14.79,10.34,2.75,50.57,
FEB,16,11,15.97,10.65,2.76,50.2,
FEB,16,12,18.19,12.26,2.77,48.71,
FEB,16,13,21.45,15.11,2.77,49.32,
FEB,16,14,26.36,18.23,2.78,49.97,
FEB,16,15,32.19,19.36,2.76,51.29,
FEB,16,16,39.06,19.43,2.72,52.06,
FEB,16,17,45.39,19.37,2.68,52.27,
FEB,16,18,50.46,19.73,2.66,52.12,
FEB,16,19,52.88,19.9,2.67,52.23,
FEB,16,20,51.41,19.92,2.75,51.47,
FEB,16,21,47.6,19.93,2.89,49.42,
FEB,16,22,43.21,20.13,2.94,47.98,
FEB,16,23,37.1,20.1,2.98,47.24,
FEB,17,0,30.6,20.13,3.01,47,
FEB,17,1,24.21,20.12,3.01,47.31,
FEB,17,2,17.78,20.15,3.01,46.68,
FEB,17,3,13.16,20.19,2.98,45.79,
FEB,17,4,12.13,20.24,2.88,45.02,
