DATOS HORARIOS 2022_DIF,,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,UV
DICIEMBRE,5,2,0.012,0.007,1.43,0.008,25,NA,13.15,1.89,98.45,68.11,623.70,NA
DICIEMBRE,5,3,0.012,0.007,1.42,0.007,16,NA,12.33,2.49,110.34,72.97,623.65,NA
DICIEMBRE,5,4,0.011,0.006,1.42,0.007,13,NA,11.81,2.06,87.51,75.67,623.55,NA
DICIEMBRE,5,5,0.009,0.006,1.46,0.009,14,NA,11.34,2.23,99.82,78.64,623.57,NA
DICIEMBRE,5,6,0.007,0.006,1.51,0.011,34,NA,10.93,2.62,99.14,80.51,623.67,NA
DICIEMBRE,5,7,0.002,0.007,1.94,0.024,26,NA,10.44,1.86,89.60,82.07,623.82,NA
DICIEMBRE,5,8,0.005,0.007,2.03,0.026,40,NA,10.37,2.07,83.30,81.91,624.21,0.12
DICIEMBRE,5,9,0.006,0.007,2.01,0.025,61,NA,12.62,2.09,97.48,72.69,624.66,0.60
DICIEMBRE,5,10,0.011,0.007,1.89,0.019,75,NA,15.15,2.01,97.95,64.70,624.80,1.42
DICIEMBRE,5,11,0.019,0.007,1.75,0.014,51,NA,17.62,2.26,102.78,57.33,624.53,2.33
DICIEMBRE,5,12,0.030,0.008,1.69,0.011,40,NA,20.56,1.53,144.72,43.91,623.87,2.97
DICIEMBRE,5,13,0.039,0.007,1.58,0.008,50,NA,22.64,1.98,232.19,36.53,622.95,3.19
DICIEMBRE,5,14,0.052,0.011,1.56,0.007,42,NA,24.66,2.48,258.71,28.16,621.95,3.03
DICIEMBRE,5,15,0.057,0.013,1.56,0.006,54,NA,26.00,2.49,252.27,22.51,621.17,2.32
