DATOS HORARIOS 2023_CRUZ ROJA,,,,,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
JUNIO,9,21,0.017,0.002,1.57,0.041,50,20,32.50,0.45,148.22,10.58,620.78
JUNIO,9,22,0.010,0.005,1.30,0.041,71,20,30.25,0.54,196.36,15.85,621.15
JUNIO,9,23,0.015,0.037,0.92,0.033,67,32,29.41,0.46,192.59,20.42,621.96
JUNIO,10,0,0.024,0.014,0.52,0.017,59,30,28.86,0.46,80.72,29.91,622.35
JUNIO,10,1,0.024,0.029,0.48,0.013,46,27,27.57,0.74,71.71,36.82,621.99
JUNIO,10,2,0.017,0.020,0.48,0.016,39,22,26.20,0.48,110.79,41.00,621.88
JUNIO,10,3,0.015,0.006,0.48,0.018,40,24,24.99,0.50,121.99,43.47,621.75
JUNIO,10,4,0.013,0.004,0.47,0.016,38,27,24.27,0.45,121.80,44.87,621.59
JUNIO,10,5,0.016,0.003,0.47,0.017,40,25,23.52,0.45,124.58,45.18,621.91
JUNIO,10,6,0.016,0.003,0.48,0.016,41,33,23.10,0.45,146.69,45.44,622.33
JUNIO,10,7,0.018,0.002,0.70,0.017,36,24,23.27,0.45,134.16,39.53,622.83
JUNIO,10,8,0.020,0.002,0.79,0.019,43,23,24.67,0.45,121.84,39.16,623.05
JUNIO,10,9,0.037,0.002,0.68,0.008,43,32,25.73,0.51,205.57,40.22,623.39
JUNIO,10,10,0.042,0.002,0.68,0.010,35,20,27.48,0.65,219.01,40.74,623.35
JUNIO,10,11,0.050,0.001,0.62,0.007,36,28,29.07,0.84,244.21,35.34,623.03
JUNIO,10,12,0.056,0.001,0.67,0.007,28,22,30.58,1.30,259.82,27.66,622.73
JUNIO,10,13,0.062,0.001,0.58,0.006,29,25,32.06,1.20,279.65,21.35,622.11
JUNIO,10,14,0.062,0.000,0.58,0.007,26,19,33.84,1.48,262.16,15.29,621.49
JUNIO,10,15,0.061,0.000,0.62,0.008,25,27,35.00,0.71,232.76,11.50,620.92
JUNIO,10,16,0.063,0.000,0.51,0.007,27,22,35.82,0.67,216.79,10.12,620.34
JUNIO,10,17,0.064,0.001,0.52,0.007,27,24,36.13,0.73,222.76,9.34,619.89
JUNIO,10,18,0.065,0.000,0.47,0.006,40,29,35.95,1.04,231.36,9.07,619.74
