DATOS HORARIOS 2023_CRUZ ROJA,,,,,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
JULIO,8,21,0.029,0.009,0.610,0.013,27,31,24.17,1.91,211.95,56.41,622.28
JULIO,8,22,0.023,0.006,0.586,0.012,23,31,23.00,1.56,225.20,61.36,622.73
JULIO,8,23,0.021,0.004,0.547,0.012,22,16,22.30,1.51,240.56,64.38,623.06
JULIO,9,0,0.022,0.004,0.462,0.010,18,23,21.44,2.02,215.85,70.19,623.30
JULIO,9,1,0.011,0.004,0.328,0.008,39,22,19.14,2.17,90.57,84.29,623.92
JULIO,9,2,0.016,0.005,0.353,0.007,19,36,18.61,1.63,177.92,87.51,623.62
JULIO,9,3,0.021,0.005,0.328,0.005,11,20,18.36,1.50,201.89,87.62,623.23
JULIO,9,4,0.025,0.004,0.296,0.005,7,9,18.16,1.86,284.79,86.67,623.16
JULIO,9,5,0.028,0.003,0.290,0.004,5,8,18.46,1.69,282.01,84.31,623.30
JULIO,9,6,0.024,0.003,0.295,0.005,9,8,18.48,1.45,287.31,84.07,623.34
JULIO,9,7,0.017,0.003,0.369,0.010,12,22,18.50,0.53,281.22,84.46,623.51
JULIO,9,8,0.019,0.002,0.440,0.007,7,17,19.45,0.92,273.39,82.44,623.75
JULIO,9,9,0.017,0.002,0.468,0.008,9,18,21.18,1.23,130.76,75.46,623.84
JULIO,9,10,0.021,0.006,0.495,0.010,23,15,22.00,1.47,136.91,71.52,623.92
JULIO,9,11,0.029,0.007,0.479,0.008,20,16,23.21,1.57,137.59,66.60,623.84
JULIO,9,12,0.036,0.008,0.472,0.007,15,23,24.71,1.43,150.28,59.06,623.48
JULIO,9,13,0.038,0.010,0.591,0.008,21,20,26.36,1.00,163.76,54.15,623.01
JULIO,9,14,0.042,0.020,0.474,0.007,20,20,27.40,1.48,115.54,50.82,622.28
JULIO,9,15,0.048,0.030,0.458,0.007,22,30,28.61,1.39,111.40,46.97,621.56
JULIO,9,16,0.052,0.026,0.440,0.007,18,28,29.43,1.10,153.10,43.67,620.81
JULIO,9,17,0.057,0.020,0.563,0.004,19,28,30.64,0.76,145.25,39.52,620.28
JULIO,9,18,0.061,0.017,0.388,0.005,11,21,31.10,0.51,162.11,39.08,620.03
JULIO,9,19,0.058,0.016,0.536,0.008,23,23,31.28,0.48,258.77,38.63,619.86
JULIO,9,20,0.043,0.009,0.783,0.017,22,16,29.17,0.55,248.84,45.74,620.27
JULIO,9,21,0.029,0.006,0.594,0.019,43,25,27.88,1.42,187.48,48.04,621.04
JULIO,9,22,0.035,0.009,0.398,0.005,15,19,24.74,4.31,106.40,57.46,621.94
JULIO,9,23,0.033,0.005,0.357,0.006,19,13,21.56,2.20,146.67,70.55,622.67
JULIO,10,0,0.031,0.004,0.355,0.008,8,11,21.40,1.14,177.01,69.71,622.90
JULIO,10,1,0.022,0.005,0.398,0.014,11,11,21.05,0.58,266.29,73.45,622.75
JULIO,10,2,0.027,0.010,0.378,0.008,13,9,21.62,0.50,98.88,69.73,622.56
JULIO,10,3,0.019,0.022,0.587,0.009,17,9,21.73,1.54,82.00,69.88,622.33
JULIO,10,4,0.017,0.022,0.690,0.011,10,21,21.79,1.56,77.71,69.21,622.46
JULIO,10,5,0.014,0.012,0.285,0.013,9,11,21.18,1.53,108.16,70.90,622.60
JULIO,10,6,0.015,0.007,0.254,0.009,10,13,20.59,1.72,70.49,72.15,622.65
JULIO,10,7,0.012,0.006,0.392,0.013,10,13,20.75,0.62,93.71,71.87,623.11
JULIO,10,8,0.016,0.019,0.428,0.009,12,10,21.95,1.71,68.66,67.45,623.51
JULIO,10,9,0.023,0.046,0.616,0.005,21,13,22.98,3.35,80.22,63.64,623.63
JULIO,10,10,0.030,0.039,0.407,0.004,15,14,23.61,3.67,77.47,60.41,623.64
JULIO,10,11,0.034,0.033,0.381,0.004,14,12,24.53,3.51,95.30,55.76,623.67
JULIO,10,12,0.038,0.027,0.360,0.006,15,13,26.06,2.96,110.24,49.82,623.55
JULIO,10,13,0.045,0.020,0.386,0.006,19,20,27.21,2.54,132.83,46.71,623.15
JULIO,10,14,0.051,0.015,0.390,0.006,17,23,28.24,1.95,139.92,43.63,622.56
JULIO,10,15,0.056,0.017,0.403,0.006,24,28,29.11,0.98,145.23,41.86,622.05
JULIO,10,16,0.057,0.010,0.368,0.004,23,32,29.90,0.90,106.05,39.84,621.59
JULIO,10,17,0.050,0.008,0.461,0.007,25,36,30.54,0.71,219.81,36.33,621.01
JULIO,10,18,0.051,0.007,0.583,0.011,32,38,30.20,2.67,218.05,40.16,620.78
JULIO,10,19,0.045,0.006,0.524,0.009,38,25,27.80,5.26,192.16,47.24,621.24
