DATOS HORARIOS 2023_CRUZ ROJA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
MARZO,6,10,0.024,0.008,0.83,0.022,75,38,21.13,170.14,0.45,32.82,624.88
MARZO,6,11,0.033,0.005,0.79,0.018,65,39,23.51,229.61,0.51,29.25,624.88
MARZO,6,12,0.050,0.003,0.62,0.010,36,31,25.76,264.51,1.21,24.92,624.55
MARZO,6,13,0.059,0.002,0.57,0.009,36,22,27.60,273.94,2.06,19.93,623.92
MARZO,6,14,0.065,0.002,0.61,0.012,37,22,29.34,259.69,1.26,16.23,623.01
MARZO,6,15,0.069,0.001,0.56,0.009,33,25,30.65,239.63,1.14,14.40,622.20
MARZO,6,16,0.063,0.002,0.63,0.012,38,26,30.99,215.81,2.56,13.03,621.43
MARZO,6,17,0.059,0.001,0.57,0.012,37,26,31.30,230.47,2.21,11.98,621.03
MARZO,6,18,0.053,0.001,0.71,0.016,33,27,31.35,226.08,1.94,11.53,620.82
MARZO,6,19,0.039,0.002,0.98,0.026,37,25,30.44,240.25,1.01,12.73,620.95
MARZO,6,20,0.017,0.002,1.53,0.037,51,21,28.36,237.20,0.47,15.90,621.10
MARZO,6,21,0.011,0.002,1.53,0.035,84,21,26.46,239.46,0.50,18.72,621.47
MARZO,6,22,0.026,0.002,0.78,0.025,68,24,26.11,211.71,1.34,20.11,622.14
MARZO,6,23,0.037,0.109,0.64,0.015,54,24,25.55,75.41,3.21,23.71,622.61
MARZO,7,0,0.041,0.100,0.39,0.014,69,32,25.02,83.07,4.04,26.60,622.72
MARZO,7,1,0.040,0.072,0.36,0.011,51,36,23.61,85.38,2.63,28.74,622.59
MARZO,7,2,0.038,0.049,0.33,0.011,46,32,22.23,113.36,1.49,29.90,622.54
MARZO,7,3,0.027,0.019,0.35,0.013,46,30,21.11,161.44,0.45,31.88,622.52
MARZO,7,4,0.035,0.008,0.32,0.011,36,23,20.64,105.48,0.45,32.26,622.47
MARZO,7,5,0.025,0.022,0.36,0.016,47,24,19.49,106.63,0.48,35.25,622.37
MARZO,7,6,0.013,0.004,0.43,0.024,51,29,18.31,124.08,0.49,36.96,622.59
MARZO,7,7,0.010,0.003,0.74,0.027,54,31,17.85,115.78,0.57,37.94,622.91
MARZO,7,8,0.009,0.012,1.18,0.031,68,30,17.37,115.08,0.45,38.24,623.31
MARZO,7,9,0.014,0.026,1.07,0.032,86,33,17.98,105.69,0.46,37.06,623.84
MARZO,7,10,0.027,0.042,0.88,0.033,86,42,20.11,111.98,0.61,32.62,624.16
MARZO,7,11,0.035,0.021,0.68,0.022,104,47,22.93,160.47,0.47,32.38,624.23
MARZO,7,12,0.047,0.003,0.62,0.013,66,37,25.34,228.67,0.71,29.84,623.96
MARZO,7,13,0.061,0.003,0.51,0.007,39,27,27.02,232.09,0.77,27.22,623.23
MARZO,7,14,0.062,0.002,0.49,0.007,33,26,28.60,256.87,1.25,21.24,622.32
MARZO,7,15,0.058,0.001,0.53,0.009,26,28,30.06,244.06,1.46,12.29,621.52
MARZO,7,16,0.066,0.007,0.43,0.008,27,26,30.80,195.58,0.60,11.53,620.90
MARZO,7,17,0.068,0.005,0.55,0.012,36,22,30.99,222.29,0.85,12.51,620.44
MARZO,7,18,0.060,0.003,0.68,0.016,37,23,30.70,253.96,0.57,11.26,620.33
MARZO,7,19,0.036,0.002,1.34,0.033,36,19,30.08,245.49,0.45,11.61,620.55
MARZO,7,20,0.008,0.004,2.54,0.052,57,19,28.72,227.02,0.45,13.72,620.64
MARZO,7,21,0.014,0.004,1.63,0.042,84,24,26.79,242.11,0.91,18.33,621.02
MARZO,7,22,0.015,0.002,0.95,0.033,74,26,24.43,188.20,0.54,22.47,621.87
MARZO,7,23,0.031,0.005,0.66,0.023,72,27,24.26,167.03,1.81,22.22,622.46
MARZO,8,0,0.022,0.016,0.71,0.029,67,39,23.17,101.91,0.46,24.07,622.72
MARZO,8,1,0.018,0.009,0.64,0.028,70,41,21.96,147.29,0.45,26.55,622.78
MARZO,8,2,0.020,0.002,0.59,0.023,59,35,21.90,154.34,0.52,26.77,622.68
MARZO,8,3,0.030,0.002,0.41,0.012,47,31,21.79,149.69,0.60,30.27,622.71
MARZO,8,4,0.026,0.001,0.36,0.010,41,23,20.63,126.92,0.47,31.08,622.80
MARZO,8,5,0.023,0.003,0.39,0.019,43,17,19.19,124.02,0.50,35.62,622.58
MARZO,8,6,0.011,0.002,0.44,0.023,50,25,18.23,135.67,0.51,39.82,622.86
MARZO,8,7,0.011,0.003,0.64,0.023,41,26,17.47,107.28,0.47,43.86,623.31
MARZO,8,8,0.024,NA,NA,0.025,62,21,16.67,128.34,0.45,43.37,624.12
MARZO,8,9,0.025,0.025,0.90,0.028,72,NA,18.53,111.79,0.93,40.23,625.33
MARZO,8,10,0.031,0.035,0.49,0.018,75,NA,21.00,103.06,1.26,37.46,625.52
MARZO,8,11,0.043,0.050,0.52,0.018,63,39,23.16,156.26,0.45,34.05,625.42
MARZO,8,12,0.058,0.046,0.62,0.016,62,43,25.63,228.60,0.45,24.15,624.89
MARZO,8,13,0.075,0.058,0.62,0.015,60,45,27.69,144.88,0.97,22.11,624.03
MARZO,8,14,0.086,0.045,0.50,0.012,64,41,29.27,156.96,0.77,18.41,623.19
MARZO,8,15,0.074,0.015,0.47,0.011,44,37,30.56,174.86,1.20,12.45,622.18
MARZO,8,16,0.062,0.003,0.41,0.009,37,33,31.43,180.93,1.76,9.15,621.46
MARZO,8,17,0.063,0.004,0.44,0.010,36,27,31.94,199.97,1.28,9.03,621.14
MARZO,8,18,0.055,0.003,0.69,0.018,38,23,31.60,225.20,1.37,9.72,620.89
MARZO,8,19,0.038,0.005,1.08,0.033,42,25,30.71,235.64,0.65,11.32,620.94
MARZO,8,20,0.020,0.003,1.57,0.042,58,30,29.00,230.82,0.65,13.18,621.23
MARZO,8,21,0.009,0.003,1.76,0.048,73,32,27.66,217.06,0.55,15.02,621.67
MARZO,8,22,0.029,0.084,0.43,0.020,79,32,26.44,84.85,4.28,20.41,622.42
MARZO,8,23,0.032,0.065,0.35,0.012,76,40,25.61,123.97,2.06,22.29,623.53
