DATOS HORARIOS 2018_CRUZ ROJA,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR
MAY,8,9,0.91,15.9,0.88,14.65,17.45,15.55,0.95,169.12,15.78,80.24,626.96
MAY,8,10,1.61,17.66,0.39,8.65,36.16,27.16,1.57,302.2,16.36,78.25,627.01
MAY,8,11,3.47,17.8,0.29,5.75,19.18,NA,1,262.66,18.45,68.05,626.95
MAY,8,12,3.72,47.35,1.25,18.29,58.51,23.97,2.36,155.89,19.31,69.39,626.59
MAY,8,13,9.52,34.07,0.48,6.99,71.43,NA,2.5,160.93,20.97,62.43,625.9
MAY,8,14,12.39,24.27,0.35,4.54,39.67,NA,2.61,160.55,22.16,57.16,625.26
MAY,8,15,12.03,14.05,0.24,4.9,22.86,NA,2.72,163.79,23.46,51.84,624.53
MAY,8,16,14.03,10.82,0.17,2.7,23.65,NA,2.16,141.26,25.24,42.74,623.7
MAY,8,17,14.37,10.39,0.14,2.7,17.28,12.44,2.71,145.32,25.92,34.33,623.06
MAY,8,18,14.29,9.6,0.22,3.45,21.9,15.35,2.53,148.84,25.91,31.47,622.88
MAY,8,19,11.53,9.21,0.35,6.61,29.88,11.78,2.45,160.07,25.02,37.07,623
MAY,8,20,6.22,9.44,0.39,9.25,31.38,16.72,2.73,156.07,24.01,41.72,623.39
MAY,8,21,3.84,8.95,0.4,11.78,33.89,10.46,2.06,123.88,22.91,45.97,623.86
MAY,8,22,3.33,53.22,0.13,10.54,37.65,18.84,2.85,85.54,22.51,44.5,624.51
MAY,8,23,4.56,62.22,0.04,5.66,31.35,NA,3.43,74.46,22.17,36.2,624.82
MAY,9,0,5.33,62.23,0.01,3.76,23.98,22.34,3.7,78.41,21.39,34.25,624.89
MAY,9,1,1.93,24.95,0.01,8.58,37.17,21.65,2.87,108.06,18.87,44.53,624.69
MAY,9,2,1.09,29.18,0.1,16.42,42.59,18.04,2.76,101.61,18.22,47.34,624.45
MAY,9,3,1.33,58.23,0.04,15.73,46.56,24.96,2.68,87.29,17.97,49.71,624.32
MAY,9,4,1.44,26.46,0.05,10.69,40.68,35.39,2.06,93.31,17.66,51.31,624.25
MAY,9,5,1.02,35.72,0.03,15.53,49.39,22.96,2.01,97.17,17.07,55.34,624.18
MAY,9,6,0.8,21.02,0.25,15.94,39.57,21.85,1.76,107.54,16.43,58.24,624.19
MAY,9,7,0.8,15.44,0.57,15.34,41.08,18.02,1.38,104.43,16.06,59.85,624.47
MAY,9,8,1,61.88,0.59,16.26,50.89,22.83,2.13,102.19,18.04,54.19,624.75
MAY,9,9,1.53,24.83,0.39,12.66,48.16,40.73,2.88,109,19.39,50.72,624.81
MAY,9,10,3.78,26.13,0.26,12.77,35.93,21.13,2.42,119.19,21.2,51.53,624.84
MAY,9,11,9.49,39.15,0.31,12.07,45.73,30.62,1.87,191.15,22.85,50.65,624.58
MAY,9,12,14.95,18.5,0.25,9.61,45.5,44.38,2.31,214.69,24.4,46.85,624.18
