MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM25,TEMP,WIND_SPEED,WIND_DIR,HUMIDITY,PBAR,UV
MARZO,11.0,1.0,0.018,0.008,0.61,0.019,35.0,7.0,16.003182,1.087678,192.309583,26.08495,622.8575,0.008429
MARZO,11.0,2.0,0.013,0.007,0.56,0.022,44.0,18.0,15.185333,1.306358,244.9705,27.74265,622.679833,0.008917
MARZO,11.0,3.0,0.017,0.007,0.53,0.011,35.0,13.0,13.8207,1.198155,275.763367,31.3738,622.515667,0.008684
MARZO,11.0,4.0,0.01,0.007,0.57,0.024,29.0,15.0,12.734071,1.110493,287.853333,34.701633,622.472667,0.008632
MARZO,11.0,5.0,0.005,0.008,0.64,0.036,46.0,13.0,12.030431,1.13495,264.5745,36.63765,622.551833,0.007848
MARZO,11.0,6.0,0.011,0.007,0.7,0.034,42.0,20.0,11.678241,1.02634,262.141667,37.616617,622.707833,0.009117
MARZO,11.0,7.0,0.01,0.008,1.07,0.037,61.0,17.0,11.32975,1.122315,255.505333,38.997033,623.022667,0.011366
MARZO,11.0,8.0,0.009,0.008,1.31,0.037,99.0,27.0,12.002,1.691085,245.476333,36.7608,623.446167,0.219728
MARZO,11.0,9.0,0.012,0.008,0.91,0.031,90.0,22.0,14.534589,2.040413,279.2335,34.53285,623.883333,0.943062
MARZO,11.0,10.0,0.022,0.008,0.77,0.023,93.0,25.0,17.711121,2.568272,282.8385,33.08025,624.176,2.083432
MARZO,11.0,11.0,0.037,0.008,0.66,0.008,77.0,30.0,19.978483,3.399052,277.805333,29.5378,624.191167,3.38092
MARZO,11.0,12.0,0.045,0.007,0.59,0.005,52.0,18.0,22.251817,4.233805,272.004,24.934817,623.776167,4.363918
MARZO,11.0,13.0,0.042,0.007,0.6,0.004,40.0,16.0,24.451621,4.674543,258.231667,19.48795,622.9715,5.132585
MARZO,11.0,14.0,0.042,0.007,0.56,0.004,30.0,24.0,26.248667,4.855302,265.3285,17.126417,622.296667,4.995492
MARZO,11.0,15.0,0.044,0.007,0.53,0.003,118.0,26.0,27.271767,6.840943,257.826167,10.49192,621.593,4.362273
MARZO,11.0,16.0,0.043,0.006,0.53,0.002,91.0,18.0,27.878474,6.589027,252.625167,8.909025,620.913167,3.243442
MARZO,11.0,17.0,0.042,0.006,0.5,0.002,67.0,12.0,27.975982,6.496197,257.6145,8.734513,620.6865,1.968078
MARZO,11.0,18.0,0.039,0.006,0.5,0.004,53.0,9.0,27.010917,4.824055,263.929333,11.75185,620.824667,0.773457
MARZO,11.0,19.0,0.031,0.006,0.57,0.012,53.0,6.0,24.408569,2.761993,265.930833,17.96905,621.128,0.138243
MARZO,11.0,20.0,0.018,0.007,0.68,0.025,73.0,5.0,22.121316,2.361847,264.972333,20.4134,621.676833,0.008138
MARZO,11.0,21.0,0.017,0.007,0.71,0.026,82.0,9.0,20.44475,2.329458,253.417833,21.983783,622.204167,0.0078
MARZO,11.0,22.0,0.015,0.007,0.91,0.03,87.0,14.0,19.789467,2.171272,182.263167,23.758517,622.857333,0.007993
MARZO,11.0,23.0,0.019,0.007,0.68,0.014,77.0,17.0,19.195702,1.695345,224.735,24.2344,623.304667,0.008221
MARZO,12.0,0.0,0.007,0.009,1.04,0.035,67.0,12.0,17.730667,0.931685,152.870707,28.063267,623.626,0.008873
MARZO,12.0,1.0,0.005,0.014,1.16,0.04,138.0,34.0,16.587267,0.709155,143.74095,31.599833,623.685,0.008126
MARZO,12.0,2.0,0.003,0.009,1.25,0.033,151.0,50.0,15.162833,1.253653,255.762423,34.148567,623.568,0.008069
MARZO,12.0,3.0,0.001,0.01,0.91,0.034,124.0,45.0,13.36725,1.051433,202.652333,34.62405,623.3775,0.00876
MARZO,12.0,4.0,0.002,0.009,0.89,0.032,74.0,30.0,12.954579,1.051857,178.225167,35.986533,623.254333,0.009125
MARZO,12.0,5.0,0.003,0.011,0.96,0.032,84.0,29.0,12.298733,1.718832,103.154017,39.306017,623.306667,0.007483
MARZO,12.0,6.0,0.001,0.01,0.87,0.031,104.0,40.0,11.0408,2.537718,94.93975,37.878033,623.6035,0.008836
MARZO,12.0,7.0,0.005,0.009,0.87,0.03,81.0,26.0,12.1813,3.708485,94.541317,46.058983,623.6785,0.011146
MARZO,12.0,8.0,0.021,0.008,0.82,0.015,72.0,16.0,13.97925,4.613912,77.183683,53.866333,624.083167,0.210603
MARZO,12.0,9.0,0.028,0.007,0.83,0.011,74.0,34.0,16.231281,4.203543,68.819967,51.807467,624.723167,0.89179
MARZO,12.0,10.0,0.035,0.007,0.83,0.01,168.0,30.0,18.1502,6.930682,87.8469,51.3527,624.774667,1.957628
