DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2022,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
OCTUBRE,5,20,NA,NA,0.025,0.704,28,0.006
OCTUBRE,5,21,NA,NA,0.025,0.714,25,0.005
OCTUBRE,5,22,NA,NA,0.025,0.726,15,0.005
OCTUBRE,5,23,NA,NA,0.025,0.734,12,0.004
OCTUBRE,6,0,NA,NA,0.025,0.745,11,0.006
OCTUBRE,6,1,NA,NA,0.025,0.747,10,0.005
OCTUBRE,6,2,NA,NA,0.025,0.743,9,0.004
OCTUBRE,6,3,NA,NA,0.025,0.731,12,0.004
OCTUBRE,6,4,NA,NA,0.025,0.701,11,0.004
OCTUBRE,6,5,NA,NA,0.026,0.689,14,0.006
OCTUBRE,6,6,NA,NA,0.026,0.702,15,0.009
OCTUBRE,6,7,NA,NA,0.026,0.727,17,0.011
OCTUBRE,6,8,NA,NA,0.026,0.743,16,0.009
OCTUBRE,6,9,NA,NA,0.026,0.76,17,0.006
OCTUBRE,6,10,NA,NA,0.027,0.773,15,0.004
OCTUBRE,6,11,NA,NA,0.027,0.786,15,0.006
OCTUBRE,6,12,NA,NA,0.026,0.8,17,0.006
OCTUBRE,6,13,NA,NA,0.026,0.81,15,0.006
OCTUBRE,6,14,NA,NA,0.026,0.794,15,0.005
OCTUBRE,6,15,NA,NA,0.026,0.768,11,0.004
OCTUBRE,6,16,NA,NA,0.026,0.75,12,0.005
OCTUBRE,6,17,NA,NA,0.025,0.767,14,0.006
OCTUBRE,6,18,NA,NA,0.024,0.788,15,0.007
OCTUBRE,6,19,NA,NA,0.024,0.81,12,0.009
OCTUBRE,6,20,NA,NA,0.023,0.834,10,0.01
OCTUBRE,6,21,NA,NA,0.022,0.842,16,0.007
OCTUBRE,6,22,NA,NA,0.022,0.843,16,0.006
OCTUBRE,6,23,NA,NA,0.021,0.84,15,0.005
OCTUBRE,7,0,NA,NA,0.021,0.83,14,0.005
OCTUBRE,7,1,NA,NA,0.021,0.788,15,0.004
OCTUBRE,7,2,NA,NA,0.021,0.748,12,0.002
OCTUBRE,7,3,NA,NA,0.021,0.712,11,0.004
OCTUBRE,7,4,NA,NA,0.021,0.671,11,0.003
OCTUBRE,7,5,NA,NA,0.021,0.647,9,0.004
OCTUBRE,7,6,NA,NA,0.021,0.65,10,0.006
OCTUBRE,7,7,NA,NA,0.021,0.68,14,0.008
OCTUBRE,7,8,NA,NA,0.021,0.713,17,0.007
OCTUBRE,7,9,NA,NA,0.021,0.744,16,0.006
OCTUBRE,7,10,NA,NA,0.021,0.769,15,0.006
OCTUBRE,7,11,NA,NA,0.021,0.782,16,0.005
OCTUBRE,7,12,NA,NA,0.021,0.8,19,0.006
OCTUBRE,7,13,NA,NA,0.021,0.815,17,0.004
OCTUBRE,7,14,NA,NA,0.02,0.815,15,0.004
OCTUBRE,7,15,NA,NA,0.02,0.79,13,0.004
OCTUBRE,7,16,NA,NA,0.02,0.77,16,0.006
OCTUBRE,7,17,NA,NA,0.02,0.855,19,0.007
OCTUBRE,7,18,NA,NA,0.02,0.861,24,0.006
OCTUBRE,7,19,NA,NA,0.02,0.869,21,0.004
OCTUBRE,7,20,NA,NA,0.02,0.869,19,0.005
OCTUBRE,7,21,NA,NA,0.021,0.913,17,0.005
OCTUBRE,7,22,NA,NA,0.021,0.946,21,0.005
OCTUBRE,7,23,NA,NA,0.021,0.936,16,0.003
OCTUBRE,8,0,NA,NA,0.022,0.924,14,0.003
OCTUBRE,8,1,NA,NA,0.022,0.806,14,0.003
OCTUBRE,8,2,NA,NA,0.022,0.775,12,0.003
OCTUBRE,8,3,NA,NA,0.023,0.756,10,0.004
OCTUBRE,8,4,NA,NA,0.022,0.738,9,0.005
OCTUBRE,8,5,NA,NA,0.022,0.678,9,0.006
OCTUBRE,8,6,NA,NA,0.022,0.638,10,0.009
OCTUBRE,8,7,NA,NA,0.022,0.666,16,0.011
OCTUBRE,8,8,NA,NA,0.022,0.694,25,0.008
OCTUBRE,8,9,NA,NA,0.022,0.712,22,0.005
OCTUBRE,8,10,NA,NA,0.023,0.726,18,0.004
OCTUBRE,8,11,NA,NA,0.023,0.733,15,0.004
OCTUBRE,8,12,NA,NA,0.024,0.744,13,0.003
OCTUBRE,8,13,NA,NA,0.024,0.754,14,0.004
OCTUBRE,8,14,NA,NA,0.024,0.756,12,0.004
