DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2022,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
MAYO,14,18,0.067,0.076,0.012,1.27,78,0.008
MAYO,14,19,0.050,0.075,0.012,1.30,83,0.010
MAYO,14,20,0.043,0.071,0.012,1.31,95,0.009
MAYO,14,21,0.041,0.067,0.011,1.33,86,0.008
MAYO,14,22,0.041,0.062,0.011,1.34,89,0.008
MAYO,14,23,0.039,0.055,0.010,1.32,77,0.008
MAYO,15,0,0.039,0.049,0.010,1.31,58,0.007
MAYO,15,1,0.038,0.045,0.010,1.31,47,0.008
MAYO,15,2,0.038,0.041,0.009,1.31,37,0.007
MAYO,15,3,0.031,0.039,0.009,1.28,35,0.011
MAYO,15,4,0.029,0.037,0.009,1.26,36,0.009
MAYO,15,5,0.022,0.035,0.008,1.25,40,0.016
MAYO,15,6,0.012,0.031,0.008,1.27,46,0.021
MAYO,15,7,0.019,0.029,0.008,1.32,55,0.028
MAYO,15,8,0.022,0.026,0.009,1.34,68,0.019
MAYO,15,9,0.037,0.026,0.010,1.34,73,0.009
MAYO,15,10,0.049,0.028,0.010,1.34,59,0.006
MAYO,15,11,0.055,0.031,0.010,1.34,52,0.005
