DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2022,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
ABRIL,11,5,NA,NA,0.003,1.09,30,0.025
ABRIL,11,6,0.004,NA,0.002,1.11,27,0.021
ABRIL,11,7,0.004,NA,0.002,1.15,32,0.022
ABRIL,11,8,0.010,NA,0.002,1.17,43,0.015
ABRIL,11,9,0.019,NA,0.002,1.18,47,0.010
ABRIL,11,10,0.031,NA,0.002,1.17,36,0.005
ABRIL,11,11,0.037,NA,0.002,1.16,28,0.004
ABRIL,11,12,0.041,NA,0.002,1.14,25,0.003
ABRIL,11,13,0.045,0.024,0.002,1.12,21,0.004
ABRIL,11,14,0.049,0.030,0.002,1.09,21,0.004
ABRIL,11,15,0.051,0.035,0.002,1.05,23,0.005
ABRIL,11,16,0.053,0.041,0.002,1.02,23,0.005
ABRIL,11,17,0.051,0.045,0.002,1.01,25,0.006
ABRIL,11,18,0.049,0.047,0.002,1.03,33,0.009
ABRIL,11,19,0.045,0.048,0.002,1.04,40,0.008
ABRIL,11,20,0.042,0.048,0.002,1.04,53,0.004
ABRIL,11,21,0.037,0.047,0.002,1.05,46,0.010
ABRIL,11,22,0.036,0.046,0.002,1.06,39,0.009
ABRIL,11,23,0.031,0.043,0.002,1.06,50,0.008
ABRIL,12,0,0.030,0.040,0.002,1.06,44,0.009
ABRIL,12,1,0.023,0.037,0.002,1.07,34,0.012
ABRIL,12,2,0.019,0.033,0.002,1.06,32,0.022
ABRIL,12,3,0.011,0.029,0.002,1.05,30,0.024
ABRIL,12,4,0.007,0.024,0.002,1.06,33,0.020
ABRIL,12,5,0.009,0.021,0.002,1.06,32,0.016
ABRIL,12,6,0.007,0.017,0.002,1.07,37,0.016
ABRIL,12,7,0.006,0.014,0.002,1.11,43,0.016
ABRIL,12,8,0.006,0.011,0.002,1.14,40,0.018
ABRIL,12,9,0.017,0.010,0.002,1.15,42,0.011
ABRIL,12,10,0.029,0.011,0.002,1.15,43,0.007
ABRIL,12,11,0.035,0.014,0.002,1.16,34,0.005
ABRIL,12,12,0.041,0.019,0.002,1.15,24,0.005
ABRIL,12,13,0.043,0.023,0.002,1.14,22,0.004
ABRIL,12,14,0.044,0.028,0.002,1.13,23,0.004
ABRIL,12,15,0.044,0.032,0.002,1.08,24,0.004
ABRIL,12,16,0.046,0.037,0.002,1.04,28,0.004
ABRIL,12,17,0.046,0.041,0.002,1.02,27,0.004
ABRIL,12,18,0.046,0.043,0.002,1.00,30,0.006
ABRIL,12,19,0.040,0.044,0.002,1.00,31,0.008
ABRIL,12,20,0.029,0.042,0.002,1.02,37,0.014
ABRIL,12,21,0.022,0.040,0.002,1.05,44,0.016
ABRIL,12,22,0.012,0.036,0.002,1.09,49,0.018
ABRIL,12,23,0.013,0.032,0.002,1.12,53,0.014
ABRIL,13,0,0.019,0.028,0.002,1.13,56,0.009
ABRIL,13,1,0.019,0.025,0.002,1.13,51,0.006
ABRIL,13,2,0.016,0.021,0.002,1.13,39,0.007
ABRIL,13,3,0.016,0.018,0.002,1.13,33,0.006
ABRIL,13,4,0.014,0.016,0.002,1.10,27,0.007
ABRIL,13,5,0.011,0.015,0.002,1.07,25,0.011
ABRIL,13,6,0.009,0.014,0.002,1.04,24,0.014
ABRIL,13,7,0.006,0.014,0.002,1.06,40,0.020
ABRIL,13,8,0.009,0.012,0.002,1.10,44,0.018
ABRIL,13,9,0.016,0.012,0.002,1.12,38,0.012
ABRIL,13,10,0.026,0.013,0.002,1.14,33,0.009
ABRIL,13,11,0.035,0.016,0.002,1.15,30,0.007
ABRIL,13,12,0.031,0.018,0.002,1.15,28,0.004
ABRIL,13,13,0.034,0.021,0.002,1.14,20,0.004
ABRIL,13,14,0.039,0.024,0.002,1.13,15,0.004
ABRIL,13,15,0.042,0.029,0.002,1.08,18,0.004
ABRIL,13,16,0.043,0.033,0.002,1.04,15,0.005
ABRIL,13,17,0.043,0.037,0.002,1.02,17,0.005
ABRIL,13,18,0.043,0.039,0.002,1.01,18,0.006
ABRIL,13,19,0.040,0.039,0.002,1.01,21,0.008
ABRIL,13,20,0.020,0.038,0.002,1.09,26,0.024
ABRIL,13,21,0.011,0.035,0.002,1.16,48,0.030
ABRIL,13,22,0.018,0.033,0.002,1.20,61,0.022
ABRIL,13,23,0.019,0.030,0.002,1.22,71,0.021
ABRIL,14,0,0.016,0.026,0.002,1.25,69,0.021
