DATOS HORARIOS 2023_NATIVITAS,,,,,,,,,,,
NOTA,LOS DATOS SON REVALIDADOS,,,,,,,,,,
,,,,,,,,,,,
MES,DÍA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m3],TEMP,WS,WD,HR
SEPTIEMBRE,5,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,6,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,6,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,6,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,6,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,6,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,6,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,6,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,6,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,6,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,6,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,6,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,6,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,7,11,0.03,0.014,0.005,1.08,181,23.97,1.94,97.79,55.73
SEPTIEMBRE,7,12,0.04,0.009,0.005,0.88,NA,25.49,2.07,118.89,50.35
SEPTIEMBRE,7,13,0.06,0.009,0.004,0.81,NA,26.43,1.97,141.34,46.82
SEPTIEMBRE,7,14,0.06,0.012,0.004,0.78,NA,27.05,1.54,158.59,44.45
SEPTIEMBRE,7,15,0.06,0.027,0.005,0.73,NA,28.35,1.61,147.21,37.11
SEPTIEMBRE,7,16,0.06,0.016,0.004,0.75,NA,26.57,1.58,209.61,42.34
SEPTIEMBRE,7,17,0.06,0.011,0.004,0.77,23,27.41,1.91,245.53,43.31
SEPTIEMBRE,7,18,0.06,0.01,0.004,0.78,13,25.85,2.72,245.32,47.05
SEPTIEMBRE,7,19,0.04,0.009,0.005,0.81,37,23.02,3.05,236.42,58.04
SEPTIEMBRE,7,20,0.04,0.008,0.005,0.81,30,20.24,2.5,245.34,65.34
SEPTIEMBRE,7,21,0.03,0.008,0.007,0.93,NA,19.39,1.33,268.51,67.32
SEPTIEMBRE,7,22,0.03,0.008,0.006,0.9,27,18.78,1.09,229.85,70.22
SEPTIEMBRE,7,23,0.03,0.008,0.006,0.78,20,18.36,1.09,223.8,75.66
SEPTIEMBRE,8,0,0.02,0.009,0.007,0.75,21,18.39,1.39,209.9,75.61
SEPTIEMBRE,8,1,0.03,0.009,0.004,0.74,8,18.15,1.03,223.99,74.83
SEPTIEMBRE,8,2,0.02,0.009,0.005,0.72,10,17.4,0.96,200.5,77.41
SEPTIEMBRE,8,3,0.02,0.009,0.006,0.71,21,17.59,0.95,153.5,80.24
SEPTIEMBRE,8,4,0.01,0.009,0.007,0.75,21,17.24,0.95,110.63,84.62
SEPTIEMBRE,8,5,0.01,0.008,0.009,0.74,22,16.71,0.95,147.58,87.07
SEPTIEMBRE,8,6,0,0.008,0.01,0.76,31,15.79,0.96,131.55,91.91
SEPTIEMBRE,8,7,0,0.008,0.01,0.99,18,15.55,0.96,117.86,95.74
SEPTIEMBRE,8,8,0.01,0.008,0.009,1.09,44,18.79,0.95,156.31,87.53
SEPTIEMBRE,8,9,0.02,0.008,0.007,0.99,34,21.05,1.02,134.06,74.37
SEPTIEMBRE,8,10,0.03,0.012,0.006,0.95,35,23.84,1.45,128.62,59.22
SEPTIEMBRE,8,11,0.04,0.011,0.004,0.82,38,24.58,2.51,120.91,53.38
SEPTIEMBRE,8,12,0.04,0.013,0.004,0.92,125,26.7,2.45,119.01,44.56
SEPTIEMBRE,8,13,0.04,0.013,0.003,0.79,72,27.59,3.25,112.24,38.64
SEPTIEMBRE,8,14,0.04,0.015,0.003,0.77,48,28.62,2.91,103.11,35.19
SEPTIEMBRE,8,15,0.04,0.02,0.004,0.73,51,28.86,1.87,128.44,34.19
SEPTIEMBRE,8,16,0.05,0.009,0.003,0.73,34,27.97,2.37,138.79,37.83
SEPTIEMBRE,8,17,0.05,0.009,0.004,0.71,29,29.19,1.93,135.42,34.53
SEPTIEMBRE,8,18,0.04,0.017,0.005,0.76,60,23.89,2.78,148.55,54.91
SEPTIEMBRE,8,19,0.01,0.009,0.016,1.61,49,21.1,0.95,222.13,90.01
SEPTIEMBRE,8,20,0.01,0.009,0.02,2.61,73,20.45,0.95,233.24,91.69
SEPTIEMBRE,8,21,NA,0.019,0.013,1.4,87,21.01,2.14,86.23,70.29
SEPTIEMBRE,8,22,0.01,0.015,0.011,1.14,75,20.14,1.34,89.24,63.04
SEPTIEMBRE,8,23,0.01,0.011,0.009,1.02,57,19.4,2.33,78.02,61.08
SEPTIEMBRE,9,0,0.01,0.012,0.007,0.92,40,18.64,1.69,95.99,61.75
SEPTIEMBRE,9,1,0.02,0.009,0.007,0.93,24,17.71,1.92,94.93,64.98
