DATOS HORARIOS 2023_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
ABRIL,11,13,0.043,0.020,0.005,1.41,39,24.71,4.303823,91.84,NA
ABRIL,11,14,0.041,0.012,0.003,1.37,37,25.25,3.956423,103.75,NA
ABRIL,11,15,0.046,0.007,0.002,1.34,41,26.83,3.844242,125.66,NA
ABRIL,11,16,0.052,0.008,0.003,1.36,47,27.34,2.400342,136.48,NA
ABRIL,11,17,0.052,0.009,0.003,1.38,94,25.27,2.60456,140.33,NA
ABRIL,11,18,0.040,0.039,0.006,1.61,137,23.33,6.248027,119.03,NA
ABRIL,11,19,0.029,0.019,0.009,1.70,284,14.03,3.75425,84.55,NA
ABRIL,11,20,0.020,0.030,0.013,1.90,39,16.77,2.436463,132.89,NA
ABRIL,11,21,0.021,0.049,0.011,1.90,31,16.89,2.8853,72.16,NA
ABRIL,11,22,0.023,0.029,0.008,1.38,38,16.36,4.435112,74.57,NA
ABRIL,11,23,0.029,0.031,0.006,1.35,22,15.14,4.6109,76.65,NA
ABRIL,12,0,0.027,0.023,0.005,1.32,22,13.83,3.968507,101.00,NA
ABRIL,12,1,0.022,0.012,0.007,1.33,17,13.65,3.613853,71.73,NA
ABRIL,12,2,0.025,0.026,0.006,1.34,14,13.82,3.444777,64.31,NA
ABRIL,12,3,0.023,0.015,0.006,1.29,10,13.12,2.798607,87.51,NA
ABRIL,12,4,0.025,0.011,0.007,1.29,12,12.21,2.302967,70.27,NA
ABRIL,12,5,0.015,0.010,0.007,1.30,11,11.66,2.431185,109.80,NA
ABRIL,12,6,0.011,0.008,0.008,1.32,15,10.97,1.858937,112.23,NA
ABRIL,12,7,0.005,0.007,0.012,1.47,23,10.71,2.082948,107.02,NA
ABRIL,12,8,0.020,0.007,0.011,1.60,48,14.23,1.755368,89.54,NA
ABRIL,12,9,0.023,0.007,0.008,1.50,44,16.59,3.280847,86.29,NA
ABRIL,12,10,0.030,0.007,0.005,1.40,24,18.84,2.979605,104.07,NA
