DATOS HORARIOS 2023_NATIVITAS,,,,,,,,,,,
NOTA,LOS DATOS SON REVALIDADOS,,,,,,,,,,
,,,,,,,,,,,
MES,DÍA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m3],WS,WD,TEMP,HR
OCTUBRE,8,6,0.029,0.009,0.002,0.80,6,2.170,82.590,14.780,74.320
OCTUBRE,8,7,0.028,0.008,0.002,0.85,15,2.380,72.700,14.490,74.100
OCTUBRE,8,8,0.028,0.008,0.002,0.90,7,2.630,67.950,15.310,70.570
OCTUBRE,8,9,0.031,0.009,0.001,0.86,17,4.330,66.880,16.840,64.380
OCTUBRE,8,10,0.032,0.010,0.001,0.89,20,4.370,71.770,17.780,61.210
OCTUBRE,8,11,0.033,0.011,0.001,0.92,16,5.070,68.360,19.760,55.570
OCTUBRE,8,12,0.038,0.008,0.002,0.92,29,6.400,97.520,21.750,49.150
OCTUBRE,8,13,0.037,0.016,0.002,0.90,49,6.800,83.090,22.320,47.820
OCTUBRE,8,14,0.037,0.019,0.002,0.89,56,6.890,82.120,22.850,46.030
OCTUBRE,8,15,0.036,0.021,0.001,0.89,41,6.340,72.770,23.150,45.410
OCTUBRE,8,16,0.035,0.023,0.001,0.90,38,6.320,74.140,23.320,44.590
OCTUBRE,8,17,0.034,0.022,0.000,0.88,35,6.430,66.640,22.330,47.220
OCTUBRE,8,18,0.033,0.014,0.000,0.85,27,6.590,58.900,20.870,51.420
OCTUBRE,8,19,0.029,0.019,0.001,0.88,21,4.880,54.660,18.610,58.690
OCTUBRE,8,20,0.028,0.024,0.002,0.91,18,4.070,52.050,16.950,64.260
OCTUBRE,8,21,0.028,0.012,0.002,0.88,16,3.900,63.140,16.510,66.070
OCTUBRE,8,22,0.029,0.010,0.001,0.84,19,4.660,63.970,16.060,67.270
OCTUBRE,8,23,0.030,0.008,0.001,0.82,12,4.320,63.430,16.100,67.140
OCTUBRE,9,0,0.030,0.009,0.001,0.80,11,3.520,63.510,15.430,69.440
OCTUBRE,9,1,0.030,0.008,0.001,0.77,14,3.880,62.460,15.230,70.710
OCTUBRE,9,2,0.030,0.011,0.001,0.77,4,3.660,64.170,15.470,69.290
OCTUBRE,9,3,0.028,0.025,0.001,0.76,8,3.650,72.470,15.020,71.240
OCTUBRE,9,4,0.024,0.024,0.002,0.77,16,1.740,74.030,13.890,75.210
OCTUBRE,9,5,0.025,0.015,0.004,0.78,9,1.580,94.020,13.340,78.280
OCTUBRE,9,6,0.026,0.009,0.006,0.80,8,2.930,94.540,13.330,79.030
OCTUBRE,9,7,0.020,0.008,0.006,0.93,12,2.470,99.190,13.230,79.800
OCTUBRE,9,8,0.019,0.010,0.007,10257.00,35,2.750,94.820,15.270,73.060
OCTUBRE,9,9,0.026,0.026,0.003,0.92,39,4.020,73.080,18.020,61.920
OCTUBRE,9,10,0.031,0.015,0.003,0.91,36,3.740,88.640,19.730,55.960
OCTUBRE,9,11,0.033,0.018,0.003,0.89,26,3.800,87.080,21.480,50.870
OCTUBRE,9,12,0.039,0.012,0.002,0.88,24,3.280,101.170,23.720,45.030
OCTUBRE,9,13,0.044,0.009,0.008,0.91,25,2.690,106.030,25.520,40.860
OCTUBRE,9,14,0.045,0.009,0.006,0.88,23,1.610,132.230,26.250,39.490
OCTUBRE,9,15,0.049,0.009,0.007,0.88,30,1.790,135.650,25.600,41.190
OCTUBRE,9,16,0.047,0.011,0.014,0.87,25,1.500,151.450,25.820,40.580
OCTUBRE,9,17,0.046,0.009,0.011,0.87,43,2.700,183.100,25.420,41.840
OCTUBRE,9,18,0.033,0.008,0.010,0.87,47,3.110,184.830,23.230,49.210
OCTUBRE,9,19,0.027,0.008,0.013,0.95,47,2.240,177.870,21.920,56.070
OCTUBRE,9,20,0.020,0.008,0.011,0.94,56,2.540,167.230,21.140,60.430
OCTUBRE,9,21,0.021,0.008,0.005,0.91,35,2.580,125.450,19.100,74.780
OCTUBRE,9,22,0.021,0.008,0.007,0.97,30,1.270,125.080,17.650,86.660
OCTUBRE,9,23,0.017,0.008,0.008,0.98,26,0.970,112.910,17.850,86.470
