DATOS HORARIOS 2023_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
MARZO,8,7,0.020,0.008,0.021,1.12,79,14,1.37,112.42,47.09
MARZO,8,8,0.021,0.006,0.020,1.28,122,14,1.59,92.62,45.50
MARZO,8,9,0.016,0.008,0.019,1.17,128,18,1.70,127.36,37.63
MARZO,8,10,0.023,0.007,0.016,1.00,126,21,2.58,122.87,32.16
MARZO,8,11,0.043,0.018,0.010,0.91,78,25,1.43,173.25,28.23
MARZO,8,12,0.059,0.016,0.009,0.90,74,27,1.77,180.74,22.79
MARZO,8,13,0.072,0.026,0.008,0.90,76,28,2.27,154.34,19.87
MARZO,8,14,0.074,0.022,0.007,0.85,81,30,2.32,183.03,16.95
MARZO,8,15,0.068,0.007,0.004,0.79,54,31,1.90,176.35,13.07
MARZO,8,16,0.062,0.006,0.003,0.76,41,31,2.69,183.57,11.77
MARZO,8,17,0.065,0.006,0.004,0.77,50,31,2.56,181.70,12.02
MARZO,8,18,0.064,0.007,0.005,0.79,57,30,2.32,195.31,12.56
MARZO,8,19,0.057,0.007,0.010,0.98,73,28,1.56,233.36,13.46
MARZO,8,20,0.021,0.007,0.032,1.94,118,25,1.20,254.95,15.86
MARZO,8,21,0.011,0.007,0.040,2.67,171,23,1.07,227.97,17.65
MARZO,8,22,0.062,0.009,0.016,1.05,166,23,4.03,88.74,22.50
MARZO,8,23,0.033,0.013,0.012,0.84,156,22,3.31,133.68,24.50
MARZO,9,0,0.083,0.006,0.016,0.88,106,21,1.85,73.03,26.03
MARZO,9,1,0.027,0.006,0.011,0.84,67,19,1.25,204.30,28.95
MARZO,9,2,0.013,0.006,0.016,0.93,66,18,1.00,112.40,32.99
MARZO,9,3,0.018,0.006,0.020,0.97,73,16,1.04,107.77,37.71
MARZO,9,4,0.009,0.006,0.019,0.91,68,16,1.03,126.71,39.49
MARZO,9,5,0.030,0.007,0.020,0.92,65,15,1.09,63.81,42.71
MARZO,9,6,0.055,0.008,0.020,0.98,78,14,0.98,125.05,48.40
MARZO,9,7,0.005,0.006,0.021,1.06,92,13,1.80,142.82,50.73
MARZO,9,8,0.007,0.006,0.018,1.04,88,14,2.16,132.13,51.96
MARZO,9,9,0.013,0.006,0.018,1.12,102,17,2.62,108.79,46.03
MARZO,9,10,0.025,0.007,0.014,1.01,114,21,2.43,130.55,40.53
MARZO,9,11,0.040,0.007,0.011,0.98,86,25,1.49,203.44,33.90
MARZO,9,12,0.053,0.007,0.007,0.96,78,27,2.05,236.36,29.51
MARZO,9,13,0.058,0.006,0.005,0.93,69,28,2.84,268.91,24.42
MARZO,9,14,0.071,0.006,0.007,0.97,61,29,3.25,269.87,18.06
MARZO,9,15,0.077,0.006,0.006,0.93,67,31,2.92,251.30,14.61
MARZO,9,16,0.067,0.006,0.004,0.84,64,31,3.03,251.44,12.78
MARZO,9,17,0.067,0.006,0.005,0.82,59,31,2.80,226.56,11.55
MARZO,9,18,0.067,0.006,0.005,0.81,62,30,2.43,231.62,11.81
MARZO,9,19,0.058,0.006,0.009,0.93,78,28,2.12,219.61,12.74
MARZO,9,20,0.034,0.006,0.022,1.21,118,25,1.08,191.93,14.43
MARZO,9,21,0.012,0.007,0.040,1.87,151,23,1.06,226.15,16.55
MARZO,9,22,0.020,0.006,0.029,1.40,151,22,2.03,257.79,20.44
MARZO,9,23,0.032,0.010,0.022,1.09,132,20,2.71,164.24,22.95
MARZO,10,0,0.050,0.008,0.017,1.00,121,20,1.23,203.39,22.92
MARZO,10,1,0.041,0.009,0.029,1.21,114,19,1.01,161.13,24.98
MARZO,10,2,0.038,0.009,0.031,1.14,123,17,1.00,142.80,28.52
MARZO,10,3,0.040,0.007,0.017,1.02,98,17,1.22,175.90,29.95
MARZO,10,4,0.029,0.007,0.018,1.01,76,16,0.97,171.79,32.19
MARZO,10,5,0.025,0.006,0.022,1.02,84,15,1.07,194.63,35.41
MARZO,10,6,0.008,0.006,0.024,1.01,97,14,1.41,116.26,48.00
MARZO,10,7,0.005,0.006,0.021,0.99,71,13,2.10,137.65,53.55
MARZO,10,8,0.007,0.006,0.020,1.11,75,14,2.35,120.81,55.09
MARZO,10,9,0.015,0.006,0.017,1.11,95,17,3.47,103.74,50.20
MARZO,10,10,0.026,0.006,0.012,1.02,117,21,2.92,111.33,43.77
MARZO,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARZO,10,12,0.056,0.009,0.005,1.16,14,26,1.93,179.08,26.26
MARZO,10,13,0.068,0.006,0.005,0.98,52,28,1.82,185.68,20.69
MARZO,10,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARZO,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARZO,10,16,0.069,0.006,0.003,0.91,44,31,2.76,244.44,12.85
MARZO,10,17,0.064,0.006,0.002,0.80,71,31,2.34,205.22,12.14
MARZO,10,18,0.061,0.006,0.003,0.79,60,30,2.10,187.52,11.65
MARZO,10,19,0.051,0.006,0.008,1.08,89,27,1.49,242.10,12.77
MARZO,10,20,0.025,0.006,0.023,1.80,101,25,1.19,276.35,15.95
MARZO,10,21,0.035,0.009,0.028,2.30,142,23,2.06,154.93,19.32
MARZO,10,22,0.023,0.007,0.013,1.12,158,21,2.42,137.79,26.32
MARZO,10,23,0.024,0.010,0.009,0.98,111,21,2.97,112.56,28.85
MARZO,11,0,0.027,0.011,0.010,0.89,76,20,2.94,102.34,31.28
MARZO,11,1,0.014,0.006,0.011,0.91,74,19,2.67,127.02,33.65
MARZO,11,2,0.020,0.006,0.007,0.86,64,18,1.85,143.82,41.27
MARZO,11,3,0.019,0.007,0.008,0.89,54,18,1.54,144.85,43.29
MARZO,11,4,0.013,0.007,0.010,0.94,64,16,2.24,128.21,49.69
MARZO,11,5,0.014,0.006,0.009,0.91,57,15,1.68,132.14,56.78
MARZO,11,6,0.009,0.006,0.011,0.92,54,14,1.95,127.63,61.19
MARZO,11,7,0.005,0.006,0.014,1.02,63,13,1.51,116.25,64.43
MARZO,11,8,0.008,0.006,0.013,1.15,84,14,1.90,126.00,62.18
MARZO,11,9,0.016,0.006,0.010,1.12,93,18,2.31,108.66,52.95
MARZO,11,10,0.028,0.007,0.009,1.06,89,22,1.24,177.18,42.04
MARZO,11,11,0.041,0.006,0.006,1.04,79,25,2.16,241.91,36.34
MARZO,11,12,0.052,0.006,0.003,0.92,47,26,2.67,256.41,29.70
MARZO,11,13,0.060,0.006,0.004,0.93,51,28,2.37,245.07,25.14
MARZO,11,14,0.067,0.007,0.004,0.94,53,29,2.74,260.06,18.34
MARZO,11,15,0.072,0.006,0.003,0.94,58,30,3.05,247.99,15.05
MARZO,11,16,0.069,0.006,0.003,0.91,55,31,2.79,245.37,13.42
MARZO,11,17,0.065,0.006,0.004,0.91,54,30,2.93,262.37,12.45
MARZO,11,18,0.065,0.005,0.003,0.85,53,30,1.95,250.20,12.19
MARZO,11,19,0.051,0.006,0.009,1.13,70,27,2.09,244.98,14.74
MARZO,11,20,0.033,0.006,0.018,1.68,133,25,1.78,252.14,18.81
MARZO,11,21,0.044,0.006,0.009,1.13,112,23,2.91,254.04,23.03
MARZO,11,22,0.043,0.006,0.007,1.06,94,22,2.23,227.66,23.16
MARZO,11,23,0.037,0.006,0.007,1.04,98,20,2.14,261.30,27.31
MARZO,12,0,0.030,0.006,0.008,1.10,82,19,1.61,249.12,32.34
MARZO,12,1,0.031,0.006,0.006,0.97,85,18,1.95,221.28,37.38
MARZO,12,2,0.033,0.006,0.004,0.89,59,18,1.99,217.32,40.52
MARZO,12,3,0.033,0.006,0.003,0.87,45,17,2.02,269.14,41.03
MARZO,12,4,0.031,0.006,0.003,0.87,37,16,1.45,263.24,45.02
MARZO,12,5,0.027,0.006,0.004,0.89,42,15,0.96,226.18,45.61
MARZO,12,6,0.022,0.006,0.006,0.97,50,14,1.15,230.75,48.44
MARZO,12,7,0.026,0.006,0.006,1.05,49,14,1.42,265.07,51.30
MARZO,12,8,0.024,0.006,0.009,1.17,49,16,1.11,287.20,50.64
MARZO,12,9,0.031,0.006,0.009,1.19,60,21,1.20,260.88,42.46
MARZO,12,10,0.037,0.006,0.005,0.99,56,22,2.78,260.47,39.49
MARZO,12,11,0.045,0.006,0.005,1.00,59,24,2.85,260.68,32.62
MARZO,12,12,0.051,0.006,0.003,0.95,44,26,2.59,257.67,26.41
MARZO,12,13,0.057,0.006,0.003,0.93,43,28,2.52,256.78,21.38
MARZO,12,14,0.060,0.006,0.004,0.99,49,29,3.76,281.55,17.33
MARZO,12,15,0.060,0.005,0.003,0.95,45,30,3.57,268.01,15.41
MARZO,12,16,0.062,0.006,0.003,0.94,48,30,3.15,259.30,13.81
MARZO,12,17,0.063,0.006,0.003,0.95,71,28,3.21,243.56,15.63
MARZO,12,18,0.056,0.005,0.003,0.93,106,27,3.58,232.84,17.86
MARZO,12,19,0.044,0.005,0.003,0.88,241,25,5.00,230.29,20.46
MARZO,12,20,0.038,0.005,0.004,0.90,458,22,4.17,227.29,25.68
MARZO,12,21,0.044,0.006,0.005,0.94,232,21,6.12,123.80,31.09
MARZO,12,22,0.047,0.005,0.003,0.84,592,18,6.68,121.93,42.21
MARZO,12,23,0.042,0.005,0.003,0.84,117,18,4.32,117.62,41.47
MARZO,13,0,0.053,0.005,0.004,0.84,39,18,4.13,88.12,43.86
MARZO,13,1,0.063,0.005,0.004,0.83,35,17,3.41,81.85,45.12
MARZO,13,2,0.036,0.005,0.005,0.85,21,17,2.16,151.05,44.24
MARZO,13,3,0.038,0.005,0.006,0.86,20,16,1.71,120.31,43.99
MARZO,13,4,0.024,0.005,0.008,0.92,33,15,1.70,257.25,46.35
MARZO,13,5,0.018,0.005,0.009,0.89,29,14,1.62,242.03,48.90
MARZO,13,6,0.026,0.005,0.009,0.97,39,13,1.36,175.83,52.87
MARZO,13,7,0.034,0.006,0.015,1.23,80,12,1.03,170.46,56.29
MARZO,13,8,0.040,0.007,0.015,1.71,113,13,1.43,149.37,55.18
MARZO,13,9,0.016,0.009,0.013,1.26,151,17,1.30,132.45,47.57
MARZO,13,10,0.038,0.008,0.007,0.98,87,22,1.05,174.01,34.54
MARZO,13,11,0.047,0.006,0.005,0.96,74,25,1.33,184.90,27.70
MARZO,13,12,0.056,0.006,0.004,0.95,53,26,1.88,226.99,24.75
MARZO,13,13,0.060,0.006,0.004,0.98,55,28,2.06,231.31,21.25
MARZO,13,14,0.053,0.005,0.002,0.92,47,28,2.59,234.99,19.46
MARZO,13,15,0.055,0.005,0.003,0.92,37,29,2.91,258.46,17.89
MARZO,13,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARZO,13,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARZO,13,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARZO,13,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARZO,13,20,0.041,0.006,0.006,1.16,NA,20,2.88,193.86,29.62
MARZO,13,21,0.035,0.010,0.007,1.05,NA,20,2.69,161.87,30.77
MARZO,13,22,0.034,0.010,0.007,0.99,NA,20,2.81,124.28,31.61
MARZO,13,23,0.034,0.006,0.005,0.91,NA,19,3.77,119.24,39.30
MARZO,14,0,0.031,0.006,0.006,0.89,NA,17,2.30,104.17,44.09
MARZO,14,1,0.043,0.006,0.007,0.91,NA,16,1.61,116.78,45.53
MARZO,14,2,0.032,0.007,0.007,1.05,58,15,0.98,166.24,47.57
MARZO,14,3,0.023,0.006,0.006,0.92,24,15,0.97,243.85,46.92
MARZO,14,4,0.049,0.007,0.014,1.01,27,14,1.17,191.53,50.50
MARZO,14,5,0.012,0.006,0.013,1.02,46,13,1.14,219.42,51.96
MARZO,14,6,0.017,0.006,0.010,0.92,49,13,1.15,149.00,50.43
MARZO,14,7,0.027,0.006,0.014,1.24,63,12,1.29,97.99,56.41
MARZO,14,8,0.010,0.006,0.016,1.44,94,13,1.56,113.59,58.86
MARZO,14,9,0.018,0.006,0.015,1.26,133,18,1.48,108.51,47.63
MARZO,14,10,0.026,0.006,0.011,1.09,84,22,1.24,133.99,39.01
MARZO,14,11,0.039,0.006,0.008,1.07,93,23,1.93,97.91,37.42
MARZO,14,12,0.048,0.007,0.004,1.00,66,25,1.98,208.29,34.05
MARZO,14,13,0.054,0.006,0.003,0.98,37,26,3.76,266.78,27.61
MARZO,14,14,0.057,0.006,0.003,0.99,40,27,3.63,258.89,24.50
