DATOS MÓVILES 2019_CRUZ ROJA,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
OCT,16,10,6.49,3.34,0.334,0.86,16,11
OCT,16,11,7.59,3.46,0.344,1.68,16,11
OCT,16,12,9.81,3.55,0.355,2.15,17,11
OCT,16,13,13.51,3.51,0.359,2.49,17,11
OCT,16,14,16.90,3.40,0.341,1.97,18,11
OCT,16,15,19.19,3.41,0.310,2.43,19,11
OCT,16,16,20.73,3.43,0.283,1.82,20,12
OCT,16,17,20.75,3.45,0.257,0.99,21,12
OCT,16,18,20.29,3.46,0.264,1.73,22,12
OCT,16,19,19.11,3.46,0.270,1.58,22,12
OCT,16,20,17.30,3.45,0.269,1.14,21,11
OCT,16,21,14.86,3.45,0.264,0.33,21,11
OCT,16,22,12.41,3.42,0.259,0.20,20,11
OCT,16,23,10.80,2.80,0.248,0.48,20,11
OCT,17,0,9.56,2.93,0.237,0.96,19,11
OCT,17,1,9.05,3.46,0.226,2.78,19,11
OCT,17,2,8.61,3.45,0.212,0.22,19,11
OCT,17,3,7.94,3.47,0.196,0.20,19,11
OCT,17,4,7.18,3.82,0.184,1.55,19,10
OCT,17,5,6.19,4.19,0.179,1.60,19,11
OCT,17,6,5.92,4.29,0.184,2.71,18,11
OCT,17,7,6.37,4.32,0.195,3.30,18,11
OCT,17,8,8.31,4.79,0.206,5.42,18,11
OCT,17,9,10.17,4.86,0.212,2.37,17,11
OCT,17,10,13.03,5.24,0.217,3.28,16,10
OCT,17,11,16.41,4.97,0.220,0.55,16,10
OCT,17,12,19.64,4.73,0.225,0.79,15,10
OCT,17,13,23.21,4.49,0.237,1.84,15,10
OCT,17,14,26.81,4.39,0.243,1.96,13,9
OCT,17,15,30.15,4.23,0.239,1.57,13,9
OCT,17,16,32.23,4.20,0.241,1.88,12,9
OCT,17,17,33.50,4.18,0.247,2.63,11,9
OCT,17,18,32.37,4.17,0.269,4.48,10,9
OCT,17,19,30.86,4.17,0.318,7.97,10,9
OCT,17,20,29.38,4.18,0.357,5.89,10,9
OCT,17,21,27.47,4.19,0.366,2.59,11,10
OCT,17,22,24.94,4.19,0.365,1.87,11,10
OCT,17,23,23.36,4.09,0.366,2.21,11,10
OCT,18,0,21.31,3.91,0.353,0.20,11,10
OCT,18,1,19.30,3.31,0.340,0.38,11,10
OCT,18,2,18.48,3.28,0.313,0.20,11,10
