DATOS MÓVILES 2019_CRUZ ROJA,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
SEP,15,22,20.96,11.03,0.299,2.71,11,11
SEP,15,23,18.21,11.88,0.283,3.62,12,11
SEP,16,0,15.65,11.69,0.269,2.59,12,12
SEP,16,1,12.93,12.54,0.259,2.64,13,12
SEP,16,2,11.39,13.63,0.251,3.38,13,12
SEP,16,3,11.34,14.04,0.238,1.83,13,12
SEP,16,4,11.05,12.74,0.219,0.51,13,12
SEP,16,5,12.28,11.95,0.206,0.20,13,12
SEP,16,6,12.67,11.61,0.198,0.20,13,12
SEP,16,7,13.54,11.40,0.207,3.03,13,12
SEP,16,8,13.97,10.18,0.223,3.63,12,11
SEP,16,9,17.46,9.43,0.232,4.82,13,11
SEP,16,10,20.60,8.92,0.225,0.49,13,12
SEP,16,11,23.55,8.58,0.224,0.60,13,11
SEP,16,12,26.81,8.27,0.226,0.20,13,11
SEP,16,13,29.17,7.99,0.235,0.70,13,11
SEP,16,14,33.06,7.74,0.243,0.59,13,11
SEP,16,15,37.15,7.53,0.232,0.61,13,11
SEP,16,16,41.57,7.82,0.216,0.72,13,11
SEP,16,17,43.59,8.08,0.215,1.91,13,11
SEP,16,18,43.67,8.35,0.224,0.67,13,11
SEP,16,19,43.17,8.64,0.239,2.67,13,11
SEP,16,20,42.36,8.92,0.242,0.79,14,11
SEP,16,21,41.47,9.36,0.237,0.58,14,11
SEP,16,22,39.17,9.03,0.229,0.20,14,11
SEP,16,23,36.02,9.75,0.222,2.71,14,11
SEP,17,0,32.30,11.77,0.217,3.15,14,11
SEP,17,1,28.12,11.88,0.207,3.94,14,12
SEP,17,2,25.34,12.82,0.199,4.70,14,12
SEP,17,3,21.52,12.55,0.184,3.58,14,12
SEP,17,4,18.12,13.04,0.181,9.06,14,12
SEP,17,5,14.76,13.53,0.188,7.80,14,12
SEP,17,6,12.14,14.05,0.221,7.60,14,12
SEP,17,7,9.56,15.21,0.276,7.82,15,13
SEP,17,8,9.87,15.62,0.336,7.78,16,13
SEP,17,9,12.75,16.79,0.363,4.10,15,13
SEP,17,10,16.15,16.88,0.376,0.20,16,13
SEP,17,11,21.31,17.06,0.389,0.36,16,13
SEP,17,12,27.14,17.34,0.400,0.20,17,14
SEP,17,13,32.45,17.60,0.402,0.24,17,14
SEP,17,14,38.33,17.65,0.385,0.50,18,14
SEP,17,15,44.46,17.71,0.340,0.20,18,14
SEP,17,16,48.44,17.37,0.287,0.20,18,15
SEP,17,17,49.81,17.05,0.269,0.20,18,15
SEP,17,18,49.33,16.77,0.273,1.16,18,15
SEP,17,19,47.61,16.48,0.286,2.66,18,15
SEP,17,20,44.76,16.20,0.290,1.82,18,15
SEP,17,21,42.01,15.46,0.285,0.20,19,15
SEP,17,22,38.79,15.64,0.270,0.44,19,15
SEP,17,23,34.90,14.89,0.259,0.20,19,15
