DATOS MÓVILES 2019_CRUZ ROJA,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
ENE,19,23,14.12,1.28,0.833,9.82,45,19
ENE,20,0,10.02,1.28,0.826,8.30,45,18
ENE,20,1,6.95,1.29,0.805,5.18,47,18
ENE,20,2,5.97,1.28,0.780,1.72,46,18
ENE,20,3,7.76,1.28,0.718,1.35,46,17
ENE,20,4,9.86,1.31,0.604,0.54,45,17
ENE,20,5,12.10,1.31,0.357,0.26,45,16
ENE,20,6,13.90,1.32,NA,0.20,44,15
ENE,20,7,16.31,1.27,NA,0.20,42,14
ENE,20,8,18.54,1.26,NA,0.47,40,14
ENE,20,9,20.39,1.20,NA,1.42,37,13
ENE,20,10,21.77,1.07,NA,0.23,35,12
ENE,20,11,23.02,1.00,NA,0.58,33,10
ENE,20,12,24.40,0.99,NA,0.20,32,9
ENE,20,13,26.02,0.99,NA,1.17,31,8
ENE,20,14,27.28,NA,NA,1.72,31,8
ENE,20,15,29.20,NA,NA,1.50,31,8
ENE,20,16,31.10,NA,0.192,0.20,31,8
ENE,20,17,32.64,NA,0.189,0.20,30,8
ENE,20,18,33.11,NA,0.190,0.20,30,8
ENE,20,19,32.86,NA,0.198,1.15,30,8
ENE,20,20,32.37,NA,0.206,1.51,28,8
ENE,20,21,31.40,NA,0.211,1.12,26,NA
ENE,20,22,29.52,NA,0.210,0.20,23,NA
ENE,20,23,26.78,NA,0.212,1.44,23,NA
ENE,21,0,23.68,NA,0.216,0.81,22,NA
ENE,21,1,20.34,NA,0.217,1.65,20,NA
ENE,21,2,17.95,NA,0.215,0.76,20,NA
ENE,21,3,15.91,NA,0.208,1.26,20,NA
ENE,21,4,13.60,NA,0.197,3.26,20,NA
ENE,21,5,11.26,NA,0.189,5.11,20,NA
ENE,21,6,9.81,0.67,0.184,4.55,20,NA
ENE,21,7,8.27,0.67,0.177,5.75,21,NA
ENE,21,8,7.24,0.67,0.184,7.57,21,NA
