DATOS HORARIOS 2017_NATIVITAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,RADSOL
AGO,6,16,45.9,19.94,0.072,3.39,23.11,2.72,162.3,28.75,34.32,622.48,750.66
AGO,6,17,34.99,2.69,0.022,NA,24.21,2.89,169.29,27.97,36.86,622.27,492.18
AGO,6,18,28.29,1.47,0.012,1.7,17.53,3.83,170.11,26.03,44.33,621.79,396.94
AGO,6,19,22.9,1.03,0.012,1.7,28.12,4.11,200.08,23.8,52.19,622.32,173.78
AGO,6,20,23.06,0.8,0.012,1.88,37.97,2.88,212.2,20.24,62.06,623.09,11.49
AGO,6,21,17.86,3.11,0.062,9.06,30.25,3.39,77.12,19.64,66.06,623.99,17.82
AGO,6,22,25.61,13.9,0.242,6.41,56.73,4.12,81.11,14.17,90.66,625.82,2.81
AGO,6,23,23.94,25.51,0.392,8.58,17.06,2.71,57.64,14.3,93.16,626.26,6.66
AGO,7,0,22.05,13.88,0.102,4.09,18.06,3.49,293.74,14.45,95.78,625.67,6.74
AGO,7,1,13.19,9.32,0.122,10.94,10.79,2.33,200.66,14.93,96.64,625.57,12
AGO,7,2,11.36,12.98,0.142,9.53,24.97,2.41,164.02,14.63,96.84,625.01,3.37
AGO,7,3,10.61,6.58,0.182,7.22,17.56,2.38,202.44,14.38,97.7,624.96,2.17
AGO,7,4,15.6,4.84,0.132,3.62,20.35,1.7,247.77,14.61,98.04,624.94,8.81
AGO,7,5,14.34,2.88,0.102,5.04,19.73,1.78,247.86,14.6,97.97,624.71,6.52
AGO,7,6,9.04,2.44,0.192,10.94,24.74,1.51,292.75,14.58,98.08,624.83,2.1
AGO,7,7,2,2.51,0.302,16.29,13.77,1.6,167.61,14.39,98.32,624.97,26.34
AGO,7,8,2.71,2.63,0.392,16.63,21.61,1.4,214.28,16.29,97.27,625.27,122.46
AGO,7,9,13.42,2.82,0.292,10.06,14.36,1.69,121.13,18.43,85.81,625.39,293.78
AGO,7,10,12.49,6.2,0.282,19.54,59.13,1.86,120.5,20.32,80.69,625.35,499.31
AGO,7,11,18.36,71.64,0.472,23.58,86.58,1.79,188.28,23.56,78.82,625.06,710.26
AGO,7,12,53.46,64.93,0.932,18.64,115.31,2.02,234.61,24.78,63.67,624.76,894.86
AGO,7,13,67.63,33.73,0.882,8.49,73.09,2.33,254.5,25.59,50.86,624.18,985.22
AGO,7,14,59.72,19.36,0.592,5.29,34.27,2.37,238.09,26.7,41.6,623.67,969.05
AGO,7,15,62.09,17.85,0.532,4.81,34.35,2.34,248.15,27.51,41.62,623.07,905.24
AGO,7,16,66.76,15.67,0.432,4.75,30.19,2.23,224.42,28.09,40.75,622.38,779.57
AGO,7,17,67.35,9.16,0.412,5.18,36.31,2.72,249.31,28.02,41.46,621.68,591.28
AGO,7,18,54.6,4.24,0.262,4.47,27.9,3.3,262.53,26.99,41.71,621.15,365.29
AGO,7,19,43.15,1.99,0.192,5.47,23.19,3.35,247.82,25.42,48.19,621.33,134.68
AGO,7,20,31.55,1.94,0.302,13.26,35.84,2.95,261.2,23.35,54.66,621.6,15.74
AGO,7,21,22.44,5.11,0.382,13.81,41.56,3.06,249.63,21.2,59.87,622.48,5.67
AGO,7,22,24.15,7.62,0.322,8.45,39.01,2.68,222.68,16.89,79.79,623.31,7.23
AGO,7,23,20.56,5.72,0.252,7.17,24.92,3.06,226.09,16.92,80.19,624.42,11.04
AGO,8,0,29.07,3.39,0.082,2.47,15.46,2.6,263.83,15.15,81.7,624.9,8.17
AGO,8,1,28.24,1.98,0.042,3.57,3.1,2.51,293.02,14.92,82.53,625.02,5.18
AGO,8,2,23.33,1.41,0.032,6.04,11.1,2.61,306.71,14.88,84.68,624.79,5.71
AGO,8,3,24.69,1.09,0.032,4.01,14.57,1.79,249.18,14.36,84.28,624.75,2.19
AGO,8,4,21.04,0.8,0.052,7.16,7.74,1.46,277.66,13.8,84.54,624.37,3.89
AGO,8,5,13.74,1.1,0.072,12.86,12.27,1.59,321,13.69,85.54,624.17,2.18
AGO,8,6,3.77,1.42,0.102,18.32,31.04,2.19,140.05,12.55,89.08,624.26,5.82
AGO,8,7,2.94,0.8,0.222,20.84,10.37,1.6,126.51,12.65,92.38,624.52,25.37
AGO,8,8,2,3.29,0.492,21.24,34.09,2.49,95.86,15.56,85.51,624.95,116.62
AGO,8,9,3.5,5.26,0.372,13.42,46.06,2.2,127.62,18.21,80.6,625.22,389.01
AGO,8,10,16.59,20.42,0.322,5.99,32.76,3.43,71.16,21.26,58.54,625.2,504.79
AGO,8,11,22.76,9.65,0.172,3.49,31.64,3.95,86.31,22.97,48.55,625.19,847.88
AGO,8,12,24.48,8.74,0.112,3.55,22.28,4.06,100.63,23.99,44.58,624.99,1020.06
AGO,8,13,27.59,5.28,0.082,2.32,23.32,3.28,103.08,24.52,42.41,624.63,938.51
AGO,8,14,32.55,10.28,0.102,4.89,21.4,3.22,91.08,24.95,40.06,623.99,944.17
AGO,8,15,34.33,9.01,0.042,3.62,14.56,3.86,103.58,25.96,34.4,623.21,938.97
AGO,8,16,34.47,2.06,0.032,1.7,14.59,3.51,118.22,26.6,34.74,622.52,736.59
AGO,8,17,34.88,0.8,0.032,1.7,20.53,3.3,126.23,26.72,36.19,621.96,509.8
AGO,8,18,35.19,0.8,0.042,1.83,20.35,2.96,126.82,26.68,36.16,621.51,345.64
AGO,8,19,33.42,1.52,0.102,4.79,28.63,2.47,135.15,25.36,39.83,621.61,95.25
AGO,8,20,26.09,1.45,0.272,17.08,39.14,2.06,292.09,23.7,45.75,621.97,15.73
AGO,8,21,17.36,50.44,0.502,11.09,50.85,3.36,73.52,22.77,44.04,622.75,11.54
AGO,8,22,14.3,12.2,0.172,8.24,40.86,4.42,73.67,20.57,53.27,623.41,30.56
AGO,8,23,11.44,11.87,0.112,8.29,43.97,4.85,73.38,19.1,61,623.99,15.33
AGO,9,0,9.09,24.17,0.052,11.79,41.07,4.81,57.54,17.97,64.07,624.26,16.58
AGO,9,1,12.44,26.06,0.012,8.45,34.51,4.19,58.49,17.63,63.42,624.44,23.61
AGO,9,2,8.57,5.61,0.042,10.3,20.32,2.54,91.16,16.43,69.32,624.58,3.71
AGO,9,3,8.73,5.8,0.042,8.38,31.65,2.11,104.07,15.43,73.81,624.51,15.57
AGO,9,4,11.06,7.49,0.042,7,25.87,2.63,61.37,15.15,75.13,624.21,11.76
AGO,9,5,14.86,9.15,0.032,4.56,34.8,2.79,65.57,15.36,72.77,624.43,10.76
AGO,9,6,6.07,12.88,0.132,18.05,33.13,1.92,82.93,14.83,73.73,624.81,19.66
AGO,9,7,2,8.93,0.222,18.46,46.01,2.94,68.79,14.83,74.34,624.88,17.33
AGO,9,8,2,7.26,0.242,12.16,41.38,3.34,83.59,16.34,69.74,625.03,124.72
AGO,9,9,2.75,16.4,0.192,9.65,38.99,3.43,72.19,19.1,60.97,625.37,383.06
AGO,9,10,6.92,27.25,0.162,6.32,37.88,4.58,78.19,20.74,53.28,625.56,591.59
AGO,9,11,12.04,12.09,0.122,4.15,34.1,5.14,66.64,22.39,45.92,625.6,837.66
AGO,9,12,14.78,9.03,0.142,4.22,29.99,5.05,68.45,23.74,40.77,625.24,962.48
AGO,9,13,14.42,1.16,0.082,3.28,23.65,5.45,65.65,24.32,34.37,624.66,929.9
AGO,9,14,13.51,20.06,0.182,4.89,17.57,4.09,71.08,25.64,32.49,624.06,979.83
AGO,9,15,14.16,17.06,0.122,4.73,21.61,4.39,69.02,26.49,29.98,623.61,810.65
AGO,9,16,15.9,15.89,0.092,4.34,21.89,4.82,67.4,26.92,28.4,623.21,764.39
AGO,9,17,14.67,17.43,0.132,5.54,25.41,4.92,67.64,26.7,29.11,623.02,561.98
AGO,9,18,12.94,4.91,0.132,6.74,36.09,5.14,62.5,25.29,31.73,622.9,283.92
AGO,9,19,10.08,0.9,0.132,7.05,36.93,5.17,62.18,23.49,37.47,623.24,93.04
AGO,9,20,4.59,3.27,0.152,10.18,36.58,3.88,60.71,22.08,41.78,623.61,12.55
AGO,9,21,3.91,0.8,0.152,7.96,35.77,4.31,65.12,20.87,44.68,624.15,11.24
AGO,9,22,6.43,0.8,0.112,4.88,23.92,4.4,65.93,20.24,47.98,624.38,16.37
AGO,9,23,6.57,4.97,0.072,6.71,16.55,4.64,69.03,19.31,54.09,624.76,18.23
AGO,10,0,6.1,6.71,0.042,4.97,23.52,4.27,64.21,18.57,61,625.03,17.52
AGO,10,1,7.81,18.27,0.032,3.62,10.18,3.43,71.1,18.53,61.11,624.74,29.5
AGO,10,2,6.63,6.43,0.012,4.03,8.81,3.09,65.09,17.76,64.39,624.38,24.34
AGO,10,3,6.33,44.28,0.342,3.01,13.39,3.25,147.53,17.88,64.29,623.94,19.28
AGO,10,4,7.35,46.64,0.312,1.7,19.17,3.39,139.89,17.98,63.85,623.65,16.92
AGO,10,5,4.97,38.79,0.242,2.37,8.9,3.5,228.33,17.97,64.06,623.55,42.84
AGO,10,6,5.03,55.79,0.402,3.26,13.38,3.42,158.2,17.81,66.18,623.47,30.1
AGO,10,7,6.42,36.83,0.362,4.13,15.63,2.99,244.23,17.3,68.88,623.37,8.78
AGO,10,8,8.38,41.25,0.602,5.69,21.34,3.32,200.57,17.76,66.22,623.52,45.83
AGO,10,9,10.4,38.23,0.532,4.11,26.74,3.77,229.15,18.69,61.77,623.67,92.66
AGO,10,10,10.93,55.13,0.462,6.03,79.61,3.93,167.85,19.09,60.16,623.94,83.64
AGO,10,11,12.13,45.28,0.652,4.51,19.15,4.05,89.98,19.27,60.81,623.89,150.49
AGO,10,12,12.03,62.54,0.812,4.46,14.35,4.36,72.22,19.88,59.84,623.77,282.64
AGO,10,13,13.22,65.98,1.282,2.25,12.1,4.27,110.68,20.76,57.61,623.45,420.33
AGO,10,14,14.67,111.24,1.862,3.47,19.31,4.6,122.98,22.39,51.96,623,536.31
AGO,10,15,14.23,83.28,1.582,3.37,44.83,4.62,76.56,19.84,63.04,622.83,249.46
AGO,10,16,13.08,28.09,0.622,3.18,19.51,5.02,62.98,19.56,62.07,622.63,92.55
AGO,10,17,10.92,9.75,0.382,5.32,18.9,4.83,56.07,18.28,68.13,622.71,66.44
AGO,10,18,10.87,6.7,0.262,3.79,28.38,5.39,63.2,17.77,71.61,622.8,58.41
AGO,10,19,9.13,44.64,0.172,7.43,20.94,6.02,66.64,17.81,71.56,622.96,44.4
AGO,10,20,9.85,17.71,0.152,4.96,26.64,5.64,83.33,16.64,78.44,623.41,4.01
AGO,10,21,12.03,4.19,0.132,3.18,11.07,5.95,87.65,17.05,75.7,623.79,8.72
AGO,10,22,12.01,2.29,0.092,3.23,9.79,5.44,90.01,16.91,75.74,624.23,15.18
AGO,10,23,11.32,1.25,0.082,3.66,11.1,4.79,90.46,16.54,77.31,624.81,49.05
AGO,11,0,10.9,0.8,0.052,3.05,8.37,4.79,91.96,16.11,79.43,624.98,26.73
AGO,11,1,11.21,0.8,0.032,2.18,5.59,4.56,97.06,15.81,81.41,625.03,5.27
AGO,11,2,10.52,0.99,0.042,2.89,8.81,4.08,103.23,15.83,81.47,625.06,7.2
AGO,11,3,8.76,0.97,0.042,4.43,12.29,3.81,104.22,15.92,81.13,624.95,6.07
AGO,11,4,10.6,0.93,0.032,2.77,5.95,3.97,103.51,16.01,79.42,624.86,5.44
AGO,11,5,5.77,0.8,0.082,9.07,3.43,3.43,111.57,15.53,80.84,624.88,5.48
AGO,11,6,2.97,1.15,0.132,12.32,17.26,3.27,107.6,15.51,81.03,625.04,12.55
AGO,11,7,2,3.28,0.272,11.74,46.09,3.89,104.56,15.28,82.25,625.41,22.09
AGO,11,8,2,2.02,0.312,8.72,30.01,3.89,99.3,17.04,75.94,625.89,180.08
AGO,11,9,7.97,1.54,0.262,3.2,31.95,5.51,94.94,19.14,65.25,626.31,414.92
AGO,11,10,12.81,1.94,0.202,1.7,23.9,5.96,90.38,20.75,57.19,626.32,630.7
AGO,11,11,16.25,5.74,0.232,3.08,23.36,5.52,92.11,22.15,51.75,626.35,751.24
AGO,11,12,22.66,5.5,0.202,2.21,26.55,4.78,98.61,23.6,47.09,626.3,856.04
AGO,11,13,25.37,16.73,0.212,4.42,28.05,3.81,83.72,25.06,42.36,625.79,995.84
AGO,11,14,29.65,6.23,0.192,3.77,26.72,3.95,85.46,25.95,39.18,625.11,939.31
AGO,11,15,27.51,13.75,0.142,5.23,15.79,3.27,85.81,26.63,35.61,624.44,818.86
AGO,11,16,30.66,11.17,0.132,4.03,18.54,3.36,89.23,27.39,33.76,623.82,770.69
AGO,11,17,28.26,13.25,0.142,6.25,19.08,3.59,76.5,26.84,33.66,623.12,402.37
AGO,11,18,24.01,7.21,0.162,8.45,26.26,3.5,85.98,26.81,33.38,622.96,287.1
AGO,11,19,22.88,2.99,0.162,10.96,33.15,3.88,118.38,25.08,39.07,623.04,78.74
AGO,11,20,20.85,6.28,0.222,12.33,55.66,2.87,141.74,20.18,62.72,623.69,21.93
AGO,11,21,9.68,2.86,0.252,20.45,49.32,3.18,125.49,19.44,65.79,624.31,4.07
