DATOS HORARIOS 2022_CRUZ ROJA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
AGOSTO,7,22,0.028,0.002,0.29,0.009,18,6,23.5,5.19,48.72,52.92,623.41
AGOSTO,7,23,0.027,0.003,0.29,0.009,16,7,22.43,4.87,64.27,57.06,624.33
AGOSTO,8,0,0.024,0.063,0.89,0.01,17,10,21.69,4.11,67.77,60.05,624.83
AGOSTO,8,1,0.025,0.019,0.52,0.012,19,11,20.96,2.3,55.2,61.08,624.72
AGOSTO,8,2,0.029,0.011,0.58,0.011,15,9,20.58,2.63,58.18,61.56,624.32
AGOSTO,8,3,0.021,0.039,0.28,0.014,15,17,19.55,1.59,89.64,66.9,624.24
AGOSTO,8,4,0.02,0.025,0.65,0.016,14,15,19.23,2.11,49.52,67.7,624.11
AGOSTO,8,5,0.023,0.09,1,0.016,14,14,18.91,3.23,62.36,67.26,624.13
AGOSTO,8,6,0.019,0.049,0.85,0.017,14,16,18.29,2.35,69.9,68.96,624.21
AGOSTO,8,7,0.02,0.056,0.86,0.019,13,11,18.35,2.93,62.84,66.83,624.55
AGOSTO,8,8,0.026,0.228,0.36,0.015,12,11,18.63,4.5,70.13,65.24,625.06
AGOSTO,8,9,0.03,0.24,0.58,0.011,6,11,20.26,4.03,76.28,59.98,625.22
AGOSTO,8,10,0.034,0.052,0.92,0.01,9,12,21.69,4.35,65.08,53.55,625.11
AGOSTO,8,11,0.038,0.03,0.56,0.01,13,16,22.93,3.65,66.27,49.82,624.84
AGOSTO,8,12,0.042,0.028,0.38,0.009,12,8,24.24,3.56,81.69,45.43,624.42
AGOSTO,8,13,0.043,0.023,0.41,0.011,13,5,26.08,3.45,92.18,40.42,623.69
AGOSTO,8,14,0.047,0.016,0.3,0.011,15,5,27.22,4.16,103.21,38.02,623.01
AGOSTO,8,15,0.056,0.024,0.33,0.011,13,9,28.26,3.55,90.37,34.03,622.31
AGOSTO,8,16,0.055,0.024,0.42,0.01,20,11,29.06,3.54,75.96,30.56,621.5
AGOSTO,8,17,0.047,0.005,0.26,0.011,21,12,26.46,5.16,74.8,37.82,621.5
AGOSTO,8,18,0.04,0.003,0.29,0.012,13,13,25.73,3.51,58.03,41.33,621.62
AGOSTO,8,19,0.033,0.003,0.41,0.015,9,7,25.85,2.07,135.96,42.87,621.62
AGOSTO,8,20,0.031,0.094,0.46,0.017,13,5,25.44,3.64,89.21,43.59,622.23
AGOSTO,8,21,0.032,0.18,0.53,0.014,12,10,24.66,3.72,75.75,44.97,622.95
AGOSTO,8,22,0.028,0.131,0.87,0.013,13,10,23.36,3.85,76.04,49.74,623.8
AGOSTO,8,23,0.025,0.107,0.46,0.014,13,9,22.15,3.79,72.85,54.04,624.26
AGOSTO,9,0,0.024,0.062,1.42,0.015,14,10,21.18,3.31,81.42,57.06,624.44
AGOSTO,9,1,0.025,0.084,0.93,0.015,16,10,19.83,3.76,69.12,58.85,624.32
AGOSTO,9,2,0.027,0.16,1.29,0.015,12,9,19.36,3.79,71.13,60.93,623.95
AGOSTO,9,3,0.028,0.032,0.74,0.013,13,9,18.87,2.35,73.76,62.71,624.02
AGOSTO,9,4,0.028,0.01,0.29,0.012,10,17,18.71,2.65,52.48,63.39,623.93
AGOSTO,9,5,0.025,0.03,0.21,0.014,11,7,18.11,2.37,93.07,67.15,624.02
AGOSTO,9,6,0.017,0.02,0.2,0.015,14,9,17.27,2.55,95.2,70.83,624.28
AGOSTO,9,7,0.012,0.031,0.35,0.02,23,17,17.01,1.31,97.28,72.67,624.64
AGOSTO,9,8,0.015,0.067,0.39,0.02,19,18,18.74,0.84,99.12,67.62,624.9
AGOSTO,9,9,0.027,0.071,0.22,0.015,23,19,20.28,3.78,76.77,61.75,624.99
AGOSTO,9,10,0.03,0.031,0.22,0.012,18,17,21.58,3.67,89.81,57.54,625.08
AGOSTO,9,11,0.037,0.036,0.28,0.013,17,17,22.83,2.93,115.16,53.12,625.04
AGOSTO,9,12,0.046,0.01,0.31,0.014,19,16,24.24,1.22,134.09,49.64,624.78
AGOSTO,9,13,0.056,0.015,0.39,0.015,22,19,25.39,1.33,164.65,46.62,624.13
AGOSTO,9,14,0.069,0.044,0.85,0.015,26,27,26.92,0.63,141.44,41.71,623.39
AGOSTO,9,15,0.062,0.025,0.38,0.015,27,37,27.78,0.99,156.8,38.07,622.47
AGOSTO,9,16,0.06,0.01,0.28,0.017,18,27,28.33,0.98,200.83,37.34,621.72
AGOSTO,9,17,0.059,0.013,0.43,0.019,16,16,29.68,1.05,191.75,34.06,621.26
AGOSTO,9,18,0.028,0.008,0.51,0.021,46,16,23.02,2.46,179.42,61.22,621.62
AGOSTO,9,19,0.012,0.009,0.9,0.029,15,7,21.95,1.79,175.16,68.18,622.43
AGOSTO,9,20,0.025,0.005,0.31,0.018,12,9,20.91,3.05,119.9,70.59,623.37
AGOSTO,9,21,0.026,0.004,0.26,0.016,18,9,19.1,2.94,159.73,79.42,624.06
AGOSTO,9,22,0.03,0.004,0.22,0.015,9,6,18.93,2.28,151.32,80.01,624.58
AGOSTO,9,23,0.028,0.005,0.17,0.016,8,9,18.86,0.55,79.55,78.69,624.79
AGOSTO,10,0,0.02,0.008,0.15,0.021,9,12,18.65,0.45,76.89,79.83,624.83
AGOSTO,10,1,0.019,0.004,0.31,0.022,6,7,18.58,0.45,132.64,79.9,624.84
AGOSTO,10,2,0.019,0.004,0.29,0.021,14,7,18.46,0.46,101.58,79.37,624.91
AGOSTO,10,3,0.009,0.01,0.3,0.027,16,11,17.82,0.45,257.79,81.96,624.53
