DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2023,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³]
MARZO,7,4,0.035048683,0.031879353,0.017717757,0.588881125,42,27
MARZO,7,5,0.024610233,0.033591442,0.018465517,0.443441125,44,26
MARZO,7,6,0.013157917,0.031991948,0.018385162,0.3996915,47,27
MARZO,7,7,0.009813947,0.028571098,0.018167914,0.412662375,51,28
MARZO,7,8,0.009040007,0.024577067,0.018320939,0.5115405,59,29
MARZO,7,9,0.014361883,0.02139929,0.019014953,0.60022175,72,30
MARZO,7,10,0.026710217,0.019957038,0.020423337,0.668196125,79,35
MARZO,7,11,0.035032133,0.020971878,0.021110855,0.708420625,91,41
MARZO,7,12,0.046660567,0.022423363,0.02112342,0.744999375,78,39
MARZO,7,13,0.06086525,0.02695524,0.02113925,0.763587875,59,32
MARZO,7,14,0.061674233,0.03301978,0.021149721,0.770722625,45,29
MARZO,7,15,0.057695833,0.039005015,0.021136423,0.743872875,35,28
MARZO,7,16,0.065836867,0.046104623,0.021368245,0.650232,31,27
MARZO,7,17,0.0680296,0.052813088,0.02150919,0.5852555,33,24
MARZO,7,18,0.0599234,0.056964735,0.021598856,0.5605165,35,23
MARZO,7,19,0.036269667,0.057119427,0.021608945,0.6436515,35,21
MARZO,7,20,0.008259372,0.052319278,0.021685852,0.884042,45,20
MARZO,7,21,0.013669393,0.046419796,0.021750086,1.024260125,65,22
MARZO,7,22,0.015161638,0.040605721,0.021746805,1.082130625,69,23
MARZO,7,23,0.030614783,0.03722059,0.017426527,1.098177,70,25
MARZO,8,0,0.021889267,0.03172714,0.013916207,1.132613625,68,32
MARZO,8,1,0.01848345,0.025533871,0.011277748,1.14326175,69,36
MARZO,8,2,0.020490483,0.020604757,0.009348448,1.131981125,64,35
MARZO,8,3,0.03019895,0.019845917,0.008655472,1.015504875,55,33
MARZO,8,4,0.0256312,0.022017396,0.008381757,0.74281525,48,28
MARZO,8,5,0.023428167,0.023237242,0.007595162,0.58796025,45,22
MARZO,8,6,0.011142628,0.022734866,0.007529045,0.523184125,47,23
MARZO,8,7,0.010919173,0.020272915,0.007523901,0.521022125,44,24
MARZO,8,8,0.023772115,0.020508271,#¡VALOR!,0.494542,53,22
MARZO,8,9,0.025051973,0.021329336,#¡VALOR!,0.531555857,60,22
MARZO,8,10,0.031324483,0.022683586,#¡VALOR!,0.517776429,67,NA
MARZO,8,11,0.043334283,0.024325503,#¡VALOR!,0.533590571,65,NA
MARZO,8,12,0.0580349,0.028375965,#¡VALOR!,0.571583857,63,40
MARZO,8,13,0.07513725,0.034839601,#¡VALOR!,0.603509143,62,43
MARZO,8,14,0.08615785,0.044216503,#¡VALOR!,0.612856571,62,42
MARZO,8,15,0.07352645,0.052042413,#¡VALOR!,0.588165857,54,39
MARZO,8,16,0.062076767,0.056830495,#¡VALOR!,0.565592875,45,36
MARZO,8,17,0.063345633,0.061617202,#¡VALOR!,0.508735625,40,31
MARZO,8,18,0.05479685,0.064551248,#¡VALOR!,0.533446625,39,27
MARZO,8,19,0.037570033,0.063830717,#¡VALOR!,0.60315725,40,26
MARZO,8,20,0.019834117,0.059055619,#¡VALOR!,0.72151525,49,28
MARZO,8,21,0.009233428,0.050817641,#¡VALOR!,0.864917875,61,30
MARZO,8,22,0.028633718,0.043627125,#¡VALOR!,0.855621625,70,30
MARZO,8,23,0.031818883,0.038413679,#¡VALOR!,0.84075075,73,35
MARZO,9,0,0.029568733,0.034350174,#¡VALOR!,0.831721125,60,34
MARZO,9,1,0.024773783,0.029528693,#¡VALOR!,0.8335755,55,30
MARZO,9,2,0.018459967,0.024986583,#¡VALOR!,0.809162125,54,29
