DATOS HORARIOS 2019_NATIVITAS,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR,RADSOL
AGO,8,0,23.25,2.65,0.220,20,3.69,92.65,20.53,65.35,2.71
AGO,8,1,28.52,2.46,0.192,4,3.98,87.61,19.67,69.42,4.43
AGO,8,2,20.85,19.57,0.194,19,3.27,75.31,18.85,76.82,2.80
AGO,8,3,19.90,18.24,0.206,14,2.58,91.84,18.31,81.77,2.81
AGO,8,4,18.23,4.43,0.223,9,2.49,122.02,17.85,84.78,2.88
AGO,8,5,14.48,2.41,0.238,9,2.59,132.66,17.26,87.29,2.92
AGO,8,6,5.58,1.97,0.356,24,2.41,109.74,16.72,91.27,2.93
AGO,8,7,2.00,1.96,0.499,33,2.43,110.65,16.50,93.30,10.67
AGO,8,8,7.32,3.18,0.559,33,2.77,108.24,17.71,90.12,103.72
AGO,8,9,16.89,2.18,0.387,17,3.12,105.59,22.46,71.20,393.85
AGO,8,10,24.14,2.82,0.340,8,2.89,100.98,25.15,58.42,557.40
AGO,8,11,28.75,4.38,0.364,19,2.64,116.55,24.99,56.94,436.64
AGO,8,12,36.50,2.77,0.271,11,2.42,136.43,28.01,48.12,870.57
AGO,8,13,40.24,1.78,0.234,8,2.54,132.14,29.05,42.19,852.71
AGO,8,14,39.27,1.20,0.212,8,2.78,157.85,29.19,41.62,817.79
AGO,8,15,38.68,1.25,0.207,10,2.44,164.45,29.12,40.66,672.68
AGO,8,16,37.17,1.19,0.180,NA,2.33,200.78,30.78,33.74,724.56
AGO,8,17,37.30,1.10,0.180,8,2.17,146.90,30.40,34.53,506.62
AGO,8,18,34.86,1.34,0.180,12,3.11,219.94,28.24,43.47,217.19
AGO,8,19,32.48,1.37,0.243,42,2.81,204.97,24.20,58.00,27.08
AGO,8,20,28.75,1.32,0.310,30,2.32,187.34,19.21,72.09,3.13
AGO,8,21,25.23,1.10,0.282,21,2.37,214.88,18.74,81.09,2.95
AGO,8,22,21.03,1.47,0.303,14,4.21,304.42,19.34,79.15,2.79
AGO,8,23,17.95,1.51,0.252,18,3.66,305.72,18.93,78.73,2.78
AGO,9,0,20.87,1.10,0.210,14,2.28,256.76,18.43,80.85,2.84
AGO,9,1,20.68,1.10,0.205,NA,1.71,223.65,18.29,82.08,2.82
AGO,9,2,16.81,1.47,0.231,7,1.72,87.68,18.18,83.62,2.79
AGO,9,3,10.26,1.62,0.210,17,1.85,162.86,17.31,86.45,2.90
AGO,9,4,8.61,1.13,0.218,7,1.48,141.50,16.80,86.18,2.92
AGO,9,5,8.31,1.10,0.226,20,1.44,152.81,16.73,88.71,2.89
AGO,9,6,2.87,1.10,0.500,20,2.13,301.82,16.43,87.34,2.98
AGO,9,7,2.00,1.14,0.599,33,1.40,220.22,16.52,89.68,22.16
AGO,9,8,2.00,4.06,0.815,41,1.83,213.39,20.14,86.33,161.92
