DATOS HORARIOS 2019_NATIVITAS,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR,RADSOL
MAY,12,2,19.55,2.40,0.379,42,2.18,244.72,20.75,26.91,2.10
MAY,12,3,17.76,2.10,0.349,45,2.85,259.83,19.86,29.94,2.15
MAY,12,4,18.04,2.44,0.339,43,2.49,266.45,18.81,33.68,2.20
MAY,12,5,15.99,2.15,0.349,43,2.19,266.02,18.17,36.67,2.20
MAY,12,6,9.20,2.00,0.449,38,1.43,233.67,17.75,39.27,2.26
MAY,12,7,2.00,4.79,0.648,48,1.24,73.01,18.04,41.27,41.46
MAY,12,8,3.12,6.01,0.578,49,1.31,242.28,22.38,36.51,201.91
MAY,12,9,16.29,4.84,0.359,34,2.38,266.25,25.22,31.55,442.92
MAY,12,10,26.48,3.80,0.329,23,3.31,279.24,27.52,25.60,674.08
MAY,12,11,33.88,3.27,0.230,22,3.62,266.13,29.22,18.29,857.49
MAY,12,12,31.92,2.15,0.180,12,4.09,263.45,30.42,13.49,992.89
MAY,12,13,36.55,1.87,0.180,18,4.32,264.00,31.18,12.87,1046.08
MAY,12,14,40.21,1.65,0.220,14,4.38,274.68,31.95,12.07,1031.90
MAY,12,15,40.23,1.66,0.250,24,4.77,257.34,32.77,10.89,947.14
MAY,12,16,38.18,1.68,0.210,38,5.01,262.67,33.06,10.10,772.08
MAY,12,17,39.52,1.38,0.180,30,4.77,264.01,32.47,10.61,465.36
MAY,12,18,39.49,1.36,0.180,138,4.78,260.17,31.80,10.92,307.50
MAY,12,19,34.64,1.10,0.220,59,4.03,276.79,30.09,11.65,58.77
MAY,12,20,26.85,1.43,0.319,32,2.95,264.28,27.73,13.80,5.94
MAY,12,21,19.39,2.14,0.498,45,2.69,256.05,26.07,16.87,4.00
MAY,12,22,15.18,2.56,0.538,50,2.21,262.42,24.89,18.53,5.16
MAY,12,23,14.81,2.86,0.469,56,1.89,246.54,23.53,20.60,3.01
MAY,13,0,21.22,2.63,0.240,42,2.64,263.28,23.13,21.32,1.98
MAY,13,1,21.16,1.99,0.190,20,2.81,264.52,22.26,22.10,1.98
MAY,13,2,19.38,1.57,0.230,34,2.83,252.07,21.09,24.27,2.10
MAY,13,3,18.64,1.58,0.240,35,2.17,254.36,19.91,26.34,18.35
MAY,13,4,15.96,1.28,0.240,34,1.97,259.17,18.56,28.69,7.20
MAY,13,5,12.90,1.34,0.270,36,2.12,284.98,17.75,31.14,5.69
MAY,13,6,9.28,1.64,0.469,44,1.99,288.87,16.99,33.56,7.37
MAY,13,7,4.78,2.51,1.085,51,1.73,313.74,17.55,34.99,40.75
MAY,13,8,5.06,3.83,1.105,54,1.62,109.77,21.84,31.28,232.83
MAY,13,9,22.31,5.90,0.628,58,1.66,141.80,25.24,26.22,467.15
MAY,13,10,28.25,3.97,0.498,39,1.68,206.40,28.40,22.39,697.70
MAY,13,11,36.87,2.83,0.260,29,2.52,257.28,29.94,17.39,888.81
MAY,13,12,41.03,2.39,0.270,20,3.14,262.51,30.46,15.32,1013.84
MAY,13,13,44.82,2.16,0.250,21,3.34,245.20,31.07,14.57,1042.92
MAY,13,14,42.52,2.31,0.180,23,4.63,241.08,31.88,11.18,1067.24
MAY,13,15,46.78,1.92,0.180,24,3.96,242.09,32.87,10.59,949.10
MAY,13,16,51.07,2.21,0.180,27,4.41,272.31,33.52,11.14,766.98
MAY,13,17,49.25,2.23,0.240,37,4.80,273.51,33.25,11.30,539.38
MAY,13,18,45.17,2.25,0.260,43,5.30,278.47,32.51,10.30,314.94
MAY,13,19,41.35,2.53,0.359,36,4.50,283.99,31.10,10.92,112.11
MAY,13,20,32.21,2.68,0.498,51,2.71,268.53,28.63,13.25,17.22
MAY,13,21,28.68,2.47,0.429,58,2.70,264.45,26.63,17.40,1.66
MAY,13,22,30.73,2.77,0.369,53,2.60,236.79,25.50,20.94,6.83
MAY,13,23,27.27,3.40,0.349,50,2.59,232.06,24.22,22.07,1.84
MAY,14,0,23.01,3.37,0.359,50,1.51,172.45,22.82,24.11,18.06
