DATOS HORARIOS 2019_NATIVITAS,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR,RADSOL
MZO,11,19,37.53,1.10,0.210,34,2.42,160.37,31.40,17.54,50.32
MZO,11,20,24.68,1.10,0.389,58,2.51,178.63,27.97,22.62,9.91
MZO,11,21,32.08,1.47,0.309,50,2.33,204.70,26.73,27.60,7.24
MZO,11,22,26.40,2.52,0.319,49,3.10,106.34,25.09,34.09,16.27
MZO,11,23,25.68,2.33,0.319,32,2.30,182.29,24.52,34.68,5.26
MZO,12,0,16.81,2.08,0.309,35,1.69,126.72,23.30,39.31,6.40
MZO,12,1,15.53,2.54,0.280,39,2.12,167.49,22.23,42.16,4.78
MZO,12,2,18.42,3.26,0.250,32,1.90,170.67,21.29,44.65,8.81
MZO,12,3,8.77,4.07,0.280,40,1.62,128.86,19.80,52.04,10.98
MZO,12,4,4.48,6.73,0.270,54,2.35,126.45,18.23,62.74,6.08
MZO,12,5,2.00,8.58,0.250,47,2.31,122.41,17.08,70.30,5.78
MZO,12,6,2.00,6.28,0.240,53,2.62,119.25,16.15,74.24,9.32
MZO,12,7,2.00,3.15,0.359,38,2.81,99.23,16.22,74.76,3.76
MZO,12,8,2.00,2.01,0.429,38,3.60,98.11,16.77,73.54,77.63
MZO,12,9,5.72,1.90,0.389,39,3.64,97.24,19.58,64.28,290.67
MZO,12,10,18.62,1.90,0.349,45,4.48,93.31,21.58,56.58,519.42
MZO,12,11,25.65,1.68,0.359,129,3.82,90.22,23.81,49.93,733.55
MZO,12,12,35.71,2.13,0.329,22,2.68,86.87,26.55,41.36,874.31
MZO,12,13,45.08,5.52,0.289,26,2.15,171.79,29.01,33.69,967.50
MZO,12,14,51.79,2.42,0.349,28,2.33,175.21,30.50,28.98,967.48
MZO,12,15,48.87,2.25,0.250,24,2.70,110.23,31.59,24.52,853.19
MZO,12,16,59.23,6.45,0.339,33,2.88,288.12,32.09,24.65,683.05
MZO,12,17,52.36,3.01,0.240,31,2.48,249.98,32.71,22.48,505.68
MZO,12,18,44.54,2.38,0.180,37,2.82,168.59,32.19,19.85,249.96
MZO,12,19,24.55,1.90,0.190,94,3.73,168.54,28.70,16.11,41.83
MZO,12,20,23.34,2.17,0.260,43,3.17,215.63,27.35,20.10,4.03
MZO,12,21,28.39,2.41,0.319,47,3.87,242.93,25.46,31.81,17.71
MZO,12,22,23.71,2.45,0.270,47,2.92,238.86,23.03,37.08,3.65
MZO,12,23,22.08,2.27,0.270,28,2.64,247.55,21.39,39.35,5.35
MZO,13,0,19.55,2.09,0.240,23,2.20,265.12,20.26,38.37,4.30
MZO,13,1,18.41,2.94,0.240,25,1.74,290.16,19.26,43.32,2.13
MZO,13,2,11.76,3.89,0.270,24,1.70,283.67,18.26,49.08,8.83
MZO,13,3,13.98,3.45,0.250,24,1.54,256.88,17.24,52.06,2.24
