DATOS HORARIOS 2019_NATIVITAS,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR,RADSOL
NOV,9,1,10.11,13.32,0.186,13,4.40,75.66,17.70,70.85,2.96
NOV,9,2,9.29,6.49,0.182,9,4.01,93.99,16.64,75.55,3.02
NOV,9,3,8.84,6.39,0.180,5,3.95,80.72,16.17,78.27,3.05
NOV,9,4,9.35,5.35,0.180,14,3.46,78.98,16.16,77.26,3.06
NOV,9,5,9.23,4.05,0.180,9,3.42,88.31,15.48,80.91,3.07
NOV,9,6,6.86,3.43,0.196,12,2.97,75.53,14.91,83.95,3.14
NOV,9,7,3.71,2.27,0.318,9,2.56,79.87,14.80,83.84,4.45
NOV,9,8,2.00,3.72,0.591,33,2.69,95.15,15.57,82.06,86.83
NOV,9,9,4.38,4.95,0.367,18,3.62,83.21,19.18,67.74,303.76
NOV,9,10,12.86,8.65,0.285,24,5.51,74.89,20.50,58.36,466.24
NOV,9,11,16.55,7.48,0.252,14,5.01,81.08,22.17,51.95,665.93
NOV,9,12,19.75,5.50,0.272,4,4.82,79.50,24.05,46.34,769.93
NOV,9,13,23.34,6.31,0.257,19,4.60,89.27,25.55,41.66,729.98
NOV,9,14,26.02,6.49,0.287,12,4.30,88.78,27.02,36.83,633.13
NOV,9,15,25.58,4.83,0.235,18,4.60,77.23,28.24,31.59,683.61
NOV,9,16,25.75,4.67,0.233,18,3.93,77.14,28.89,29.00,519.76
NOV,9,17,25.34,1.97,0.228,20,3.73,96.36,28.66,28.16,301.64
NOV,9,18,25.45,1.10,0.268,20,3.32,91.60,27.44,30.79,109.89
NOV,9,19,17.03,1.10,0.384,32,3.53,75.99,24.74,40.02,4.05
NOV,9,20,14.82,4.03,0.456,28,5.04,59.06,22.76,50.09,2.66
NOV,9,21,12.45,12.49,0.253,23,5.00,57.71,20.90,55.79,2.72
NOV,9,22,13.18,11.77,0.250,17,4.31,59.74,19.55,60.67,2.85
NOV,9,23,11.16,3.95,0.282,19,3.07,80.04,18.55,64.23,2.87
NOV,10,0,12.41,4.18,0.212,18,4.16,88.99,17.59,68.36,2.99
NOV,10,1,13.61,3.12,0.191,6,3.44,94.44,16.42,73.88,3.07
NOV,10,2,12.65,2.72,0.180,7,4.47,82.06,15.42,80.12,3.11
NOV,10,3,12.68,6.21,0.180,15,3.62,77.92,15.13,82.48,3.13
NOV,10,4,11.17,6.99,0.180,6,3.11,84.37,14.77,84.07,3.17
NOV,10,5,11.13,3.28,0.180,10,2.98,90.47,14.41,85.00,3.15
NOV,10,6,9.53,2.08,0.180,9,3.00,93.97,13.82,86.19,3.18
NOV,10,7,8.21,1.59,0.193,10,2.60,105.59,13.34,87.78,4.58
NOV,10,8,5.94,1.51,0.285,13,2.65,92.14,14.55,84.91,97.93
NOV,10,9,10.96,2.53,0.274,5,3.22,88.89,17.88,73.52,302.64
NOV,10,10,16.38,2.42,0.243,7,3.60,81.43,20.52,62.61,499.20
NOV,10,11,20.27,2.33,0.218,3,3.04,88.70,22.98,53.31,659.04
