MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM25,TEMP,WIND_SPEED,WIND_DIR,HUMIDITY,PBAR
MAYO,17.0,3.0,0.047,0.003,0.34,0.003,36.0,17.0,22.44305,3.8725,48.2042,26.169467,622.135333
MAYO,17.0,4.0,0.043,0.123,0.56,0.006,45.0,10.0,21.401933,3.28023,69.940717,30.894383,622.124833
MAYO,17.0,5.0,0.031,0.105,0.56,0.015,32.0,44.0,19.92905,2.082893,99.869017,33.589617,622.261333
MAYO,17.0,6.0,0.023,0.097,0.4,0.019,55.0,40.0,19.072767,2.738183,91.700267,39.454267,622.601333
MAYO,17.0,7.0,0.021,0.04,0.5,0.02,62.0,69.0,18.6782,2.160218,83.719567,46.7554,622.979667
MAYO,17.0,8.0,0.02,0.021,0.57,0.021,56.0,40.0,19.3425,2.912013,88.008183,46.552583,623.202167
MAYO,17.0,9.0,0.027,0.093,0.55,0.022,66.0,36.0,21.9616,2.753215,100.439617,39.5423,623.382333
MAYO,17.0,10.0,0.041,0.048,0.48,0.017,70.0,59.0,24.2427,1.811755,117.920367,31.459933,623.499333
MAYO,17.0,11.0,0.061,0.011,0.55,0.011,40.0,37.0,26.2702,0.820735,167.646267,29.572717,623.510833
MAYO,17.0,12.0,0.075,0.005,0.6,0.01,48.0,31.0,27.874783,1.269028,164.446933,26.775867,623.231667
MAYO,17.0,13.0,0.076,0.004,0.57,0.009,48.0,29.0,28.8255,1.312315,193.512283,24.775533,622.659
MAYO,17.0,14.0,0.068,0.002,0.53,0.008,35.0,31.0,30.655733,2.000462,207.082583,17.6294,622.043333
MAYO,17.0,15.0,0.074,0.002,0.51,0.007,29.0,26.0,31.624717,2.382018,270.77875,13.813183,621.349333
MAYO,17.0,16.0,0.087,0.002,0.45,0.005,36.0,27.0,32.279367,1.669478,224.25565,13.770067,620.5185
MAYO,17.0,17.0,0.081,0.002,0.58,0.01,36.0,26.0,32.213817,1.041208,207.903283,14.680833,620.212333
MAYO,17.0,18.0,0.07,0.002,0.62,0.012,39.0,30.0,31.38795,2.495707,277.705333,14.478567,620.271167
MAYO,17.0,19.0,0.062,0.002,0.57,0.01,58.0,26.0,29.480183,3.853097,292.063833,26.96545,620.427
MAYO,17.0,20.0,0.054,0.002,0.64,0.013,66.0,38.0,27.961233,2.418908,279.7625,33.5639,620.7645
MAYO,17.0,21.0,0.045,0.002,0.74,0.013,67.0,37.0,27.1782,2.943998,256.6525,31.971483,621.554167
MAYO,17.0,22.0,0.037,0.002,0.65,0.012,67.0,56.0,26.90625,2.4906,274.983333,26.959,622.378667
MAYO,17.0,23.0,0.043,0.001,0.35,0.005,80.0,48.0,26.312983,3.9633,294.358167,24.949733,622.885
MAYO,18.0,0.0,0.041,0.001,0.34,0.006,67.0,18.0,25.3629,2.683752,265.532,27.635267,622.953333
