DATOS MÓVILES 2016_ CRUZ ROJA,,,,,,,
,,,,,,,
MES,DIA,HORA,NO2,MPM10,MSO2 24 HRS,MO3,MCO
MZO,14,16,NA,78.40666667,13.53791667,48.81875,NA
MZO,14,17,NA,78.69666667,13.81208333,55.91,NA
MZO,14,18,NA,78.87041667,13.85083333,62.21625,NA
MZO,14,19,NA,78.81166667,13.925,63.62875,NA
MZO,14,20,NA,79.46791667,14.00666667,58.67625,NA
MZO,14,21,NA,79.20375,14.13,50.85,NA
MZO,14,22,NA,79.88166667,14.06083333,42.825,NA
MZO,14,23,NA,80.66625,13.98375,36.68375,NA
MZO,15,0,NA,78.35458333,13.93166667,28.22625,NA
MZO,15,1,NA,77.67458333,13.92125,18.88625,NA
MZO,15,2,NA,77.5225,13.185,10.56625,NA
MZO,15,3,NA,77.36833333,12.87083333,4.535,NA
MZO,15,4,NA,77.6675,13.03583333,3.66,NA
MZO,15,5,NA,78.025,12.44708333,4.105,NA
MZO,15,6,NA,77.25583333,10.14541667,3.701666667,NA
MZO,15,7,NA,75.87875,9.819583333,NA,NA
MZO,15,8,NA,76.17708333,7.959166667,NA,NA
MZO,15,9,NA,76.91083333,5.954166667,NA,NA
MZO,15,10,NA,78.145,5.978333333,NA,NA
MZO,15,11,NA,78.205,5.799166667,NA,NA
MZO,15,12,NA,78.375,5.493333333,19.50333333,NA
MZO,15,13,NA,78.85958333,5.6425,24.68285714,NA
MZO,15,14,NA,78.93666667,5.582916667,34.18,NA
MZO,15,15,NA,79.61666667,5.392916667,38.1575,NA
MZO,15,16,NA,79.97458333,4.99625,45.81375,NA
MZO,15,17,NA,79.82916667,4.766666667,52.0675,NA
MZO,15,18,NA,80.665,4.802083333,53.8775,NA
MZO,15,19,NA,81.97916667,4.865833333,51.57,NA
MZO,15,20,NA,83.11458333,4.900416667,46.67875,NA
MZO,15,21,NA,84.92958333,4.919166667,39.8825,NA
MZO,15,22,NA,86.08791667,4.894583333,32.09375,NA
MZO,15,23,NA,85.87458333,4.987083333,24.4925,NA
MZO,16,0,NA,85.51875,5.05875,16.7575,NA
MZO,16,1,NA,86.71625,5.046666667,9.795,NA
MZO,16,2,NA,85.96458333,4.92625,4.77625,NA
MZO,16,3,NA,85.18625,4.814583333,2.804285714,NA
MZO,16,4,NA,84.94875,4.589583333,2.614285714,NA
MZO,16,5,NA,84.69083333,4.39,4.341428571,NA
MZO,16,6,NA,83.99791667,4.37375,5.017142857,NA
MZO,16,7,NA,84.28416667,4.41125,4.422857143,NA
MZO,16,8,NA,85.04083333,4.383333333,4.428571429,NA
MZO,16,9,NA,84.42333333,3.93125,4.902857143,NA
MZO,16,10,NA,83.33,3.735,7.185714286,NA
MZO,16,11,NA,82.35041667,3.595416667,10.63125,NA
MZO,16,12,NA,81.6,3.478333333,15.0925,NA
MZO,16,13,NA,80.70708333,3.322916667,18.43875,NA
MZO,16,14,NA,80.43416667,2.935416667,22.46875,NA
MZO,16,15,NA,79.6,2.95125,27.8825,NA
MZO,16,16,NA,79.10708333,2.979166667,33.14,NA
MZO,16,17,NA,79.02,2.976666667,38.1025,NA
MZO,16,18,NA,78.12916667,2.95,41.1,NA
MZO,16,19,NA,77.23291667,2.898333333,40.34875,NA
MZO,16,20,NA,76.24375,2.773333333,37.23,NA
MZO,16,21,NA,74.1025,2.645833333,33.48375,NA
MZO,16,22,NA,71.68166667,2.602916667,29.92625,NA
MZO,16,23,NA,70.4075,2.538333333,24.8925,NA
MZO,17,0,NA,70.31583333,2.46875,19.9375,NA
MZO,17,1,NA,69.05833333,2.435833333,15.14625,NA
MZO,17,2,NA,68.325,2.7175,10.24375,NA
MZO,17,3,NA,68.96708333,2.77375,7.04875,NA
MZO,17,4,NA,68.35875,2.73125,5.89,NA
MZO,17,5,NA,67.49875,2.73125,5.4725,NA
MZO,17,6,NA,67.45458333,3.031666667,3.965,NA
MZO,17,7,NA,67.66375,3.487083333,3.60625,NA
MZO,17,8,NA,65.80083333,4.57625,3.365,NA
MZO,17,9,NA,65.53833333,5.240833333,2.805,NA
MZO,17,10,NA,66.30708333,6.049166667,3.515,NA
MZO,17,11,NA,68.4625,6.525416667,5.58,NA
MZO,17,12,NA,70.56708333,6.590416667,9.77375,NA
MZO,17,13,NA,70.66916667,6.628333333,14.40625,NA
