DATOS HORARIOS 2023_DIF,,,,,,,,,,,,,,
NOTA,LOS DATOS SON REVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DÍA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m3],PM2.5 [µg/m3],TEMP,WS,WD,HR,PBAR,UV
AGOSTO,5,5,0.015,0.006,0.010,0.5,15,9,16.92,2.36,106.44,91.4,625.8,3.79
AGOSTO,5,6,0.014,0.006,0.010,0.5,3,8,16.62,1.93,91.83,90.92,625.98,4.16
AGOSTO,5,7,0.013,0.006,0.014,0.72,5,11,16.16,1.8,115.52,90.26,626.29,4.72
AGOSTO,5,8,0.010,0.006,0.013,0.84,22,6,17.17,1.92,126.22,87.08,626.79,6.06
AGOSTO,5,9,0.012,0.006,0.012,0.85,5,5,18.58,2.04,125.48,83.93,627.1,8.56
AGOSTO,5,10,0.020,0.006,0.011,0.77,28,9,21.09,3.53,85.03,74.09,627.22,NA
AGOSTO,5,11,0.029,0.006,0.012,0.78,42,19,22.88,3.91,96.41,65.64,627.25,NA
AGOSTO,5,12,0.040,0.006,0.012,0.75,42,13,24.63,3.29,102.1,56.44,626.91,NA
AGOSTO,5,13,0.047,0.006,0.011,0.71,43,10,26.08,2.55,113.33,47.38,626.26,NA
AGOSTO,5,14,0.054,0.010,0.011,0.67,29,5,27.58,2,164.68,40.4,625.42,NA
AGOSTO,5,15,0.073,0.022,0.010,0.63,6,6,28.36,2.13,219.05,38.52,624.75,NA
AGOSTO,5,16,0.073,0.018,0.010,0.64,47,24,28.42,2.01,250.53,39.37,624.47,NA
AGOSTO,5,17,0.069,0.012,0.009,0.53,41,7,29.14,3.15,272.4,37.58,623.76,NA
AGOSTO,5,18,0.069,0.009,0.009,0.52,35,20,28.22,3.03,262.06,38.88,623.54,9.2
AGOSTO,5,19,0.057,0.008,0.010,0.52,33,23,25.32,5.07,208.18,51.62,624.05,7.26
AGOSTO,5,20,0.040,0.007,0.012,0.72,62,55,18.35,2.89,171.13,85.41,625.37,3.7
AGOSTO,5,21,0.026,0.006,0.015,0.81,14,15,19.03,1.53,249.72,86.53,625.66,4.16
AGOSTO,5,22,0.033,0.006,0.010,0.57,21,17,18.69,2.35,249.96,87.32,626.31,4.27
AGOSTO,5,23,0.035,0.006,0.009,0.53,22,10,17.91,2.59,228.63,88.09,627.13,4.31
AGOSTO,6,0,0.036,0.006,0.008,0.49,3,6,17.5,2.13,220.68,86.59,627.48,4.48
AGOSTO,6,1,0.035,0.006,0.008,0.45,6,12,16.95,1.93,255.52,89.46,627.37,4.72
AGOSTO,6,2,0.032,0.006,0.008,0.45,11,5,16.69,1.7,250.79,91.45,627.02,5.04
AGOSTO,6,3,0.027,0.006,0.009,0.46,13,9,16.71,1.69,246.59,92.95,626.83,5.79
AGOSTO,6,4,0.028,0.005,0.008,0.46,10,6,16.44,1.48,224.68,93.51,626.9,6.28
AGOSTO,6,5,0.031,0.005,0.008,0.5,17,7,16.29,1.53,222.32,93.97,626.81,6.67
AGOSTO,6,6,0.035,0.005,0.007,0.44,76,7,16.34,1.19,212.16,93.31,627.06,7.24
AGOSTO,6,7,0.035,0.005,0.007,0.46,22,4,16.39,1.58,251.25,92.57,627.28,7.83
AGOSTO,6,8,0.029,0.005,0.009,0.52,19,6,17.05,1.17,259.43,91.57,627.6,9.1
AGOSTO,6,9,0.031,0.005,0.008,0.53,14,4,18.26,1.55,253.9,87.11,627.73,NA
AGOSTO,6,10,0.032,0.005,0.009,0.72,14,6,19.96,1.85,245.71,79.66,627.8,NA
AGOSTO,6,11,0.033,0.006,0.010,0.79,26,22,21.49,1.63,220.88,72.74,627.79,NA
AGOSTO,6,12,0.042,0.007,0.009,0.68,32,22,23.25,1.39,130.12,62.15,627.61,NA
AGOSTO,6,13,0.054,0.008,0.010,0.7,34,20,24.15,1.56,206.75,57.59,627.17,NA
AGOSTO,6,14,0.061,0.011,0.010,0.7,6,23,25.27,1.72,208.85,53.63,626.65,NA
AGOSTO,6,15,0.057,0.011,0.010,0.63,45,15,26.72,1.87,143.66,47.82,626.07,NA
AGOSTO,6,16,0.051,0.010,0.009,0.56,44,6,27.54,1.81,144.87,41.57,625.62,NA
AGOSTO,6,17,0.046,0.014,0.011,0.62,33,15,27.15,2.39,121.8,41.33,625.33,NA
AGOSTO,6,18,0.046,0.008,0.009,0.53,32,3,27.37,2.49,153.74,41.11,625.03,10.89
AGOSTO,6,19,0.043,0.007,0.010,0.58,25,14,26.69,2.26,171.31,43.79,625.23,9.82
AGOSTO,6,20,0.035,0.007,0.013,0.63,21,18,24.73,2.86,207.44,55.74,625.6,7.96
AGOSTO,6,21,0.029,0.006,0.010,0.54,18,22,22.03,3.7,234.77,70.46,625.9,6.94
AGOSTO,6,22,0.021,0.006,0.011,0.55,10,20,20.88,2.76,243.61,75.95,626.57,6.87
AGOSTO,6,23,0.021,0.006,0.011,0.58,26,11,20.19,2.19,182.91,79.26,627.69,6.74
AGOSTO,7,0,0.043,0.006,0.009,0.54,88,14,18.65,2.28,115.38,89.19,628.22,6.28
AGOSTO,7,1,0.040,0.006,0.010,0.56,28,5,17.91,1.96,183.91,92.29,628.15,6.3
AGOSTO,7,2,0.045,0.006,0.009,0.53,14,11,16.96,1.44,204.26,89.68,628.02,5.97
AGOSTO,7,3,0.038,0.006,0.010,0.46,12,5,16.88,1.09,274.33,89.85,627.91,5.96
AGOSTO,7,4,0.028,0.006,0.013,0.47,13,6,16.68,1.12,275.58,90.82,627.68,6.34
AGOSTO,7,5,0.019,0.006,0.015,0.48,17,8,16.48,1.48,279.27,93.06,627.79,7.15
AGOSTO,7,6,0.016,0.006,0.016,0.52,13,11,16.31,0.97,212.53,94.19,627.93,7.78
AGOSTO,7,7,0.009,0.006,0.018,0.76,26,18,15.68,1.9,111.6,95.14,628.15,8.52
AGOSTO,7,8,0.015,0.006,0.014,0.81,27,10,15.63,1.78,157.84,96.92,628.3,9.75
AGOSTO,7,9,0.023,0.006,0.012,0.78,28,28,17.06,1.4,177.51,96.91,628.41,NA
AGOSTO,7,10,0.034,0.006,0.012,0.78,45,22,20.91,1.24,137.39,80.9,628.38,NA
AGOSTO,7,11,0.044,0.007,0.012,0.73,43,24,22.45,1.82,132.06,68.71,628.14,NA
AGOSTO,7,12,0.053,0.007,0.011,0.64,37,10,24.37,1.72,128.64,60.05,627.67,NA
AGOSTO,7,13,0.058,0.014,0.014,0.65,35,23,26.09,1.84,130.74,50.68,626.95,NA
AGOSTO,7,14,0.059,0.013,0.010,0.64,50,18,27.82,1.96,193.94,43.42,626.33,NA
AGOSTO,7,15,0.064,0.011,0.010,0.6,35,1,29.92,1.66,183.61,38.58,625.62,NA
AGOSTO,7,16,0.065,0.015,0.009,0.59,40,1,30.71,1.95,250.52,29.46,624.95,NA
AGOSTO,7,17,0.060,0.017,0.011,0.63,33,10,31.22,2.09,195.27,28.65,624.66,NA
AGOSTO,7,18,0.056,0.014,0.010,0.55,13,8,31.4,2.2,214.34,25.58,624.37,NA
AGOSTO,7,19,0.049,0.009,0.011,0.59,25,13,30.02,2.21,208.83,26.81,624.59,NA
AGOSTO,7,20,0.028,0.007,0.020,0.85,6,18,28.65,1.56,178.16,29.04,624.92,NA
AGOSTO,7,21,0.022,0.008,0.019,0.92,45,27,26.72,2.25,166.48,41.13,625.48,NA
AGOSTO,7,22,0.025,0.007,0.014,0.62,46,27,23.92,2.28,164.89,55.2,626.16,10.02
AGOSTO,7,23,0.024,0.007,0.015,0.7,20,25,22.55,1.73,177.54,66.5,626.87,8.65
AGOSTO,8,0,0.032,0.006,0.009,0.5,31,21,19.72,2.29,268.9,77.31,627.31,7.94
AGOSTO,8,1,0.036,0.006,0.009,0.46,13,9,18.77,2.16,184.36,78.39,627.47,7.7
AGOSTO,8,2,0.034,0.006,0.010,0.46,22,7,18.42,1.68,241.87,78.88,627.02,7.63
AGOSTO,8,3,0.025,0.006,0.014,0.46,5,9,17.75,1.2,267.89,82.57,626.85,7.53
AGOSTO,8,4,0.025,0.006,0.013,0.45,26,3,17.22,1.05,233.43,84.01,626.82,7.34
AGOSTO,8,5,0.031,0.006,0.010,0.43,30,10,16.84,1.33,251.94,83.85,626.96,7.32
AGOSTO,8,6,0.021,0.006,0.014,0.66,16,5,16.43,1.28,234.76,86.85,627.31,7.21
AGOSTO,8,7,0.018,0.006,0.016,0.57,20,12,16.63,1.09,236.13,86.31,627.52,7.4
AGOSTO,8,8,0.017,0.006,0.018,0.77,27,9,18.81,1.32,244.75,77.38,627.79,9.01
AGOSTO,8,9,0.024,0.006,0.016,0.67,36,14,20.56,1.32,190.88,68.4,628.08,NA
AGOSTO,8,10,0.035,0.006,0.015,0.62,37,11,22.63,1.46,218.55,61.89,628.05,NA
AGOSTO,8,11,0.049,0.006,0.010,0.57,133,9,24.01,1.74,236.23,56.33,627.87,NA
AGOSTO,8,12,0.059,0.006,0.009,0.56,47,15,25.35,1.86,236.68,51.69,627.52,NA
AGOSTO,8,13,0.070,0.006,0.010,0.6,37,14,26.87,1.8,202.46,47.5,626.84,NA
AGOSTO,8,14,0.075,0.006,0.010,0.59,34,10,27.96,2.33,234.64,44.49,626.16,NA
AGOSTO,8,15,0.073,0.006,0.009,0.52,41,4,28.87,2.31,214.89,39.47,625.33,NA
AGOSTO,8,16,0.074,0.006,0.009,0.53,42,3,29.92,2.12,235.32,36.14,624.64,NA
