DATOS HORARIOS 2023_DIF,,,,,,,,,,,,,
NOTA,LOS DATOS SON REVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DÍA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m3],PM2.5 [µg/m3],TEMP,WS,WD,HR,PBAR
SEPTIEMBRE,5,16,0.072,0.005,0.012,0.71,42,4,29.92,2.74,115.13,31.49,621.32
SEPTIEMBRE,5,17,0.067,0.006,0.013,0.74,5,3,30.58,3.23,90.29,29.03,620.66
SEPTIEMBRE,5,18,0.066,0.005,0.010,0.65,39,7,30.39,2.83,184.25,31.32,620.37
SEPTIEMBRE,5,19,0.047,0.005,0.017,0.72,37,17,28.49,2.28,279.60,39.17,620.54
SEPTIEMBRE,5,20,0.040,0.004,0.019,0.88,42,29,27.39,1.90,277.52,40.09,621.21
SEPTIEMBRE,5,21,0.030,0.004,0.014,0.87,48,35,24.60,3.30,118.44,51.90,622.27
SEPTIEMBRE,5,22,0.027,0.004,0.012,0.81,26,28,22.23,2.58,109.19,69.22,623.09
SEPTIEMBRE,5,23,0.028,0.004,0.011,0.72,22,29,21.45,1.96,154.90,73.08,623.73
SEPTIEMBRE,6,0,0.025,0.004,0.010,0.68,24,19,20.76,2.30,132.63,76.42,623.89
SEPTIEMBRE,6,1,0.022,0.003,0.011,0.64,4,18,20.00,1.44,171.75,80.14,624.09
SEPTIEMBRE,6,2,0.022,0.003,0.011,0.64,21,18,19.87,1.42,110.68,79.87,624.15
SEPTIEMBRE,6,3,0.022,0.003,0.012,0.61,25,7,19.22,1.50,286.77,81.26,623.71
SEPTIEMBRE,6,4,0.018,0.003,0.014,0.61,4,14,19.02,1.20,201.52,78.94,623.54
SEPTIEMBRE,6,5,0.019,0.004,0.012,0.59,20,13,18.79,2.02,92.62,76.23,623.54
SEPTIEMBRE,6,6,0.017,0.004,0.013,0.66,26,18,17.97,2.07,127.95,79.78,623.97
SEPTIEMBRE,6,7,0.016,0.005,0.014,0.86,26,15,17.61,2.76,96.42,81.35,624.36
SEPTIEMBRE,6,8,0.017,0.004,0.014,1.04,37,9,19.02,2.75,88.77,74.79,624.63
SEPTIEMBRE,6,9,0.023,0.004,0.013,0.95,56,15,20.43,3.53,97.00,67.36,624.88
SEPTIEMBRE,6,10,0.033,0.004,0.011,0.85,56,18,22.01,4.20,102.77,61.97,624.98
SEPTIEMBRE,6,11,0.043,0.004,0.012,0.88,45,21,23.46,3.71,101.80,57.36,624.93
SEPTIEMBRE,6,12,0.050,0.004,0.010,0.74,32,11,25.28,2.59,105.98,50.08,624.57
SEPTIEMBRE,6,13,0.052,0.004,0.010,0.76,43,13,26.18,2.30,128.35,47.33,624.14
SEPTIEMBRE,6,14,0.056,0.004,0.011,0.78,5,5,27.28,2.58,142.98,42.53,623.59
SEPTIEMBRE,6,15,0.065,0.004,0.010,0.71,46,5,28.33,2.26,117.19,37.55,622.88
SEPTIEMBRE,6,16,0.066,0.006,0.010,0.64,52,3,29.39,2.37,126.28,32.29,622.06
SEPTIEMBRE,6,17,0.066,0.007,0.011,0.70,34,8,30.09,2.15,129.21,30.66,621.37
SEPTIEMBRE,6,18,0.058,0.005,0.012,0.74,35,9,30.04,2.57,108.39,30.68,621.16
SEPTIEMBRE,6,19,0.054,0.005,0.014,0.73,33,21,28.66,2.61,192.86,34.68,621.53
SEPTIEMBRE,6,20,0.045,0.004,0.015,0.79,41,34,26.16,2.91,207.20,43.54,622.11
SEPTIEMBRE,6,21,0.042,0.004,0.009,0.60,44,47,19.59,4.67,206.70,78.31,623.90
SEPTIEMBRE,6,22,0.037,0.004,0.011,0.64,20,28,18.49,2.53,153.83,79.42,624.92
SEPTIEMBRE,6,23,0.036,0.004,0.010,0.58,17,17,18.38,2.14,233.88,80.84,625.26
SEPTIEMBRE,7,0,0.039,0.004,0.007,0.54,14,10,17.55,2.14,252.10,83.05,625.45
SEPTIEMBRE,7,1,0.037,0.004,0.008,0.54,13,3,17.21,1.93,213.61,84.28,625.31
SEPTIEMBRE,7,2,0.035,0.004,0.008,0.54,15,4,16.95,1.27,270.51,87.57,624.83
SEPTIEMBRE,7,3,0.031,0.004,0.009,0.55,19,8,17.13,1.24,268.07,88.06,624.56
SEPTIEMBRE,7,4,0.029,0.004,0.011,0.56,142,9,17.01,1.10,233.59,88.89,624.24
SEPTIEMBRE,7,5,0.017,0.004,0.017,0.62,74,12,17.14,1.10,145.74,88.78,624.48
SEPTIEMBRE,7,6,0.014,0.004,0.017,0.64,26,15,16.73,1.28,187.76,89.80,624.68
SEPTIEMBRE,7,7,0.022,0.004,0.013,0.67,40,12,16.31,1.73,216.90,89.64,624.84
SEPTIEMBRE,7,8,0.024,0.004,0.013,0.71,158,7,17.55,1.48,267.13,84.77,624.99
SEPTIEMBRE,7,9,0.030,0.004,0.011,0.72,25,5,19.78,1.38,259.14,74.85,625.22
SEPTIEMBRE,7,10,0.033,0.004,0.015,0.87,26,17,21.93,1.87,111.88,66.22,625.40
SEPTIEMBRE,7,11,0.038,0.006,0.013,0.84,45,31,23.13,2.88,100.44,62.36,625.52
SEPTIEMBRE,7,12,0.048,0.006,0.013,0.83,47,24,24.32,2.65,97.56,57.88,625.12
SEPTIEMBRE,7,13,0.060,0.005,0.013,0.82,6,21,25.67,2.21,117.14,52.11,624.57
SEPTIEMBRE,7,14,0.065,0.006,0.014,0.80,56,20,26.62,2.00,150.34,49.08,623.89
SEPTIEMBRE,7,15,0.074,0.010,0.012,0.71,70,14,27.67,2.08,216.35,45.78,623.13
SEPTIEMBRE,7,16,0.074,0.011,0.011,0.69,70,27,26.38,2.96,245.57,49.93,622.44
SEPTIEMBRE,7,17,0.071,0.008,0.009,0.61,48,22,27.18,2.81,241.21,46.58,622.12
SEPTIEMBRE,7,18,0.063,0.006,0.009,0.62,40,28,26.23,3.64,236.04,50.85,622.18
SEPTIEMBRE,7,19,0.048,0.006,0.010,0.62,37,30,23.85,4.15,234.63,61.27,622.40
SEPTIEMBRE,7,20,0.042,0.005,0.010,0.59,35,30,21.21,3.34,246.91,67.52,623.22
SEPTIEMBRE,7,21,0.038,0.004,0.011,0.63,19,31,20.35,2.17,251.73,69.88,624.07
SEPTIEMBRE,7,22,0.034,0.004,0.011,0.62,13,24,19.82,2.02,231.16,73.34,624.33
SEPTIEMBRE,7,23,0.031,0.004,0.010,0.63,23,20,19.35,2.18,215.85,76.97,625.02
SEPTIEMBRE,8,0,0.031,0.004,0.010,0.58,19,15,19.30,2.50,212.38,77.52,625.17
SEPTIEMBRE,8,1,0.031,0.004,0.009,0.55,15,15,19.08,2.12,229.60,77.34,625.19
SEPTIEMBRE,8,2,0.029,0.004,0.009,0.54,62,16,18.60,1.41,206.98,80.14,625.22
SEPTIEMBRE,8,3,0.028,0.004,0.009,0.54,55,15,18.62,1.29,201.76,81.28,625.10
SEPTIEMBRE,8,4,0.023,0.004,0.011,0.55,21,16,18.52,1.64,108.81,81.61,624.95
SEPTIEMBRE,8,5,0.021,0.004,0.012,0.56,19,16,18.21,1.38,154.10,83.52,624.87
SEPTIEMBRE,8,6,0.016,0.004,0.015,0.63,4,19,17.75,1.36,113.64,85.45,624.89
SEPTIEMBRE,8,7,0.011,0.004,0.018,0.95,25,18,17.55,1.14,105.04,87.51,625.21
SEPTIEMBRE,8,8,0.012,0.004,0.018,1.08,40,17,18.90,1.00,177.23,81.85,625.32
SEPTIEMBRE,8,9,0.023,0.004,0.014,0.90,5,14,20.60,1.69,126.68,72.62,625.55
SEPTIEMBRE,8,10,0.033,0.004,0.012,0.80,43,16,22.34,2.06,124.88,64.19,625.57
SEPTIEMBRE,8,11,0.041,0.004,0.011,0.76,40,22,23.44,2.66,115.59,59.23,625.33
SEPTIEMBRE,8,12,0.048,0.005,0.010,0.88,41,13,25.10,2.60,184.71,52.66,624.76
SEPTIEMBRE,8,13,0.044,0.008,0.010,0.69,12,11,26.93,3.55,103.33,42.46,624.16
SEPTIEMBRE,8,14,0.047,0.008,0.011,0.75,47,2,28.00,3.47,114.71,38.95,623.41
SEPTIEMBRE,8,15,0.051,0.009,0.011,0.62,102,6,28.48,2.77,128.58,38.08,622.62
SEPTIEMBRE,8,16,0.052,0.007,0.011,0.53,77,9,28.55,2.44,147.52,38.03,622.01
SEPTIEMBRE,8,17,0.055,0.006,0.012,0.58,32,5,29.37,2.58,132.26,36.98,621.63
SEPTIEMBRE,8,18,0.048,0.006,0.011,0.57,35,17,25.45,3.36,155.77,51.97,621.52
SEPTIEMBRE,8,19,0.024,0.005,0.021,0.88,102,36,23.20,1.37,235.58,67.05,622.15
SEPTIEMBRE,8,20,0.009,0.005,0.028,1.36,23,27,22.17,1.20,216.95,75.63,622.45
SEPTIEMBRE,8,21,0.014,0.005,0.022,1.45,25,35,23.30,2.18,75.92,58.87,623.26
SEPTIEMBRE,8,22,0.018,0.006,0.017,0.81,58,32,22.30,2.73,75.96,54.04,623.89
SEPTIEMBRE,8,23,0.019,0.012,0.017,0.65,39,23,21.32,3.13,76.72,55.47,624.24
SEPTIEMBRE,9,0,0.020,0.014,0.015,0.60,41,24,20.45,2.56,93.34,56.91,624.48
SEPTIEMBRE,9,1,0.021,0.008,0.014,0.48,50,17,19.28,2.47,97.23,61.74,624.57
SEPTIEMBRE,9,2,0.025,0.006,0.011,0.43,NA,10,18.70,2.21,105.82,65.42,624.74
SEPTIEMBRE,9,3,0.024,0.006,0.012,0.42,NA,12,17.93,2.21,84.84,70.22,624.51
SEPTIEMBRE,9,4,0.024,0.006,0.012,0.41,NA,18,17.61,2.80,77.96,73.97,624.30
SEPTIEMBRE,9,5,0.023,0.011,0.012,0.42,NA,27,17.00,2.20,89.52,77.65,624.44
SEPTIEMBRE,9,6,0.020,0.008,0.013,0.47,NA,16,16.05,1.89,110.66,81.93,624.61
SEPTIEMBRE,9,7,0.016,0.007,0.015,0.65,NA,12,15.61,1.79,100.62,83.71,625.00
SEPTIEMBRE,9,8,0.016,0.006,0.015,0.75,NA,14,17.00,1.75,112.75,78.00,625.24
SEPTIEMBRE,9,9,0.024,0.006,0.013,0.76,NA,12,19.56,2.64,108.38,68.62,625.38
SEPTIEMBRE,9,10,0.038,0.005,0.010,0.63,NA,19,21.63,4.29,75.38,59.05,625.65
SEPTIEMBRE,9,11,0.043,0.005,0.010,0.64,NA,11,22.77,3.23,85.33,51.51,625.79
SEPTIEMBRE,9,12,0.047,0.006,0.011,0.66,NA,11,24.26,3.06,102.48,44.81,625.41
SEPTIEMBRE,9,13,0.050,0.007,0.011,0.66,NA,9,25.89,3.22,101.69,38.68,624.58
SEPTIEMBRE,9,14,0.050,0.007,0.012,0.65,NA,3,27.39,3.56,102.61,35.31,623.85
SEPTIEMBRE,9,15,0.051,0.006,0.011,0.62,NA,3,28.31,3.76,100.09,31.52,623.25
SEPTIEMBRE,9,16,0.055,0.005,0.012,0.61,NA,3,29.20,3.74,121.29,28.74,622.75
SEPTIEMBRE,9,17,0.054,0.005,0.012,0.58,NA,3,29.45,3.45,98.73,25.70,622.47
SEPTIEMBRE,9,18,0.045,0.009,0.013,0.63,NA,7,28.95,3.52,77.75,26.53,622.45
SEPTIEMBRE,9,19,0.039,0.013,0.011,0.57,NA,20,27.44,4.88,44.56,28.73,622.70
SEPTIEMBRE,9,20,0.037,0.008,0.010,0.64,NA,14,25.65,5.50,48.94,31.89,623.20
SEPTIEMBRE,9,21,0.036,0.022,0.011,1.37,NA,23,24.28,5.97,48.79,35.19,623.93
SEPTIEMBRE,9,22,0.033,0.069,0.013,1.86,NA,27,23.21,5.31,51.88,39.98,624.83
SEPTIEMBRE,9,23,0.032,0.049,0.012,0.50,NA,25,22.18,4.50,62.01,47.02,625.21
SEPTIEMBRE,10,0,0.031,0.034,0.012,0.48,NA,15,21.17,4.04,62.03,51.97,625.26
SEPTIEMBRE,10,1,0.029,0.032,0.012,0.51,NA,8,20.03,2.86,79.96,58.26,625.31
SEPTIEMBRE,10,2,0.029,0.012,0.010,0.43,NA,14,18.80,2.73,94.62,65.12,625.41
SEPTIEMBRE,10,3,0.026,0.016,0.013,0.46,NA,11,19.18,2.62,73.48,65.15,625.36
SEPTIEMBRE,10,4,0.028,0.021,0.011,0.39,NA,19,19.01,3.27,72.45,66.03,625.19
SEPTIEMBRE,10,5,0.027,0.011,0.009,0.40,NA,15,17.60,2.51,111.54,72.90,625.30
SEPTIEMBRE,10,6,0.028,0.007,0.008,0.42,NA,15,17.08,2.73,101.49,74.37,625.55
SEPTIEMBRE,10,7,0.024,0.006,0.010,0.48,NA,16,16.57,2.97,109.56,75.94,626.04
SEPTIEMBRE,10,8,0.026,0.005,0.010,0.50,NA,4,17.59,3.16,112.98,71.43,626.30
SEPTIEMBRE,10,9,0.029,0.005,0.009,0.57,NA,10,19.48,3.56,91.04,62.93,626.37
