DATOS HORARIOS 2020_CRUZ ROJA,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),PM2.5 (µg/m³),WS (m/s),WD (°),TEMP (°C)
SEP,7,12,0.0362,0.039,NA,0.007,20,14,5,90.28,24.18
SEP,7,13,0.0429,0.033,NA,0.0074,30,23,3.85,88.6,25.24
SEP,7,14,0.0483,0.0221,NA,0.0057,23,23,2.68,88.97,26.58
SEP,7,15,0.0523,0.0152,NA,0.0063,20,13,2.07,113.65,27.97
SEP,7,16,0.0499,0.0188,NA,0.01,24,15,2.27,124.71,28.46
SEP,7,17,0.0462,0.0062,NA,0.0149,24,20,2.04,187.61,28.2
SEP,7,18,0.0386,0.0032,NA,0.0147,30,16,4.07,203.91,26.16
SEP,7,19,0.0265,0.003,NA,0.023,38,18,2.59,202.7,24.13
SEP,7,20,0.019,0.0021,NA,0.021,22,35,1.57,275.56,23.36
SEP,7,21,0.0183,0.0016,NA,0.0214,25,19,1.06,178.27,22.69
SEP,7,22,0.0202,0.0013,NA,0.0137,25,3,2.04,234.09,22.34
SEP,7,23,NA,0.002,NA,NA,16,NA,2.43,127.98,20.59
SEP,8,0,0.0201,0.005,NA,NA,24,NA,2.09,117.26,18.99
SEP,8,1,0.0243,0.0021,NA,NA,3,26,1.82,238.4,18.49
SEP,8,2,0.0201,0.0013,NA,NA,8,14,2.29,291.54,18.18
SEP,8,3,0.0249,0.0007,NA,NA,5,12,0.92,127.67,17.79
SEP,8,4,0.0225,0.0006,NA,0.0078,4,8,0.96,215.34,18.15
SEP,8,5,0.0171,0.0005,NA,0.0098,6,5,0.75,218.23,17.92
SEP,8,6,0.0108,0.0004,NA,0.0147,12,8,0.88,288.94,17.94
SEP,8,7,0.0078,0.0004,NA,0.0193,12,11,0.55,187.49,17.82
SEP,8,8,0.0081,0.0013,NA,0.0186,15,7,0.55,182.04,18.2
SEP,8,9,0.008,0.0047,NA,0.0208,28,NA,0.49,181.37,18.94
SEP,8,10,0.014,0.0264,NA,0.0206,39,NA,0.53,148.3,20.12
SEP,8,11,0.0314,0.0184,NA,0.0088,33,48,0.45,150.36,22.84
SEP,8,12,0.0388,0.0359,NA,0.008,21,16,1.37,98.22,23.81
SEP,8,13,0.0452,0.0078,NA,0.0106,31,33,1.55,196.5,25.45
SEP,8,14,0.0499,0.0028,NA,0.0094,22,18,1.7,154.39,26.28
SEP,8,15,0.0528,0.0027,NA,0.0059,21,15,1.3,137.75,27.63
SEP,8,16,0.0573,0.0049,NA,0.0087,20,17,1.52,144.85,27.9
SEP,8,17,0.0539,0.0018,NA,0.0074,15,16,1.59,127.45,28.54
SEP,8,18,0.0418,0.0009,NA,0.0125,26,17,3.58,217.73,26.6
SEP,8,19,0.0335,0.0008,NA,0.0145,34,16,3.24,230.17,23.19
SEP,8,20,0.0264,0.0006,NA,0.0136,23,24,2.72,226.65,22.22
SEP,8,21,0.026,0.0004,NA,0.0118,13,9,2.4,206.53,22.17
SEP,8,22,0.0274,0.0004,NA,0.0103,13,8,1.95,180.77,22.32
SEP,8,23,0.025,0.006,NA,0.0131,17,10,1.09,137.78,21.2
SEP,9,0,0.0265,0.0056,NA,0.0102,20,25,1.88,137.67,19.86
SEP,9,1,0.031,0.0165,NA,NA,19,19,1.55,122.11,19.63
SEP,9,2,0.0317,0.0106,NA,0.013,51,38,1.63,121.99,19.34
SEP,9,3,0.0211,0.0097,NA,NA,18,29,1.64,100.66,19.47
SEP,9,4,0.0236,0.0309,NA,NA,12,22,1.54,86.93,19.62
