DATOS HORARIOS 2020_CRUZ ROJA,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,PBAR
JUL,5,15,51.02,14.25,0.67,3.37,16.11,23.04,2.45,161.87,28.77,622.38
JUL,5,16,53.48,18.44,0.76,3.91,11.4,15.04,2.34,235.22,29.95,621.66
JUL,5,17,57.01,11.23,0.72,5.09,19.86,17.94,2.7,232.35,30.4,621.29
JUL,5,18,55.77,9.03,0.7,5.74,21.4,12.77,2.67,216.82,30.06,621.03
JUL,5,19,44.91,6.93,0.67,6.2,29.91,17.2,4.31,211.09,27.2,621.13
JUL,5,20,37.09,6.01,0.67,6.79,25.43,15.11,3.3,179,25.59,621.56
JUL,5,21,32.55,6.72,0.7,9.05,26.89,17.9,2.86,175.11,23.96,622.67
JUL,5,22,23.75,7.81,0.59,8.93,22.13,16.75,2.68,122.79,23.04,623.19
JUL,5,23,22.8,6.25,0.55,10.67,14.82,8.94,2.04,125.52,22.19,623.73
JUL,6,0,29.66,5.79,0.51,8.21,11.22,9.35,1.73,110.92,21.37,623.9
JUL,6,1,20.9,6.99,0.51,13.27,22.38,8.09,1.94,112.08,20.7,623.86
JUL,6,2,22.56,7.03,0.51,10.95,16.06,8.73,1.43,108.93,20.34,623.68
JUL,6,3,21.09,6.55,0.51,9.46,10.81,7.34,1.29,97.64,20.27,623.33
JUL,6,4,10.37,7.11,0.52,12.33,15.32,7.23,1.21,100.33,19.56,623.31
JUL,6,5,3.1,7.72,0.56,22.18,16.7,10.12,0.93,186.22,19.03,623.43
JUL,6,6,2.52,6.67,0.63,19.44,13.07,10.83,0.98,167.96,18.39,623.49
JUL,6,7,2.63,6.33,0.8,22.64,22.85,9.18,1.4,112.64,18.34,623.68
JUL,6,8,3.68,9.46,0.87,19.54,32.25,9.89,1.86,127.39,18.9,623.99
JUL,6,9,12.26,13.72,0.81,13.82,36.39,12.37,1.69,141.81,20.61,624.34
JUL,6,10,23.5,10.2,0.95,12.48,29.49,15.68,1.71,188.85,22.22,624.5
JUL,6,11,36.94,9.38,0.79,8.09,23.34,2.54,1.99,243.85,24.2,624.46
JUL,6,12,50.99,9.39,0.78,8.64,31.11,NA,2.07,253.61,25.34,624.25
JUL,6,13,55.13,7.91,0.74,6.32,26.11,28.19,1.95,229.34,26.19,623.86
JUL,6,14,66.65,11.12,0.73,4.91,24.8,21.55,1.95,163.05,27.7,623.06
JUL,6,15,72.65,15.21,0.81,6.29,25.58,25.28,2.32,136.98,29.14,622.35
JUL,6,16,73.39,13.16,0.72,5.17,27.9,33.22,2.18,156.06,29.72,621.72
JUL,6,17,77.46,13.29,0.75,5.28,28.39,20.44,2.81,135.99,29.93,621.15
JUL,6,18,78.3,10.68,0.73,5.85,29.73,19.77,2.4,148.69,29.87,620.57
JUL,6,19,74.42,12.95,0.8,8.44,28.75,18.34,1.07,204.53,30.35,620.52
JUL,6,20,61.09,9.19,0.9,13.59,42.77,19,2.15,274.51,28.75,621.08
JUL,6,21,33.43,7.46,0.74,27.32,33.97,20.16,2.01,216.33,27.46,621.7
JUL,6,22,28.43,13.73,0.97,10.03,27.65,14.95,3.34,65.21,26.95,622.33
JUL,6,23,18.86,41.86,0.65,8.67,24.92,15.63,4.15,102.84,25.49,623.03
JUL,7,0,31.77,7.56,0.5,3.77,27.64,18.07,3.63,149.38,22.03,623.68
JUL,7,1,34.12,5.93,0.48,2.17,13.19,6.75,2.63,137.85,21.1,624.19
JUL,7,2,35.66,5.52,0.47,2.54,8.98,7.17,2.92,128.37,20.72,624.09
JUL,7,3,35.56,5.42,0.47,2.31,6.64,9.8,3.48,132.95,20.24,624
JUL,7,4,32.4,5.37,0.48,2.92,7.99,9.09,2.83,126.24,20,623.79
JUL,7,5,29.69,5.39,0.49,3.38,4.28,7.81,1.96,132.79,19.75,623.94
JUL,7,6,24.02,5.61,0.53,5.56,12.8,9.28,1.38,101.27,19.55,624.19
JUL,7,7,17.1,5.65,0.64,10.43,9.28,7.66,1.77,105.58,19.59,624.4
JUL,7,8,14.84,10.27,0.7,11.11,19.69,6.24,1.94,116.85,19.98,624.82
JUL,7,9,22.89,6.5,0.69,6.49,14.21,15.02,2.43,148.59,21.54,625
JUL,7,10,32.58,9.19,0.61,3.95,9.07,4.49,2.1,117.93,23.48,624.9
JUL,7,11,35.16,5.44,0.61,4.32,19.75,8.01,2.52,128.55,24.44,624.75
JUL,7,12,38.93,0.77,0.63,3.65,14.24,12,2.18,163.39,26.01,624.25
JUL,7,13,42.1,NA,0.55,1.78,17.51,10.4,2.82,128.55,26.92,623.91
JUL,7,14,41.32,NA,0.63,2.93,11.7,9.19,2.66,168.71,27.95,623.46
JUL,7,15,47.16,NA,0.59,4.31,8.05,8.65,2.43,187.85,29.05,622.66
JUL,7,16,50.44,NA,0.61,4.39,11.45,7.86,2.58,254.67,29.5,621.88
JUL,7,17,51.04,1.1,0.65,3.92,16.51,9.35,2.8,287.09,29.65,621.41
JUL,7,18,53.71,0.57,0.6,4.08,16.86,16.94,2.48,242.74,29.91,621.49
JUL,7,19,48.97,11.05,0.55,4.87,64.3,8.69,7.12,121.83,24.46,622.54
JUL,7,20,41.36,1.35,0.57,6.34,48.59,23.94,4.4,139.08,21.39,623.22
JUL,7,21,37.38,13.85,0.53,5.54,16.04,14.84,3.6,102.15,20.6,624.08
JUL,7,22,28.74,42.37,0.55,9.68,24.46,14.75,4.36,87.6,20.22,624.97
JUL,7,23,32.57,15.79,0.52,5.27,24.52,28.98,2.94,108.89,20.28,624.77
JUL,8,0,35.97,1.93,0.49,3.84,5.81,7.71,1.86,162.96,19.76,624.6
JUL,8,1,33.75,1.53,0.5,3.99,7.14,6.97,2.19,112.15,19.58,624.63
JUL,8,2,26.07,14.69,0.51,7.68,11.93,7.65,2.3,85.61,19.47,624.58
JUL,8,3,28.4,27.42,0.55,5.82,9.17,10.32,2.65,94.49,19.57,624.25
JUL,8,4,27.36,4.46,0.57,5.7,15.35,10.58,2.77,104.48,19.3,624.36
JUL,8,5,13.46,3.65,0.58,7.37,21.15,10.37,1.54,104.7,18.92,624.21
JUL,8,6,11.51,2.17,0.61,14.98,16.2,16.27,0.99,230.04,18.67,623.99
JUL,8,7,12.31,1.39,0.78,16.07,11.55,9.24,1.05,174.99,18.9,623.86
JUL,8,8,11.58,1.16,0.82,14.21,16.02,10.33,0.69,132.06,19.99,624.19
JUL,8,9,17.06,2.81,0.74,7.08,12.1,15.32,1.97,126.01,21.29,624.59
JUL,8,10,19.77,3.35,0.63,3.52,10.2,NA,2.55,124.14,21.93,624.64
JUL,8,11,23.81,4.88,0.63,4.46,10.08,NA,2.62,126.07,23.35,624.63
JUL,8,12,29.25,2.73,0.67,3.72,15.59,16.53,2.48,143.7,24.56,624.53
JUL,8,13,31.48,2.08,0.63,4.25,236.19,15.52,3.17,144.34,25.24,624.23
JUL,8,14,27.86,1.94,0.74,4.79,493.27,9.51,3.43,184.6,25.95,623.76
JUL,8,15,26.96,1.78,0.72,4.27,113.29,10.35,3.26,192.34,26.41,623.14
JUL,8,16,21.89,1.71,0.83,7.27,70.59,10.37,3.73,191.25,26.04,622.84
JUL,8,17,19.72,1.73,0.79,5.99,21.22,10.45,4.79,180.08,23.35,622.95
