DATOS HORARIOS 2020_CRUZ ROJA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR
FEB,10,5,16.34,2.29,1.42,12.46,18.24,11.1,0.79,218.27,15.92,62.8,624.21
FEB,10,6,13.3,2.59,1.48,12.49,15.71,10.85,0.84,130.89,14.43,66.01,624.19
FEB,10,7,15.11,3.09,1.96,12.53,26.21,11.86,0.65,86.44,13.68,68.87,624.5
FEB,10,8,15.11,3.59,3.15,12.59,48.05,17.15,0.5,169.41,14.25,67.7,624.76
FEB,10,9,13.75,4.02,3.69,14.55,79.18,27.4,0.91,306.72,14.87,64.43,625.02
FEB,10,10,18.79,7.63,3.18,23.78,81.65,22.99,0.99,239.44,18.22,56.45,625.32
FEB,10,11,23.02,4.19,1.9,15.02,40.92,24.1,1.38,239.95,20.62,51.42,625.51
FEB,10,12,35.86,2.68,1.67,10.5,24.49,14.82,2.02,270.06,22.33,48.85,625.25
FEB,10,13,42.97,2.55,1.62,9.63,18.44,13.71,1.91,217.57,24.28,42.61,624.58
FEB,10,14,43.41,2.4,1.76,10.99,18.94,12.68,2.39,232.57,25.77,38.01,623.76
FEB,10,15,48.74,2.24,1.63,9.77,18.59,13.44,2.5,235.7,26.91,33.58,623.02
FEB,10,16,53.51,1.99,1.6,9.44,15.47,11.75,2.39,252.11,27.84,29.31,622.41
FEB,10,17,39.95,1.8,1.74,10.89,16.39,11.23,3.26,238.28,28.81,21.32,621.94
FEB,10,18,41.69,1.81,1.79,12.67,22.33,12.93,3.59,246.67,28.59,21.29,621.97
FEB,10,19,28.72,2.09,2.09,18.61,30.93,11.24,2.56,252.79,27.11,25.67,622.28
FEB,10,20,17.06,2.34,2.48,21.84,35.95,9.81,2.35,259.74,25.02,29.56,622.66
FEB,10,21,20.07,2.16,2.17,19.73,51.22,21.38,1.94,222.28,22.98,33.14,623.33
FEB,10,22,22.71,1.8,1.63,14.26,47.37,9.55,2.47,222.63,21.07,35.14,623.87
FEB,10,23,23.99,2.22,1.55,14.32,20.34,12.2,2.15,279.76,19.88,37.12,624.21
FEB,11,0,27.38,2.89,1.72,18.06,33.32,14.14,1.68,280.56,19.65,39.26,624.42
FEB,11,1,23.61,3.8,1.72,18.77,37.41,18.75,0.9,315.34,18.15,44.3,624.42
FEB,11,2,20.72,3.08,1.56,18.29,39.91,16.09,1.22,269.64,17.52,45.7,624.29
FEB,11,3,39.31,2.81,1.6,16.64,36.43,18.12,1.04,242.4,16.84,46.68,624.06
FEB,11,4,39.76,3.43,1.56,16.37,30.91,18.85,0.6,313.26,15.49,49.6,623.98
FEB,11,5,32.62,3.07,1.6,15.56,27.16,15.66,0.45,220.64,15.31,49.57,623.66
FEB,11,6,28.85,3.46,1.68,16.1,38.42,16.57,0.5,223.86,15.35,51.05,623.87
FEB,11,7,24.1,4.58,2.39,13.69,42.58,18.05,0.49,258.58,13.49,57.87,624.23
FEB,11,8,30.2,5.57,2.89,14.74,67.87,30.97,0.53,114.14,13.36,59.13,624.15
FEB,11,9,31.68,4.81,2.62,18.87,119.39,31.96,1.3,111.68,15.39,53.74,624.69
FEB,11,10,28.75,4.19,2.26,22.76,96.21,46.02,0.87,133.02,18.5,46.05,624.9
FEB,11,11,44.52,2.78,2.05,20.36,77.53,39.48,1.11,195.72,20.7,42.55,624.91
FEB,11,12,49.8,2.43,1.76,13.94,41.59,31.44,1.59,223.72,22.7,40.96,624.55
FEB,11,13,56.21,2.45,1.65,11.6,19.27,17.72,1.52,240.65,24.88,36.27,623.64
FEB,11,14,59.9,2.28,1.59,10.26,23.66,17.27,1.8,198.22,26.22,31.23,622.69
FEB,11,15,69.65,2.28,1.61,10.19,15.26,13.47,1.75,194.32,27.77,28.62,621.78
FEB,11,16,74.72,2.27,1.64,11.35,24.84,13.64,2.1,213.48,28.6,27.84,621.04
FEB,11,17,78.1,2.23,1.59,9.71,23.45,15.99,1.86,232.23,29.06,27.66,620.53
