DATOS HORARIOS 2020_CRUZ ROJA,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),PM2.5 (µg/m³),TEMP (°C),WS (m/s),WD (°),HR (%)
OCT,9,10,0.034,0.011,0.96,0.0181,NA,29,20.45,1.33,146.31,52.71
OCT,9,11,0.054,0.008,0.95,0.017,NA,31,22.51,1.37,193.16,45.85
OCT,9,12,0.071,0.005,0.85,0.013,46,26,24.98,1.12,186.86,38.05
OCT,9,13,0.071,0.002,0.85,0.0124,41,16,26.39,1.62,183.91,37.24
OCT,9,14,0.066,0.001,0.84,0.011,33,16,27.98,1.39,200.7,32.21
OCT,9,15,0.074,0.005,0.75,0.0099,24,10,29.01,1.27,178.18,26.9
OCT,9,16,0.073,0.002,0.77,0.0103,44,18,29.72,1.22,137.98,24
OCT,9,17,0.067,0.003,0.80,0.0123,67,13,29.79,1.46,245.31,21.75
OCT,9,18,0.060,0.003,0.93,0.0172,38,10,29.74,1.22,219,21.67
OCT,9,19,0.026,0.002,1.50,0.0381,47,NA,28.31,1.52,216.94,26.76
OCT,9,20,0.015,0.006,1.96,0.0495,73,NA,26.84,1.36,238.56,30.68
OCT,9,21,0.023,0.005,1.27,0.0375,61,20,24.86,0.89,200.04,35.92
OCT,9,22,0.014,0.006,1.15,0.0386,71,16,23.01,1.15,249.24,40.77
OCT,9,23,0.040,0.005,0.81,0.0147,56,25,22.09,1.31,192.66,44.41
OCT,10,0,0.024,0.005,0.83,0.0235,50,16,20.55,1.43,114.94,53.18
OCT,10,1,0.027,0.003,0.80,0.0151,44,18,20.16,0.67,119.91,61.47
OCT,10,2,0.015,0.006,0.80,0.0238,38,14,19.33,0.45,203.24,64.55
OCT,10,3,0.023,0.019,0.74,0.0141,49,23,18.91,0.7,113.67,71.86
OCT,10,4,0.021,0.009,0.73,0.0168,45,32,18.92,0.87,113.69,71.89
OCT,10,5,0.017,0.005,0.78,0.0191,37,25,18.13,0.54,149.12,73.52
OCT,10,6,0.007,0.005,0.98,0.0261,44,20,17.61,0.45,204.59,72.93
OCT,10,7,0.007,0.005,1.36,0.0261,61,30,17.12,0.57,111.48,74.58
OCT,10,8,0.009,0.026,1.46,0.0279,75,31,17.47,0.87,126.05,72.13
OCT,10,9,0.016,0.025,1.13,0.0254,106,35,19.36,1.37,102.57,62.51
OCT,10,10,0.034,0.017,1.06,0.0204,70,36,21.44,1.47,156.32,60.61
OCT,10,11,0.050,0.007,0.98,0.0152,63,38,23.37,1.51,208.56,57.16
OCT,10,12,0.065,0.003,0.93,0.0107,39,28,24.87,1.45,221.5,51.37
OCT,10,13,0.073,0.006,0.94,0.0128,37,18,26.64,1.34,258.7,44.5
OCT,10,14,0.080,0.012,0.89,0.0118,45,27,28.09,1.17,174.5,39.09
OCT,10,15,0.076,0.012,0.82,0.01,41,24,29.16,1.31,159.38,33.65
OCT,10,16,0.067,0.007,0.81,0.0101,41,26,29.78,1.34,164,29.4
OCT,10,17,0.075,0.013,0.83,0.013,46,29,30.2,1.05,237.88,29.53
OCT,10,18,0.076,0.007,0.83,0.0125,52,30,28.86,2.43,293.34,35.18
OCT,10,19,0.061,0.003,0.75,0.0092,57,28,25.46,4.38,106.56,43.19
OCT,10,20,0.058,0.002,0.75,0.0102,29,17,25.76,4.08,242,37.9
OCT,10,21,0.051,0.002,0.91,0.0133,36,16,25.14,3.38,238.21,46.06
OCT,10,22,0.046,0.002,0.87,0.0126,46,14,23.65,2.2,207.98,54.54
OCT,10,23,0.041,0.003,0.90,0.0153,37,19,23.47,1.36,172.57,55.4
OCT,11,0,0.043,0.003,0.76,0.0102,34,23,22.91,1.11,120.26,57.29
OCT,11,1,0.025,0.004,0.77,0.0201,33,17,21.83,0.79,100.9,61.29
OCT,11,2,0.024,0.012,0.76,0.0209,43,16,20.63,1.66,108.7,65.33
OCT,11,3,0.023,0.012,0.78,0.019,47,22,20.18,1.26,109.58,66.2
OCT,11,4,0.015,0.009,0.78,0.0249,38,20,19.54,0.8,109.65,68.15
OCT,11,5,0.021,0.007,0.78,0.0159,40,25,18.69,1.35,110.31,69.11
OCT,11,6,0.015,0.009,0.84,0.0176,35,23,17.9,1.89,103.47,66.58
OCT,11,7,0.012,0.015,0.92,0.0189,37,17,17.29,1.43,103.72,68.71
OCT,11,8,0.013,0.008,1.03,0.0193,37,16,17.13,1.61,113.14,66.11
OCT,11,9,0.022,0.016,1.06,0.0186,49,18,19.06,1.99,114.47,60.13
OCT,11,10,0.034,0.034,0.89,0.0153,64,42,21.41,2.85,101.69,52.9
OCT,11,11,0.049,0.016,0.82,0.0115,36,32,23.89,2.69,103.74,43.12
OCT,11,12,0.062,0.010,0.82,0.0111,28,20,26.12,1.88,129.78,34.15
OCT,11,13,0.067,0.011,0.79,0.0115,26,16,28.18,1.56,123.37,25.02
OCT,11,14,0.067,0.017,0.71,0.0085,28,17,29.24,1.79,106.86,20.85
OCT,11,15,0.065,0.008,0.72,0.0082,18,14,30.21,1.53,126.75,19.31
OCT,11,16,0.070,0.009,0.71,0.0079,20,12,30.51,1.07,118.02,18.42
OCT,11,17,0.065,0.009,0.71,0.0086,25,13,30.7,1.25,119.62,17.75
OCT,11,18,0.059,0.005,0.79,0.0146,29,11,30.59,0.63,186.68,17.97
OCT,11,19,0.039,0.006,1.35,0.0312,47,13,29.2,0.45,226.34,20.77
OCT,11,20,0.027,0.006,1.33,0.0322,76,14,27.25,1.46,144.13,25.03
OCT,11,21,0.034,0.006,0.76,0.0141,39,14,25.03,2.38,126.49,27.33
OCT,11,22,0.040,0.006,0.86,0.0128,58,5,23.14,2.89,189.68,58.06
OCT,11,23,0.038,0.004,0.80,0.0117,41,21,22.17,1.58,126.97,63.82
OCT,12,0,0.033,0.004,0.73,0.012,31,17,21.77,0.45,89.55,56.6
OCT,12,1,0.029,0.006,0.65,0.0106,24,18,20.98,1.02,87.38,39.12
OCT,12,2,0.024,0.016,0.67,0.0125,29,7,19.3,1.89,102.66,43.88
OCT,12,3,0.022,0.026,0.66,0.0133,33,8,18.56,1.77,108.19,47.46
OCT,12,4,0.020,0.005,0.68,0.0149,30,10,17.62,1.87,106.6,50.35
OCT,12,5,0.020,0.021,0.71,0.0151,24,13,17.32,1.35,79.18,56.58
OCT,12,6,0.013,0.012,0.87,0.0212,32,13,16.86,1.37,100.42,59.38
OCT,12,7,0.009,0.010,1.10,0.0242,36,8,16.45,1.27,95.6,63.98
