DATOS MÓVILES 2020_DIF,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppb],O3 Promedio de 8 hrs. [ppb],SO2 Promedio de 24 hrs. [ppb],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppb]
MZO,7,11,34.51,28.78,25.8,1.59,31,17,12.82
MZO,7,12,38.41,29.82,25.75,1.63,33,16,14.93
MZO,7,13,43.06,31.27,26.6,1.67,36,19,17.5
MZO,7,14,53.37,34.25,27.46,1.74,36,24,18.03
MZO,7,15,68.15,39.4,28.74,1.85,41,37,18.63
MZO,7,16,69.88,45.53,28.78,1.92,44,39,13.45
MZO,7,17,73.59,51.66,30.17,1.98,46,31,14.94
MZO,7,18,67.10,56.01,30.65,2.01,68,31,15.07
MZO,7,19,52.95,58.31,30.29,2.03,128,31,20.78
MZO,7,20,29.97,57.26,29.1,2.09,116,30,42.87
MZO,7,21,21.15,54.52,28.1,2.14,141,34,36.78
MZO,7,22,24.28,50.88,27.9,2.13,109,29,20.19
MZO,7,23,25.97,45.61,27.73,2.03,85,22,12.76
MZO,8,0,27.55,40.32,28.01,1.94,72,22,12.4
MZO,8,1,32.92,35.24,27.95,1.85,58,15,7.61
MZO,8,2,34.25,31.13,27.65,1.79,48,13,6.68
MZO,8,3,34.15,28.78,27.84,1.73,40,13,7.02
MZO,8,4,33.22,29.19,27.29,1.63,38,12,5.21
MZO,8,5,29.62,30.25,27.19,1.54,30,12,6.74
MZO,8,6,30.76,31.06,27.08,1.48,23,13,6.03
MZO,8,7,28.00,31.31,27.1,1.47,23,12,8.4
MZO,8,8,17.71,30.08,27.48,1.48,30,16,17.83
MZO,8,9,19.24,28.37,27.85,1.51,35,21,17.71
MZO,8,10,25.79,27.31,28.41,1.55,37,21,14.76
MZO,8,11,34.76,27.39,28.56,1.6,38,22,11.54
