DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 promedio 8 hrs.,SO2 promedio 24hrs,CO promedio 8hrs.,NO2 horario,PM10 promedio ponderado 12hrs.,PM2.5 promedio ponderado 12 hrs.
JUL,12,7,8.51,14.99,7.68,0.248,10.61,11,7
JUL,12,8,10.37,13.96,7.64,0.287,9.65,14,7
JUL,12,9,20.65,14.25,7.67,0.311,6.34,17,8
JUL,12,10,26.31,15.43,7.7,0.341,5.97,21,7
JUL,12,11,30.93,17.27,7.76,0.36,5.53,18,6
JUL,12,12,35.03,19.75,7.82,0.385,6.02,17,7
JUL,12,13,40.17,23.09,7.89,0.402,5.16,18,8
JUL,12,14,44.24,27.03,7.95,0.415,5.83,15,9
JUL,12,15,48.68,32.05,8.04,0.412,5.62,16,12
JUL,12,16,53.06,37.38,8.17,0.378,5.77,16,19
JUL,12,17,57.02,41.93,8.09,0.354,5.36,16,19
JUL,12,18,48.43,44.69,8.04,0.327,5.77,18,13
JUL,12,19,36.87,45.44,8.09,0.308,5.06,31,11
JUL,12,20,30.64,44.89,8.08,0.285,6.94,32,11
JUL,12,21,24.39,42.92,8.02,0.282,10.44,32,9
JUL,12,22,23.9,40.37,7.89,0.27,8.25,30,5
JUL,12,23,19.6,36.74,7.68,0.259,10.71,26,3
JUL,13,0,20.45,32.66,7.58,0.25,9.34,19,3
JUL,13,1,7.79,26.51,7.57,0.249,15.91,16,5
JUL,13,2,3.91,20.95,7.55,0.249,17.17,14,6
JUL,13,3,NA,18.67,7.57,0.251,21.42,14,9
JUL,13,4,1.04,14.44,7.59,0.248,21.02,12,11
JUL,13,5,0.79,11.07,7.59,0.244,19.51,16,10
JUL,13,6,NA,8.93,7.61,0.262,17.46,18,9
JUL,13,7,1.75,5.96,7.61,0.303,17.28,25,10
JUL,13,8,NA,NA,7.63,0.364,17.04,33,11
JUL,13,9,9.69,NA,7.65,0.429,19.51,42,15
JUL,13,10,27.11,NA,7.71,0.452,10.75,41,17
JUL,13,11,36.11,12.75,7.78,0.464,7.3,33,16
JUL,13,12,52.7,21.36,7.88,0.478,7.41,32,16
JUL,13,13,72.79,33.36,8.28,0.495,10.41,34,16
JUL,13,14,74.99,39.3,8.74,0.486,9.1,34,21
JUL,13,15,69.27,48.95,8.91,0.447,7.31,26,19
JUL,13,16,75.94,52.32,8.98,0.383,5.49,19,20
JUL,13,17,77.12,60.75,9.13,0.316,6.89,15,19
JUL,13,18,77.15,67.01,9.28,0.293,6.95,16,15
JUL,13,19,73.03,71.62,9.34,0.281,8.26,20,12
JUL,13,20,51.86,71.52,9.41,0.28,15.98,32,11
JUL,13,21,39.83,67.4,9.5,0.288,20.71,45,11
JUL,13,22,39.49,62.96,9.75,0.279,12.46,50,11
JUL,13,23,28.97,57.92,9.92,0.271,10.85,42,10
JUL,14,0,21.31,51.09,10.06,0.276,13.29,43,9
JUL,14,1,18.06,43.71,10.1,0.274,15.14,34,9
JUL,14,2,8.77,35.16,10.23,0.275,20.99,33,11
JUL,14,3,13.52,27.73,10.34,0.268,17.45,28,13
JUL,14,4,17.99,23.49,10.44,0.251,12.52,24,13
JUL,14,5,12.03,20.02,10.74,0.222,15.47,27,12
JUL,14,6,2.75,15.43,10.92,0.238,21.04,37,10
JUL,14,7,NA,13.49,11.11,0.296,21.04,50,13
JUL,14,8,6.64,11.4,11.38,0.353,20.68,56,17
JUL,14,9,23.11,12.12,11.62,0.405,23.51,57,19
JUL,14,10,34.33,15.77,12.35,0.428,13.52,52,22
JUL,14,11,58.17,22.15,13.73,0.454,13.13,49,24
JUL,14,12,76.12,30.45,14.33,0.468,8.45,49,25
JUL,14,13,80.82,40.28,14.23,0.467,6.86,40,22
JUL,14,14,76.16,50.76,13.87,0.442,5.55,31,17
JUL,14,15,75.98,53.92,13.82,0.379,5.5,23,15
JUL,14,16,83.57,63.53,14.12,0.326,8.05,18,15
JUL,14,17,83.41,71.07,14.35,0.281,7.87,22,20
JUL,14,18,79.54,76.72,14.43,0.259,7.7,27,21
JUL,14,19,66.89,77.81,14.52,0.244,10.66,34,15
JUL,14,20,55.49,75.23,14.58,0.243,12.44,39,13
JUL,14,21,35.67,69.59,14.57,0.26,20.92,50,14
JUL,14,22,21.66,62.78,14.39,0.294,31.52,54,12
JUL,14,23,28.98,56.9,14.43,0.301,9.86,49,14
JUL,15,0,22.33,49.25,14.54,0.295,9.42,43,16
JUL,15,1,19.32,41.24,14.55,0.293,10.63,40,20
JUL,15,2,21.32,33.96,14.48,0.291,9.19,38,20
JUL,15,3,22.54,28.41,14.39,0.285,8.35,45,22
