DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2023,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
JULIO,11,21,0.028,0.044,0.011,0.846,50,0.014
JULIO,11,22,0.039,0.043,0.011,0.84,58,0.005
JULIO,11,23,0.033,0.041,0.011,0.851,38,0.008
JULIO,12,0,0.032,0.039,0.011,0.858,28,0.007
JULIO,12,1,0.028,0.037,0.011,0.862,33,0.008
JULIO,12,2,0.026,0.035,0.011,0.868,23,0.006
JULIO,12,3,0.017,0.031,0.011,0.859,17,0.009
JULIO,12,4,0.02,0.028,0.01,0.834,14,0.008
JULIO,12,5,0.02,0.027,0.01,0.806,14,0.007
JULIO,12,6,0.016,0.024,0.01,0.815,15,0.009
JULIO,12,7,NA,NA,0.01,0.837,20,0.015
JULIO,12,8,0.007,NA,0.01,0.918,28,0.016
JULIO,12,9,0.024,NA,0.01,0.977,33,0.012
JULIO,12,10,0.036,NA,0.01,0.993,31,0.006
JULIO,12,11,0.047,NA,0.01,1.005,27,0.005
JULIO,12,12,0.067,NA,0.01,1.063,30,0.01
JULIO,12,13,0.075,NA,0.011,1.106,35,0.007
JULIO,12,14,0.068,NA,0.011,1.13,37,0.006
JULIO,12,15,0.079,0.051,0.012,1.145,35,0.006
JULIO,12,16,0.073,0.059,0.012,1.084,42,0.006
JULIO,12,17,0.057,0.063,0.012,1.025,38,0.004
JULIO,12,18,0.059,0.066,0.012,1.007,35,0.004
JULIO,12,19,0.058,0.067,0.011,0.993,36,0.005
JULIO,12,20,0.046,0.064,0.011,0.949,44,0.011
JULIO,12,21,0.032,0.059,0.011,0.951,55,0.019
JULIO,12,22,0.028,0.054,0.011,0.928,55,0.012
JULIO,12,23,0.027,0.047,0.011,0.889,49,0.011
JULIO,13,0,0.029,0.042,0.011,0.867,43,0.01
JULIO,13,1,0.026,0.038,0.011,0.862,29,0.01
JULIO,13,2,0.019,0.033,0.011,0.864,28,0.013
JULIO,13,3,0.017,0.028,0.011,0.866,27,0.013
JULIO,13,4,0.009,0.023,0.011,0.857,31,0.016
JULIO,13,5,0.005,0.02,0.011,0.827,38,0.017
JULIO,13,6,0.004,0.017,0.011,0.826,42,0.016
JULIO,13,7,0.005,0.014,0.011,0.834,39,0.014
JULIO,13,8,0.008,0.012,0.011,0.864,45,0.014
