DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2023,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
ENERO,4,20,NA,NA,NA,NA,124,0.034
ENERO,4,21,NA,NA,NA,NA,194,0.032
ENERO,4,22,NA,NA,NA,NA,253,0.031
ENERO,4,23,NA,NA,NA,NA,242,0.03
ENERO,5,0,NA,NA,NA,NA,194,0.026
ENERO,5,1,NA,NA,NA,NA,149,0.02
ENERO,5,2,NA,NA,NA,NA,109,0.016
ENERO,5,3,NA,NA,NA,NA,87,0.013
ENERO,5,4,NA,NA,NA,NA,73,0.017
ENERO,5,5,NA,NA,NA,NA,70,0.016
ENERO,5,6,NA,NA,NA,NA,79,0.016
ENERO,5,7,NA,NA,NA,NA,72,0.016
ENERO,5,8,NA,NA,NA,NA,71,0.016
ENERO,5,9,0.014,NA,NA,NA,71,0.016
ENERO,5,10,0.021,NA,NA,NA,73,0.013
ENERO,5,11,0.041,NA,NA,NA,68,0.007
ENERO,5,12,0.047,NA,NA,NA,63,0.006
ENERO,5,13,0.056,NA,NA,NA,53,0.007
ENERO,5,14,0.06,NA,NA,NA,49,0.006
ENERO,5,15,0.058,NA,NA,NA,47,0.005
ENERO,5,16,0.058,0.045,0.008,NA,46,0.005
ENERO,5,17,0.062,0.051,0.008,NA,50,0.005
ENERO,5,18,0.061,0.055,0.007,NA,56,0.007
ENERO,5,19,0.038,0.055,0.008,NA,72,0.012
ENERO,5,20,0.033,0.053,0.009,NA,72,0.007
ENERO,5,21,0.028,0.05,0.009,NA,64,0.01
ENERO,5,22,0.032,0.046,0.009,NA,59,0.01
ENERO,5,23,0.027,0.042,0.009,NA,56,0.009
ENERO,6,0,0.027,0.038,0.009,NA,53,0.008
ENERO,6,1,0.037,0.035,0.009,NA,47,0.006
ENERO,6,2,0.039,0.033,0.009,NA,37,0.006
ENERO,6,3,0.029,0.032,0.009,NA,37,0.007
ENERO,6,4,0.023,0.03,0.009,NA,35,0.007
ENERO,6,5,0.027,0.03,0.009,NA,33,0.006
ENERO,6,6,0.025,0.029,0.009,NA,33,0.007
ENERO,6,7,0.021,0.029,0.009,NA,33,0.011
ENERO,6,8,0.018,0.027,0.009,NA,40,0.014
ENERO,6,9,0.018,0.025,0.009,NA,54,0.017
ENERO,6,10,0.03,0.024,0.009,NA,61,0.012
ENERO,6,11,0.036,0.025,0.009,NA,56,0.008
ENERO,6,12,0.043,0.027,0.009,NA,56,0.006
ENERO,6,13,0.048,0.03,0.009,NA,NA,0.005
ENERO,6,14,0.051,0.033,0.009,NA,NA,0.004
ENERO,6,15,0.055,0.037,0.009,NA,19,0.004
ENERO,6,16,0.059,0.042,0.01,NA,25,0.004
ENERO,6,17,0.058,0.048,0.01,NA,28,0.004
ENERO,6,18,0.055,0.051,0.01,NA,35,0.006
ENERO,6,19,0.03,0.05,0.009,NA,57,0.02
ENERO,6,20,0.011,0.046,0.008,NA,91,0.03
ENERO,6,21,0.02,0.042,0.009,NA,132,0.03
ENERO,6,22,0.024,0.039,0.009,NA,131,0.017
ENERO,6,23,0.021,0.035,0.009,NA,101,0.016
ENERO,7,0,0.021,0.03,0.009,NA,81,0.011
ENERO,7,1,0.022,0.026,0.009,NA,60,0.009
ENERO,7,2,0.017,0.021,0.009,NA,47,0.008
ENERO,7,3,0.013,0.019,0.009,NA,44,0.011
ENERO,7,4,0.013,0.019,0.009,NA,43,0.011
ENERO,7,5,0.009,0.017,0.009,NA,48,0.013
ENERO,7,6,0.008,0.015,0.009,NA,54,0.015
ENERO,7,7,0.009,0.014,0.009,NA,55,0.015
ENERO,7,8,0.008,0.012,0.009,NA,65,0.014
ENERO,7,9,0.018,0.012,0.009,NA,82,0.013
ENERO,7,10,0.017,0.012,0.009,NA,92,0.014
ENERO,7,11,0.025,0.013,0.009,NA,89,0.012
ENERO,7,12,0.039,0.017,0.008,NA,74,0.008
ENERO,7,13,0.053,0.022,0.008,NA,62,0.006
ENERO,7,14,0.061,0.029,0.009,NA,55,0.005
ENERO,7,15,0.067,0.036,0.009,NA,50,0.005
ENERO,7,16,0.068,0.044,0.009,NA,48,0.005
ENERO,7,17,0.065,0.049,0.008,NA,47,0.004
ENERO,7,18,0.062,0.055,0.008,NA,45,0.005
ENERO,7,19,0.026,0.055,0.008,NA,66,0.024
ENERO,7,20,0.014,0.052,0.008,NA,94,0.032
ENERO,7,21,0.017,0.048,0.007,NA,111,0.031
ENERO,7,22,0.024,0.043,0.007,NA,164,0.026
ENERO,7,23,0.055,0.042,0.007,NA,210,0.024
ENERO,8,0,0.023,0.036,0.007,NA,180,0.022
ENERO,8,1,0.02,0.03,0.007,NA,152,0.022
ENERO,8,2,0.02,0.025,0.007,NA,139,0.019
ENERO,8,3,0.022,0.024,0.007,NA,108,0.016
ENERO,8,4,0.018,0.025,0.007,NA,86,0.016
ENERO,8,5,0.018,0.025,0.007,NA,76,0.016
ENERO,8,6,0.015,0.024,0.007,NA,66,0.014
ENERO,8,7,0.011,0.018,0.007,NA,62,0.017
ENERO,8,8,0.011,0.017,0.007,NA,62,0.016
ENERO,8,9,0.018,0.017,0.007,NA,66,0.014
ENERO,8,10,0.026,0.017,0.007,NA,71,0.011
ENERO,8,11,0.031,0.019,0.007,NA,73,0.011
ENERO,8,12,0.042,0.022,0.007,NA,62,0.007
ENERO,8,13,0.052,0.026,0.007,NA,49,0.005
ENERO,8,14,0.064,0.032,0.007,NA,51,0.005
ENERO,8,15,0.063,0.038,0.006,NA,47,0.005
ENERO,8,16,0.068,0.045,0.006,NA,45,0.004
ENERO,8,17,0.068,0.052,0.006,NA,41,0.004
ENERO,8,18,0.065,0.057,0.006,NA,43,0.006
ENERO,8,19,0.032,0.057,0.006,NA,54,0.026
ENERO,8,20,0.016,0.053,0.006,NA,88,0.032
ENERO,8,21,0.017,0.049,0.009,NA,105,0.03
ENERO,8,22,0.032,0.045,0.011,NA,92,0.01
ENERO,8,23,NA,0.043,0.011,NA,81,0.006
ENERO,9,0,NA,0.038,0.011,NA,62,0.004
ENERO,9,1,0.029,0.032,0.011,NA,51,0.004
ENERO,9,2,0.031,0.026,0.011,NA,44,0.003
ENERO,9,3,0.033,0.026,0.011,NA,38,0.003
ENERO,9,4,0.037,0.03,0.011,NA,35,0.003
ENERO,9,5,0.03,0.032,0.011,NA,32,0.005
ENERO,9,6,0.019,0.03,0.011,NA,33,0.007
ENERO,9,7,NA,0.03,0.011,NA,36,0.011
ENERO,9,8,NA,0.03,0.011,NA,52,0.014
ENERO,9,9,0.014,0.027,0.011,NA,66,0.014
ENERO,9,10,0.023,0.026,0.01,NA,73,0.008
ENERO,9,11,0.032,0.026,0.01,NA,60,0.006
ENERO,9,12,0.038,0.026,0.01,NA,53,0.007
ENERO,9,13,0.052,0.03,0.011,NA,54,0.007
ENERO,9,14,0.062,0.037,0.011,NA,55,0.006
ENERO,9,15,0.069,0.042,0.011,NA,51,0.004
ENERO,9,16,0.072,0.045,0.011,NA,55,0.005
ENERO,9,17,0.069,0.052,0.011,NA,54,0.005
ENERO,9,18,0.063,0.057,0.011,NA,56,0.007
ENERO,9,19,0.032,0.057,0.011,NA,63,0.023
ENERO,9,20,0.016,0.055,0.011,NA,71,0.03
ENERO,9,21,0.044,0.054,0.009,NA,125,0.034
ENERO,9,22,0.024,0.049,0.007,NA,208,0.029
ENERO,9,23,0.01,0.041,0.007,NA,195,0.027
ENERO,10,0,0.028,0.036,0.007,NA,163,0.025
ENERO,10,1,0.047,0.033,0.007,NA,137,0.025
ENERO,10,2,0.011,0.027,0.007,NA,123,0.024
ENERO,10,3,0.011,0.024,0.007,NA,113,0.024
ENERO,10,4,0.012,0.023,0.007,NA,107,0.022
ENERO,10,5,0.011,0.019,0.007,NA,96,0.019
ENERO,10,6,0.012,0.018,0.007,NA,84,0.018
ENERO,10,7,0.007,0.017,0.007,NA,73,0.017
ENERO,10,8,0.01,0.015,0.007,NA,71,0.014
ENERO,10,9,0.01,0.011,0.007,NA,70,0.013
ENERO,10,10,0.019,0.012,0.007,NA,68,0.009
ENERO,10,11,0.033,0.014,0.007,NA,59,0.006
ENERO,10,12,0.042,0.018,0.007,NA,55,0.005
ENERO,10,13,0.054,0.024,0.006,NA,55,0.005
