DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2023,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
SEP,6,6,NA,NA,NA,NA,NA,NA
SEP,6,7,NA,NA,NA,NA,NA,NA
SEP,6,8,NA,NA,NA,NA,NA,NA
SEP,6,9,NA,NA,NA,NA,NA,NA
SEP,6,10,NA,NA,NA,NA,NA,NA
SEP,6,11,NA,NA,NA,NA,NA,NA
SEP,6,12,NA,NA,NA,NA,NA,NA
SEP,6,13,NA,NA,NA,NA,NA,NA
SEP,6,14,NA,NA,NA,NA,NA,NA
SEP,6,15,NA,NA,NA,NA,NA,NA
SEP,6,16,NA,NA,NA,NA,NA,NA
SEP,6,17,NA,NA,NA,NA,NA,NA
SEP,6,18,NA,NA,NA,NA,NA,NA
SEP,6,19,NA,NA,NA,NA,NA,NA
SEP,6,20,NA,NA,NA,NA,NA,NA
SEP,6,21,NA,NA,NA,NA,NA,NA
SEP,6,22,NA,NA,NA,NA,NA,NA
SEP,6,23,NA,NA,NA,NA,NA,NA
SEP,7,0,NA,NA,NA,NA,NA,NA
SEP,7,1,NA,NA,NA,NA,NA,NA
SEP,7,2,NA,NA,NA,NA,NA,NA
SEP,7,3,NA,NA,NA,NA,NA,NA
SEP,7,4,NA,NA,NA,NA,NA,NA
SEP,7,5,NA,NA,NA,NA,NA,NA
SEP,7,6,NA,NA,NA,NA,NA,NA
SEP,7,7,NA,NA,NA,NA,NA,NA
SEP,7,8,NA,NA,NA,NA,NA,NA
SEP,7,9,NA,NA,NA,NA,NA,NA
SEP,7,10,NA,NA,NA,NA,NA,NA
SEP,7,11,0.033,NA,NA,NA,NA,0.005
SEP,7,12,0.045,NA,NA,NA,NA,0.005
SEP,7,13,0.056,NA,NA,NA,NA,0.004
SEP,7,14,0.061,NA,NA,NA,NA,0.004
SEP,7,15,0.06,NA,NA,NA,NA,0.005
SEP,7,16,0.065,NA,NA,0.838,NA,0.004
SEP,7,17,0.065,NA,NA,0.829,NA,0.004
SEP,7,18,0.057,0.055,NA,0.823,17,0.004
SEP,7,19,0.042,0.056,NA,0.789,28,0.005
SEP,7,20,0.036,0.055,NA,0.78,29,0.005
SEP,7,21,0.029,0.052,NA,0.795,29,0.007
SEP,7,22,0.028,0.048,NA,0.81,28,0.006
SEP,7,23,0.025,0.043,NA,0.816,23,0.006
SEP,8,0,0.021,0.038,NA,0.816,22,0.007
SEP,8,1,0.026,0.033,NA,0.813,15,0.004
SEP,8,2,0.021,0.029,NA,0.805,12,0.005
SEP,8,3,0.017,0.026,NA,0.793,17,0.006
SEP,8,4,0.014,0.023,NA,0.785,19,0.007
SEP,8,5,0.008,0.02,NA,0.761,20,0.009
SEP,8,6,0.004,0.017,NA,0.744,26,0.01
SEP,8,7,0.004,0.014,NA,0.77,22,0.01
SEP,8,8,0.007,0.013,NA,0.813,33,0.009
