DATOS HORARIOS 2020_DIF,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),PM2.5 (µg/m³),TEMP (°C),WS (m/s),WD (°),HR (%)
OCT,26,15,0.062,0.0177,0.247,0.007,44,24,29.72,1.89,213.81,14.96
OCT,26,16,0.049,0.0075,0.264,0.008,39,19,30.47,2.37,148.13,11.01
OCT,26,17,0.041,0.0050,0.256,0.009,33,12,30.49,2.74,158.19,6.31
OCT,26,18,0.029,0.0053,0.467,0.019,38,5,28.83,2.62,179.97,6.85
OCT,26,19,0.010,0.0077,0.737,0.036,88,7,25.6,1.39,240.29,12.17
OCT,26,20,0.002,0.0064,1.054,0.039,119,40,22.89,1.14,224.7,16.58
OCT,26,21,0.002,0.0088,1.117,0.036,101,34,21.51,1.24,291.48,19.28
OCT,26,22,0.006,0.0069,1.394,0.033,129,28,20.21,1.22,179.76,22.55
OCT,26,23,0.010,0.0059,0.588,0.028,150,47,19.16,2.06,156.42,28.05
OCT,27,0,0.023,0.0071,0.263,0.019,63,39,19.12,1.71,118.77,32.57
OCT,27,1,0.004,0.0101,0.309,0.029,80,27,18.51,1.44,101.07,28.58
OCT,27,2,0.003,0.0055,0.407,0.027,83,34,16.64,0.98,259.49,34.77
OCT,27,3,0.003,0.0079,0.376,0.028,69,34,16.51,0.94,216.19,34.51
OCT,27,4,0.002,0.0054,0.293,0.025,74,33,15.64,0.93,249.25,39.06
OCT,27,5,0.007,0.0063,0.219,0.024,70,34,14.75,1.3,101.09,43.26
OCT,27,6,0.006,0.0109,0.233,0.022,104,36,14.47,1.42,94.91,36.67
OCT,27,7,0.001,0.0207,0.488,0.024,89,41,14.28,1.7,95.14,36.76
OCT,27,8,0.003,0.0505,0.607,0.023,109,38,14.95,2.14,103.62,36.55
OCT,27,9,0.008,0.0155,0.535,0.019,123,65,17.54,2.34,96.22,38.73
OCT,27,10,0.022,0.0164,0.395,0.015,79,36,21.3,1.56,133.05,44.85
OCT,27,11,0.035,0.0045,0.248,0.009,63,33,23.56,1.78,230.91,45.48
OCT,27,12,0.043,0.0041,NA,0.005,37,22,25.19,1.94,233.69,38.18
OCT,27,13,0.045,0.0075,NA,0.004,31,20,26.53,2.22,231.39,33.02
OCT,27,14,0.049,0.0100,NA,0.004,15,11,28.24,2.19,199.62,26.16
OCT,27,15,0.051,0.0100,NA,0.004,36,16,28.97,3.14,253.46,22.73
OCT,27,16,0.050,0.0099,NA,0.004,39,13,29.15,2.9,276.73,22.36
OCT,27,17,0.046,0.0097,NA,0.005,36,16,29.24,3.22,272.49,21.12
OCT,27,18,0.044,0.0097,0.155,0.006,41,3,28.05,3.34,266.08,23.11
OCT,27,19,0.026,0.0097,0.377,0.018,82,27,25.84,1.91,258.53,28.97
OCT,27,20,0.016,0.0099,0.546,0.025,82,21,23.76,1.7,230.3,33.34
OCT,27,21,0.026,0.0101,0.314,0.013,75,38,22.88,1.86,220.14,36.35
OCT,27,22,0.028,0.0094,0.162,0.007,48,23,21.47,2.97,225.73,45.91
OCT,27,23,0.023,0.0092,0.134,0.007,39,11,20.03,1.59,270.82,53.34
OCT,28,0,0.019,0.0077,0.159,0.010,55,13,19.06,1.49,260.18,55.86
OCT,28,1,0.020,0.0095,NA,0.009,62,25,18.2,1.94,269.14,60.92
OCT,28,2,0.018,0.0088,NA,0.009,45,9,17.49,1.45,270.08,65.93
OCT,28,3,0.018,0.0089,NA,0.009,33,29,16.85,1.19,282.95,68.67
OCT,28,4,0.007,0.0067,NA,0.018,26,20,16.17,1.34,305.89,69.17
OCT,28,5,0.003,0.0056,0.134,0.020,36,22,15.41,1.12,278.79,71.02
OCT,28,6,0.004,0.0036,0.149,0.020,30,24,15.01,0.96,224.91,76.64
OCT,28,7,0.008,0.0045,0.199,0.019,40,21,15.18,0.65,247.68,80.22
OCT,28,8,0.011,0.0052,0.273,0.014,43,22,16.5,0.82,279.22,79.24
OCT,28,9,0.017,0.0039,0.306,0.010,48,16,19.06,1.59,223.59,69.98
OCT,28,10,0.027,NA,0.146,0.005,45,19,21,2.39,276.82,63.74
OCT,28,11,0.036,0.0036,0.152,0.005,43,14,22.82,3.05,280.53,55.93
OCT,28,12,0.040,0.0077,NA,0.004,34,15,24.18,2.72,267.16,45.46
OCT,28,13,0.040,0.0095,NA,0.003,NA,24,25.19,3.1,270.87,40.87
OCT,28,14,0.040,0.0093,NA,0.005,NA,5,26.55,3.23,245.41,37.23
OCT,28,15,0.039,NA,NA,0.004,13,23,27.1,3.65,246.65,34.95
OCT,28,16,0.040,NA,NA,0.004,20,13,27.64,3.08,253.33,30.38
OCT,28,17,0.040,0.0045,NA,0.005,27,12,28.22,2.95,255.85,26.74
OCT,28,18,0.040,0.0051,NA,0.005,34,15,27.27,3.24,263.96,28.69
OCT,28,19,0.024,0.0058,0.343,0.016,62,11,25.25,1.73,258.2,31.68
OCT,28,20,0.016,0.0060,0.304,0.020,68,22,23.68,1.94,256.2,34.35
OCT,28,21,0.017,0.0059,0.351,0.019,63,24,22.72,1.52,187.08,36.31
OCT,28,22,0.014,0.0057,0.437,0.018,75,22,21.69,1.66,191.94,41.2
OCT,28,23,0.018,0.0040,NA,0.009,47,22,19.74,1.56,267.95,50.31
OCT,29,0,0.015,0.0046,0.145,0.010,39,14,19.08,1.35,274.41,53.92
OCT,29,1,0.010,0.0056,NA,0.014,32,16,17.89,1.2,262.21,57.23
OCT,29,2,0.005,0.0050,NA,0.019,33,16,17.43,0.9,217.01,59.34
OCT,29,3,0.006,0.0066,0.139,0.019,38,24,17.08,0.85,254.57,61.06
OCT,29,4,0.004,0.0051,NA,0.017,44,10,15.89,0.78,278.68,68.06
OCT,29,5,0.009,0.0053,NA,0.011,17,26,15.5,0.89,302.26,77.2
OCT,29,6,0.002,0.0060,NA,0.019,34,23,15.02,1.21,138.17,76.66
OCT,29,7,0.002,0.0082,0.368,0.020,70,33,14.24,1.48,103.92,75.67
OCT,29,8,0.002,0.0107,0.728,0.022,66,33,16.09,0.92,129.2,68.83
OCT,29,9,0.005,0.0176,0.553,0.023,132,36,17.55,1.92,90.45,66.72
OCT,29,10,0.018,0.0145,0.323,0.018,120,93,21.18,1.13,190.25,56.77
OCT,29,11,0.034,0.0109,0.214,0.011,75,47,23.72,1.48,194.27,44.29
OCT,29,12,0.060,0.0223,0.339,0.014,51,35,25.27,1.81,160.26,37.8
OCT,29,13,0.062,0.0281,0.289,0.012,58,30,27.1,2.23,141.12,34.75
OCT,29,14,0.052,0.0167,0.21,0.008,41,32,28.92,2.07,150.1,26.71
OCT,29,15,0.046,0.0091,0.227,0.007,34,18,29.47,3.01,111.2,22.65
OCT,29,16,0.050,0.0086,0.229,0.007,32,15,30.04,2.1,135.97,22.52
OCT,29,17,0.049,0.0085,0.258,0.007,36,33,29.96,2.78,127.43,21.87
OCT,29,18,0.036,0.0087,0.258,0.011,60,18,27.97,4.01,42.45,24.55
OCT,29,19,0.033,0.0089,0.299,0.011,58,12,26.41,4.14,40.05,26.84
OCT,29,20,0.027,0.0090,0.278,0.013,61,17,24.69,4.33,64.25,34.1
OCT,29,21,0.029,0.0161,0.228,0.009,63,22,23.07,4.53,51.55,40.4
OCT,29,22,0.027,0.0115,0.208,0.009,60,18,21.26,3.99,83.18,46.16
OCT,29,23,0.027,0.0082,NA,0.006,54,17,18.64,5.51,92.16,56.01
OCT,30,0,0.027,0.0062,NA,0.005,53,15,16.73,5.67,86.05,63.76
OCT,30,1,0.028,0.0073,NA,0.004,46,23,15.62,5.18,82.45,68.3
OCT,30,2,0.027,0.0046,NA,0.004,24,21,15.34,4.59,81.08,67.75
OCT,30,3,0.023,0.0042,NA,0.006,14,5,15.52,4.01,81.31,67.41
OCT,30,4,0.025,0.0046,NA,0.004,13,6,15.34,4.23,75.62,67.2
OCT,30,5,0.022,0.0047,NA,0.007,11,7,14.63,4.23,72.55,67.63
OCT,30,6,0.019,0.0075,NA,0.010,14,7,14.54,3.04,66.59,66.87
OCT,30,7,0.017,0.0141,NA,0.013,17,8,14.53,2.38,73.88,67.03
OCT,30,8,0.018,0.0172,0.262,0.014,25,10,15.75,2.73,67.3,61.05
OCT,30,9,0.026,0.0077,0.198,0.008,35,11,16.88,4.68,82.16,56.75
OCT,30,10,0.030,0.0058,0.168,0.006,51,11,17.98,5.94,80.41,52.39
OCT,30,11,0.032,0.0072,0.2,0.008,50,16,19.57,4.9,70.72,46.32
OCT,30,12,0.036,0.0119,0.221,0.009,46,6,21.25,4.89,64.98,40.54
OCT,30,13,0.039,0.0137,0.223,0.009,35,9,23.27,4.19,72.75,35.82
OCT,30,14,0.040,0.0110,0.199,0.008,50,12,24.84,4.44,66.24,32.19
OCT,30,15,0.040,0.0138,0.21,0.009,49,18,25.8,4.16,69.53,29.91
OCT,30,16,0.041,0.0082,0.229,0.009,57,21,27.07,3.29,73.13,26.76
OCT,30,17,0.040,0.0068,0.272,0.010,48,15,27.29,3.12,95.22,25.1
OCT,30,18,0.033,0.0073,0.206,0.009,71,16,25.8,4.38,49.22,27.01
OCT,30,19,0.028,0.0074,0.216,0.009,49,53,23.49,4.65,45.68,30.27
OCT,30,20,0.023,0.0082,0.237,0.012,52,43,21.83,3.66,54.08,32.55
OCT,30,21,0.021,0.0098,NA,0.012,64,32,20.09,3,67.32,33.21
OCT,30,22,0.017,0.0093,0.233,0.013,59,26,18.2,1.99,105.36,37.92
OCT,30,23,0.016,0.0121,NA,0.013,53,26,16.96,2.71,68.47,39.73
OCT,31,0,0.018,0.0315,NA,0.011,45,19,15.93,2.11,83.11,41.28
OCT,31,1,0.021,0.0200,NA,0.008,37,24,15.02,2.37,76.49,42.35
OCT,31,2,0.025,0.0066,NA,0.006,21,19,14.38,3.24,85.68,41.71
OCT,31,3,0.025,0.0086,NA,0.006,16,17,13.72,3.31,84.6,42.76
OCT,31,4,0.025,0.0071,NA,0.006,8,9,13.03,3.45,88.02,43.26
OCT,31,5,0.022,0.0075,NA,0.008,15,9,12.52,2.99,98.08,44.95
OCT,31,6,0.020,0.0371,NA,0.009,38,8,11.85,2.84,90.64,49.16
OCT,31,7,0.014,0.0351,NA,0.013,60,30,11.74,2.42,100.54,50.5
OCT,31,8,0.012,0.0114,0.192,0.015,58,25,12.36,2.72,92.77,52.15
OCT,31,9,0.016,0.0131,NA,0.015,67,21,14.9,2.19,75.65,43.11
OCT,31,10,0.024,0.0147,0.271,0.012,71,28,18.1,2.29,101.41,34.24
OCT,31,11,0.031,0.0110,0.317,0.009,46,17,20.6,3.06,97.77,28.33
OCT,31,12,0.036,0.0136,NA,0.009,38,13,22.56,2.37,95.56,29.52
OCT,31,13,0.044,0.0117,NA,0.007,56,13,24.8,1.74,159.57,31.01
OCT,31,14,0.048,0.0127,NA,0.006,110,18,26.35,1.64,132.17,31.25
OCT,31,15,0.047,0.0149,0.34,0.008,65,22,27.83,2.04,156.04,28.92
OCT,31,16,0.048,0.0152,NA,0.007,37,14,28.34,1.82,132.29,26.74
OCT,31,17,0.050,0.0179,NA,0.007,50,23,28.15,1.97,236,26.05
OCT,31,18,0.052,0.0168,0.256,0.008,48,26,27.6,1.54,260.63,26.96
OCT,31,19,0.031,0.0047,0.546,0.021,63,36,25.39,1.23,265.73,31.32
OCT,31,20,0.010,NA,0.945,0.033,105,33,24.18,2.32,153.01,32.14
OCT,31,21,0.018,NA,0.203,0.010,72,33,23.24,3.73,70.63,29.68
OCT,31,22,0.016,0.0140,0.221,0.011,47,15,21.78,3.2,71.23,32.54
OCT,31,23,0.021,0.0067,NA,0.007,46,14,20.04,4.29,82.95,33.05
