DATOS HORARIOS 2022_NATIVITAS,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
DICIEMBRE,5,17,0.058,0.006,0.005,NA,46,26.09,2.30,256.00,22.11,292.77
DICIEMBRE,5,18,0.038,0.005,0.010,NA,41,24.61,1.72,280.89,20.97,91.78
DICIEMBRE,5,19,0.009,0.006,0.024,NA,69,20.31,0.95,265.74,20.35,3.36
DICIEMBRE,5,20,0.011,0.007,0.023,NA,192,17.81,0.96,252.93,21.71,16.14
DICIEMBRE,5,21,0.060,0.010,0.020,NA,252,16.42,0.96,208.14,28.52,7.13
DICIEMBRE,5,22,0.027,0.007,0.020,NA,294,15.00,1.01,136.24,40.47,14.46
DICIEMBRE,5,23,0.008,0.007,0.020,NA,164,14.05,1.45,200.57,44.24,7.38
DICIEMBRE,6,0,0.025,0.007,0.019,NA,128,13.05,1.14,100.58,50.44,7.87
DICIEMBRE,6,1,0.014,0.008,0.019,NA,160,11.98,1.52,124.24,51.89,10.43
DICIEMBRE,6,2,0.008,0.007,0.019,NA,115,11.44,1.72,124.95,52.33,5.81
DICIEMBRE,6,3,0.004,0.006,0.018,NA,92,10.30,1.24,125.05,54.58,2.79
DICIEMBRE,6,4,0.006,0.006,0.018,NA,77,10.45,1.95,112.00,54.74,2.90
DICIEMBRE,6,5,0.006,0.006,0.017,NA,77,9.13,1.69,134.71,58.00,2.82
DICIEMBRE,6,6,0.005,0.006,0.017,NA,77,8.59,1.40,123.19,61.12,4.30
DICIEMBRE,6,7,0.007,0.006,0.016,NA,85,8.51,1.49,106.07,62.54,2.94
DICIEMBRE,6,8,0.007,0.006,0.015,NA,81,8.60,1.66,118.49,62.85,52.85
DICIEMBRE,6,9,0.009,0.006,0.014,NA,78,13.41,1.68,125.78,54.94,246.69
DICIEMBRE,6,10,0.022,0.006,0.012,NA,80,16.99,2.54,96.74,48.04,444.47
DICIEMBRE,6,11,0.039,0.006,0.008,NA,71,21.05,1.64,109.36,39.21,613.82
DICIEMBRE,6,12,0.054,0.006,0.007,NA,65,23.87,1.90,233.75,33.86,728.52
DICIEMBRE,6,13,0.061,0.005,0.007,NA,64,25.82,1.98,270.92,28.17,700.60
DICIEMBRE,6,14,0.068,0.023,0.006,NA,46,27.16,1.88,216.41,22.99,617.69
DICIEMBRE,6,15,0.074,0.041,0.005,NA,50,27.63,2.16,230.18,19.95,645.03
DICIEMBRE,6,16,0.071,0.027,0.004,NA,45,27.99,2.20,233.95,16.27,495.51
DICIEMBRE,6,17,0.067,0.016,0.004,NA,49,27.37,2.14,180.87,14.79,291.85
DICIEMBRE,6,18,0.057,0.013,0.008,NA,61,25.32,1.35,204.63,16.23,89.04
DICIEMBRE,6,19,0.017,0.009,0.028,NA,106,21.30,0.95,219.35,18.68,13.91
DICIEMBRE,6,20,0.011,0.009,0.030,NA,201,19.75,1.01,233.55,24.60,2.35
DICIEMBRE,6,21,0.011,0.014,0.030,NA,203,18.06,0.98,317.48,29.52,2.40
DICIEMBRE,6,22,0.012,0.010,0.025,NA,183,16.15,0.96,194.60,35.07,2.53
DICIEMBRE,6,23,0.015,0.008,0.024,NA,247,14.45,1.81,128.48,41.47,6.29
DICIEMBRE,7,0,0.016,0.008,0.019,NA,162,14.21,1.97,159.63,45.17,2.58
DICIEMBRE,7,1,0.017,0.007,0.015,NA,114,13.42,1.31,114.98,52.79,5.05
DICIEMBRE,7,2,0.016,0.006,0.021,NA,114,12.43,1.00,122.08,50.60,2.54
DICIEMBRE,7,3,0.013,0.008,0.019,NA,112,11.76,1.14,148.05,51.73,4.98
DICIEMBRE,7,4,0.008,0.006,0.018,NA,87,11.28,0.97,175.48,52.68,2.64
DICIEMBRE,7,5,0.020,0.009,0.016,NA,90,10.46,0.97,139.69,60.21,2.72
DICIEMBRE,7,6,0.006,0.007,0.014,NA,90,10.26,1.10,74.65,58.33,2.71
DICIEMBRE,7,7,0.004,0.006,0.013,NA,60,9.31,1.39,112.49,58.63,2.95
DICIEMBRE,7,8,0.004,0.006,0.013,NA,82,9.20,1.63,133.81,58.54,49.08
DICIEMBRE,7,9,0.012,0.006,0.014,NA,81,13.14,2.28,117.87,51.08,236.50
DICIEMBRE,7,10,0.019,0.006,0.013,NA,90,17.52,2.42,117.81,46.61,433.02
DICIEMBRE,7,11,0.037,0.008,0.009,NA,65,21.13,1.71,146.81,46.12,598.30
DICIEMBRE,7,12,0.054,0.016,0.007,NA,60,23.71,1.61,161.47,40.43,709.91
DICIEMBRE,7,13,0.066,0.039,0.009,NA,60,25.30,1.97,124.66,32.14,691.70
DICIEMBRE,7,14,0.079,0.031,0.006,NA,77,26.67,1.97,197.48,27.40,599.00
DICIEMBRE,7,15,0.064,0.010,0.004,NA,64,27.54,2.86,115.24,19.88,657.28
