DATOS HORARIOS 2022_NATIVITAS,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
MAYO,4,18,0.076,0.003,0.009,1.27,68,32.052367,2.955093,282.992833,12.404167,321.9795
MAYO,4,19,0.072,0.003,0.010,1.28,48,30.1597,2.860608,273.421,13.5441,85.979567
MAYO,4,20,0.050,0.004,0.022,1.59,61,27.997983,2.492688,259.290833,15.566667,15.401868
MAYO,4,21,0.047,0.003,0.012,1.36,80,26.511517,3.013673,248.876333,18.2656,25.484688
MAYO,4,22,0.035,0.003,0.017,1.46,77,24.276667,1.986995,252.632333,21.545417,27.829198
MAYO,4,23,0.043,0.004,0.013,1.33,67,22.879983,1.46608,173.106617,23.350017,10.809812
MAYO,5,0,0.035,0.005,0.016,1.36,65,21.587633,1.54599,134.602917,26.05975,13.069448
MAYO,5,1,0.047,0.005,0.015,1.36,75,20.0683,0.994207,199.854483,28.949917,16.179977
MAYO,5,2,0.032,0.004,0.012,1.33,73,19.48575,1.11062,231.712667,29.271683,16.7063
MAYO,5,3,0.035,0.004,0.008,1.27,60,19.038033,1.83285,269.2385,31.8159,7.103785
MAYO,5,4,0.023,0.004,0.018,1.27,56,18.0961,2.086133,281.891833,33.5804,11.149577
MAYO,5,5,0.015,0.005,0.027,1.33,58,16.908317,1.750408,296.430463,37.0266,8.42526
MAYO,5,6,0.007,0.005,0.032,1.51,78,16.635067,1.930535,290.607,40.594033,13.018585
MAYO,5,7,0.004,0.005,0.033,1.74,90,16.691467,1.61392,248.202167,43.252083,34.310112
MAYO,5,8,0.017,0.004,0.023,1.56,99,20.3135,1.985062,267.300833,40.8022,215.200667
MAYO,5,9,0.034,0.004,0.014,1.37,77,24.021267,2.02979,252.332,33.281167,454.823167
MAYO,5,10,0.048,0.004,0.008,1.27,56,27.380933,1.834872,246.646667,25.06125,686.0535
MAYO,5,11,0.055,0.004,0.007,1.24,49,29.198667,2.426187,245.724683,21.831183,879.053167
MAYO,5,12,0.062,0.004,0.006,1.17,41,30.260733,2.724823,255.4362,20.691767,1002.510167
MAYO,5,13,0.062,0.003,0.005,1.16,39,31.331767,3.262375,261.830167,17.46085,1055.813333
MAYO,5,14,0.068,0.004,0.005,1.16,30,32.3566,2.992277,262.123667,15.8174,1029.500667
MAYO,5,15,0.074,0.003,0.006,1.22,38,32.948683,3.383102,252.423417,14.50225,948.8485
MAYO,5,16,0.079,0.004,0.005,1.17,44,33.68905,2.43065,216.734833,13.8942,776.0515
MAYO,5,17,0.081,0.003,0.006,1.18,45,32.960417,3.039083,224.1155,13.856867,566.944333
MAYO,5,18,0.078,0.003,0.007,1.24,41,32.531917,2.258462,270.2955,13.964333,321.965
MAYO,5,19,0.068,0.003,0.012,1.34,52,30.81295,2.491452,292.130167,14.28425,91.85535
