DATOS HORARIOS 2016_ NATIVITAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,RADSOL
OCT,7,8,0.99,NA,0.252,2.28,27.84,2.79,114.28,17.35,84.73,623.8,149.79
OCT,7,9,0.99,NA,0.172,2.79,2.71,2.79,108.15,20.99,70.95,624.12,355.58
OCT,7,10,0.99,NA,0.152,3.37,17.18,4.58,90.54,21.99,61.61,624.35,518.06
OCT,7,11,0.99,NA,0.152,2.52,12.06,4.14,94.96,24.27,52.02,624.22,792.38
OCT,7,12,0.99,NA,0.102,1.73,24.59,3.91,94.09,25.12,47.75,623.81,651.55
OCT,7,13,0.99,NA,0.012,2.03,33.89,4.36,81.29,26.34,43.33,623.38,691.41
OCT,7,14,10.02,NA,0.082,3.02,29.14,4.4,73.43,27.71,38.66,622.67,703.66
OCT,7,15,18.94,16.92,0.012,4.39,28.15,4.38,75.4,28.74,33.95,621.93,638.96
OCT,7,16,15.6,54.95,0.112,6.35,61.63,4.53,78.97,27.89,35.81,621.63,465.52
OCT,7,17,19.06,39.19,0.142,3.91,53,4.62,77.04,27.76,33.01,621.43,394.38
OCT,7,18,19.5,16.02,0.112,3.15,42.76,4.98,67.09,26.48,33.81,621.38,168.34
OCT,7,19,17.23,11.91,0.052,3.48,49.96,4.59,64.03,23.76,41.32,621.86,8.04
OCT,7,20,14.66,56.67,0.132,4.74,46.24,4.76,59.44,22.43,46.6,622.47,7.62
OCT,7,21,11.61,14.96,0.132,4.56,44.24,4.05,58.57,21.09,53.18,623.31,23.33
OCT,7,22,11,20.08,0.052,4.12,40.17,4.22,59.8,20.2,57.74,623.62,6.13
OCT,7,23,12.46,5.69,0.052,1.68,32.5,4.01,59.83,19.69,59.85,623.96,11.15
OCT,8,0,10.66,1,0.242,1.54,46.66,1.97,112.2,18.53,65.15,624.54,8.77
OCT,8,1,9.09,0.87,0.172,2.39,50.33,2.76,106.42,17.74,68.57,624.67,17.98
OCT,8,2,7.07,0.61,0.172,3.62,32.43,2.94,116.05,16.78,73.11,624.53,35.84
OCT,8,3,8.93,0.2,0.102,0.4,35.21,3.42,91.47,16.19,76.72,624.36,2.12
OCT,8,4,11.39,0.39,0.072,0.57,24.34,3.32,76.22,16.49,75.34,624.14,5.67
OCT,8,5,10.05,0.37,0.142,0.41,25.38,3.51,76.07,16.28,76.57,624.38,5.17
OCT,8,6,7.8,0.2,0.202,3.13,39.56,3.12,85.97,16.08,78.57,624.78,6.91
OCT,8,7,2.6,0.2,0.182,7.54,47.19,3,99.67,15.58,82.58,625.1,16.13
OCT,8,8,0.99,1.01,0.082,7.22,24.32,2.79,109.5,17.45,78.31,625.35,158
OCT,8,9,0.99,0.37,0.162,2.07,2.82,4.66,82.27,20.76,63.3,625.8,395.98
OCT,8,10,5.42,NA,0.202,1.06,3.6,5.02,76.64,22.58,53.93,625.92,492.41
OCT,8,11,6.68,NA,0.162,1.85,39.42,4.85,74.26,22.4,54.62,625.64,386.08
OCT,8,12,9.26,NA,0.192,1.63,13.66,5.24,72.43,24.4,48.15,625.33,656.12
OCT,8,13,10.73,NA,0.122,1.3,20.26,5.62,84.62,26.15,40.6,624.64,702.72
OCT,8,14,8.47,NA,0.052,2.77,38.76,4.41,79.98,25.38,45.39,624.17,505.59
OCT,8,15,7.93,26.71,0.582,2.3,35.23,4.15,69.92,26.5,44.12,623.61,659.31
OCT,8,16,7.82,20.91,0.112,4.12,31.7,4.25,72.69,26.66,42.52,623.27,380.01
OCT,8,17,6.87,7.6,0.152,2.37,46.57,5.27,64.42,24.56,50.37,623.42,235
OCT,8,18,6.23,30.51,0.082,2.45,70.24,5.62,72.56,21.61,61.9,623.77,76.35
OCT,8,19,5.12,65.84,0.012,3.68,44.63,5.46,61.04,20.44,64.73,624.32,6.73
OCT,8,20,6.94,15.22,0.102,3.04,18.9,4.48,63.49,19.24,65.31,624.86,2.04
OCT,8,21,2.75,4.56,0.012,6.64,24.31,3.24,74.04,18.35,67.61,625.38,2.18
OCT,8,22,0.99,1.47,0.272,5.39,35.1,3.28,88.67,17.35,72.58,625.92,2.1
OCT,8,23,0.99,0.65,0.092,2.92,19.99,3.74,85.48,17.18,73.8,626.14,9.66
OCT,9,0,1.22,0.4,0.042,2.03,14.42,3.3,89.24,17.69,72.77,626.11,2.04
OCT,9,1,0.99,0.9,0.122,2.1,20.32,3.26,74.45,17.84,74.05,626,4.88
OCT,9,2,1.82,1.06,0.042,0.54,25.69,3.82,79.87,18.01,77.56,625.77,12.18
OCT,9,3,0.99,0.77,0.052,0.59,30.34,3.49,90.66,17.61,81.74,625.54,15.73
OCT,9,4,1.49,0.62,0.132,NA,21.07,3.41,88.91,17.51,83.24,625.36,24.66
OCT,9,5,2.34,0.59,0.082,0.08,18.74,2.57,85.16,17.15,85.11,625.46,6.16
OCT,9,6,0.99,0.36,0.282,0.6,13.7,2.68,85.78,17.08,85.29,625.82,18.32
OCT,9,7,0.99,1.48,0.132,2.77,2.48,2.4,81.61,17.08,83.26,626.07,11.35
OCT,9,8,6.78,11.34,0.252,2.48,3.76,3.82,61.26,17.75,77.44,626.42,86.64
OCT,9,9,16.02,16.05,0.152,1.04,2.35,5.32,58.23,20.38,64.17,626.88,338.77
OCT,9,10,17.89,12.38,0.102,0.84,9.26,5.36,59.46,21.77,57.66,627.05,609.33
OCT,9,11,20.32,4.33,0.102,0.08,15.5,6.49,59.05,22.75,52.38,626.88,721.17
OCT,9,12,20.64,10.94,0.062,0.37,24.03,5.53,64.45,23.14,50.97,626.69,609.06
OCT,9,13,22.01,13.82,0.152,0.08,23.58,5.55,71.98,23.42,49.16,626.27,662.4
OCT,9,14,21.91,17.44,0.212,0.73,10.7,5.3,61.26,24.51,46.22,625.7,907.41
OCT,9,15,21.53,12.49,0.232,0.98,18.06,5.36,63.07,23.96,46.54,625.41,482.87
OCT,9,16,19.7,23.8,0.072,2.26,37.15,4.4,77.56,22.8,49.7,625.34,205.57
OCT,9,17,19.19,22.93,0.062,1.69,28.88,5.16,63.3,21.56,53.95,625.38,145.03
OCT,9,18,18.31,7.54,0.142,2.32,21.84,4.45,60.83,20.89,55.07,625.61,50.47
OCT,9,19,17.06,6.99,0.152,2.44,30.37,4.09,65.11,19.45,60.02,626.13,22.13
OCT,9,20,18.6,11.35,0.022,1.42,33.69,4.78,60.85,18.18,65.67,626.54,6.79
OCT,9,21,17.21,5.08,0.102,2.42,18.4,3.55,62.15,18.2,64.97,626.97,20.3
OCT,9,22,16.82,8.66,0.202,1.71,28.2,3.97,60.26,17.54,67.28,627.38,12.78
OCT,9,23,17.49,4.76,0.222,0.29,21.56,3.83,60.58,17.12,69.11,627.5,26.43
OCT,10,0,12.31,2.35,0.102,3.06,26,2.83,89.3,16.74,71.62,627.39,5.03
OCT,10,1,14.79,0.99,0.242,0.35,27.97,3.34,91.61,16.79,72.9,627.27,12.79
OCT,10,2,15.08,0.2,0.052,NA,19.95,3.71,72.15,16.67,73.64,627.19,10.64
OCT,10,3,15.62,0.37,0.022,NA,14.03,4.42,66.3,16.23,75.81,626.84,3.42
OCT,10,4,16.01,1.04,0.162,NA,13.22,4.21,65.19,15.42,78.9,626.53,8.31
OCT,10,5,14.03,1.31,0.262,2.25,8.75,3.31,84.23,14.66,77.62,626.46,8.23
OCT,10,6,6.62,0.88,0.142,6.77,22.37,2.78,98.38,13.66,79.07,626.53,9.13
OCT,10,7,6.75,0.69,0.162,12.72,37.05,2.68,79.45,13.08,80.73,626.71,11.75
OCT,10,8,9.62,0.95,0.122,8.71,18.31,2.52,98.2,15.81,75.66,627.17,162.7
OCT,10,9,16.69,0.69,0.012,3.22,11.72,3.27,100.72,18.84,65.98,627.44,409.62
OCT,10,10,24.6,0.33,0.012,1.24,12.35,3.68,NA,17.25,54.52,627.6,587.99
OCT,10,11,35.9,NA,0.872,1.12,15.44,4.3,91.55,22.67,44.79,627.55,820.88
OCT,10,12,40.96,NA,0.302,2.92,26.39,3.99,78.07,23.92,41.52,627.07,865.46
OCT,10,13,43.14,113.31,0.322,2.33,31.64,4.26,73.19,24.76,40.58,626.18,788.84
OCT,10,14,44.94,345.23,0.242,1.11,19.4,4.23,75.86,25.92,37.19,625.22,914.09
OCT,10,15,41.3,129.71,0.602,0.38,29.29,4.82,71.73,26.7,35.26,624.7,811.5
OCT,10,16,40.59,2.94,0.032,1.26,23.59,4.87,75.51,26.84,35.23,624.4,518.36
OCT,10,17,33.9,3.77,0.012,3.22,43.09,4.76,64.95,25.93,38.49,624.3,283.7
OCT,10,18,24.56,80.73,0.102,9.32,143.39,4.29,79.54,24.48,44.65,624.52,126.24
OCT,10,19,22.64,99.54,0.192,7.42,314.48,5.16,59.62,21.73,53.14,624.88,6.21
OCT,10,20,26.15,31.75,0.032,1.72,87.37,5.34,66.31,20.14,57.62,625.61,3.82
OCT,10,21,26.09,8.42,0.122,1.09,15.83,4.72,76.36,19.1,60.68,626.29,9.23
OCT,10,22,26.33,11.99,0.172,0.97,8.83,4.85,66.12,18.27,63.09,626.81,14.09
OCT,10,23,23.91,12.8,0.112,2.11,20.09,4.08,59.7,17.52,65.88,627.05,18.6
OCT,11,0,20.27,12.24,0.102,2.42,20.36,2.66,78.96,16.64,69.26,627.08,2.19
OCT,11,1,18.19,NA,0.052,3.11,25.22,3.42,86.55,15.8,74.51,627.09,15.76
OCT,11,2,21.36,NA,0.212,1.32,17.63,3.89,61.01,16.08,74.25,626.85,22.35
OCT,11,3,24.72,2.65,0.222,0.08,9.71,2.45,59.84,16.08,73.11,626.62,21.14
OCT,11,4,12.28,1.66,0.102,10.5,19.16,1.97,125.58,14.78,77.99,626.37,21.26
OCT,11,5,3.16,2.47,0.352,12.85,34.38,2.19,127.11,13.36,84.14,626.42,17.19
OCT,11,6,2.02,1.25,0.082,11.99,31.42,2.69,130.83,12.49,87.07,626.61,8.3
OCT,11,7,3.51,0.45,0.192,11.65,32.77,2.87,115.39,12.59,89.28,626.94,15.76
OCT,11,8,8.68,0.2,0.142,10.3,28.64,2.78,99.41,15.87,81.06,627.21,155.23
OCT,11,9,20.09,NA,0.242,4.16,13.78,4.36,77.53,19.15,67.87,627.47,385.82
OCT,11,10,28.54,NA,0.302,0.77,18.71,5.19,73.46,21.07,56.91,627.56,591.02
OCT,11,11,30.43,2.08,0.242,1.19,38.18,4.72,81.5,22.99,50.46,627.25,773.84
OCT,11,12,33.41,2.68,0.342,1.25,5.25,4.21,76.16,24.99,44.67,626.67,889.25
OCT,11,13,34.49,2.63,0.162,1.2,18.74,3.98,82.29,25.7,41.31,625.83,798.61
OCT,11,14,40.53,189.28,0.262,0.82,13.36,4.11,80.48,26.99,36.88,625.02,938.52
OCT,11,15,43.74,126.97,0.672,0.2,29.29,4.82,71.73,26.7,35.26,624.7,811.5
OCT,11,16,43.03,0.2,0.102,1.08,23.59,4.87,75.51,26.84,35.23,624.4,518.36
OCT,11,17,36.34,0.2,0.082,3.04,43.09,4.76,64.95,25.93,38.49,624.3,283.7
OCT,11,18,27,76.13,0.172,9.14,143.39,4.29,79.54,24.48,44.65,624.52,126.24
OCT,11,19,25.08,94.94,0.262,7.24,314.48,5.16,59.62,21.73,53.14,624.88,6.21
OCT,11,20,28.59,27.15,0.102,1.54,87.37,5.34,66.31,20.14,57.62,625.61,3.82
OCT,11,21,28.53,3.82,0.192,0.91,15.83,4.72,76.36,19.1,60.68,626.29,9.23
OCT,11,22,28.77,7.39,0.242,0.79,8.83,4.85,66.12,18.27,63.09,626.81,14.09
