DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),WS (m/s),WD (°),TEMP (°C)
SEP,9,6,0.0058,0.0041,2.889,NA,39,2.06,116.26,16.16
SEP,9,7,0.0036,0.005,2.96,NA,87,2.39,91.21,16.21
SEP,9,8,0.008,0.0049,2.908,NA,51,2.01,136.82,18.13
SEP,9,9,0.0155,0.0056,2.882,NA,39,2.23,121.29,20.23
SEP,9,10,0.0246,0.0062,2.764,NA,38,1.94,152.53,22.82
SEP,9,11,0.0312,0.0046,2.764,NA,22,1.83,196.64,25.66
SEP,9,12,0.0398,0.0048,2.826,NA,22,1.91,229.88,26.45
SEP,9,13,0.0478,0.0056,2.823,NA,24,2.28,226.73,27.93
SEP,9,14,0.0523,0.0047,2.762,NA,22,2.21,223.92,28.12
SEP,9,15,0.0496,0.0038,2.739,NA,18,2.48,226.33,28.32
SEP,9,16,0.0456,0.0034,2.733,NA,18,2.58,220.13,29.27
SEP,9,17,0.0462,0.0032,2.737,NA,18,2.2,234.55,28.6
SEP,9,18,0.0442,0.0056,2.779,NA,24,3.17,201.51,26.92
SEP,9,19,0.0359,0.0257,3.013,NA,38,3.13,200.97,18.83
SEP,9,20,0.0284,0.0279,2.866,NA,58,1.9,150.36,19.29
SEP,9,21,0.0196,0.0182,2.917,NA,34,2.61,196.55,19.3
SEP,9,22,0.0276,0.0063,2.75,NA,23,3.98,201.9,17.41
SEP,9,23,0.0373,0.0043,2.697,NA,16,2.13,138.87,14.19
SEP,10,0,0.0296,0.0073,2.701,NA,12,1.22,125.32,14.94
SEP,10,1,0.0335,0.0065,2.69,NA,10,1.27,158.5,14.96
SEP,10,2,0.0265,0.0041,2.673,NA,11,1.77,302.35,14.86
SEP,10,3,0.0212,0.0029,2.722,NA,13,1.99,291.05,14.89
SEP,10,4,0.0178,0.0027,2.743,NA,17,1.7,283.09,14.88
SEP,10,5,0.0109,0.0024,2.758,NA,29,1.36,207.41,14.71
SEP,10,6,0.0061,0.0023,2.849,NA,28,1.12,195.95,14.98
SEP,10,7,0.0022,0.0026,3.016,NA,34,1.11,134,15.19
SEP,10,8,0.0036,0.0034,2.932,NA,32,1.33,146.85,15.48
SEP,10,9,0.005,0.0037,3.032,NA,35,2.28,116.91,16.4
SEP,10,10,0.0148,0.0046,2.824,NA,22,2.92,107.4,19.21
SEP,10,11,0.0198,0.016,2.649,NA,22,3.82,76.01,20.93
SEP,10,12,0.0256,0.0201,2.736,NA,23,4.38,88.16,23.1
SEP,10,13,0.0296,0.0145,2.745,NA,19,5.13,72.23,24.12
SEP,10,14,0.0295,0.0149,2.777,NA,26,4.98,63.79,24.64
SEP,10,15,0.0272,0.015,2.766,NA,27,4.62,81.03,24.58
SEP,10,16,0.0294,0.0149,2.736,NA,20,3.98,84.21,25.84
SEP,10,17,0.0302,0.0113,2.787,NA,21,3.79,83.74,25.89
SEP,10,18,0.0287,0.0098,2.775,NA,21,4.74,71.17,24.63
SEP,10,19,0.0254,0.0097,2.8,NA,21,4.04,59.36,22.46
SEP,10,20,0.0199,0.0137,2.779,NA,23,4.07,58.23,20.65
SEP,10,21,0.0152,0.0127,2.79,NA,19,3.04,81.9,19.49
SEP,10,22,0.015,0.0114,2.716,NA,19,4.12,69.45,18.73
SEP,10,23,0.0126,0.012,2.694,NA,19,3.06,84.89,17.87
SEP,11,0,0.0129,0.0104,2.662,NA,19,2.98,112.96,17.42
SEP,11,1,0.0116,0.0146,2.642,NA,23,3.62,65.92,17.35
SEP,11,2,0.0123,0.0088,2.634,NA,13,2.39,76.86,16.92
SEP,11,3,0.0123,0.0095,2.641,NA,16,2.57,117.98,16.29
SEP,11,4,0.0107,0.0124,2.656,NA,18,1.82,162.74,15.99
SEP,11,5,0.0105,0.0125,2.69,NA,25,2.01,92.61,15.99
SEP,11,6,0.0073,0.0064,2.822,NA,17,2.22,102.71,15.49
SEP,11,7,0.0046,0.0053,2.884,NA,27,2.29,94.05,15.58
SEP,11,8,0.0037,0.0044,2.933,NA,28,2.69,107.05,16.15
SEP,11,9,0.0087,0.0225,2.849,NA,37,3.62,79.83,18.14
SEP,11,10,0.0139,0.0299,2.821,NA,44,3.92,73.08,19.97
SEP,11,11,0.0223,0.0137,2.811,NA,29,3.78,89.38,20.79
SEP,11,12,0.0318,0.0053,2.78,NA,22,3.71,104.8,21.94
SEP,11,13,0.0354,0.0047,2.839,NA,21,3.93,89.86,22.86
SEP,11,14,0.0375,0.012,2.762,NA,18,4.14,83.53,24.57
