DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),WS (m/s),WD (°),TEMP (°C)
SEP,7,22,0.0253,0.0024,2.74,NA,23,2.88,238.95,20.24
SEP,7,23,#¡VALOR!,#¡VALOR!,NA,NA,NA,NA,NA,NA
SEP,8,0,0.0149,0.0054,2.738,NA,33,2.73,87.95,16.64
SEP,8,1,0.017,0.0058,2.69,NA,17,2.52,259.21,16.08
SEP,8,2,0.0174,0.0033,2.67,NA,7,2.54,266.83,15.87
SEP,8,3,0.0184,0.0024,2.645,NA,10,1.82,175.94,15.56
SEP,8,4,0.013,0.0024,2.672,NA,13,1.58,185.65,15.76
SEP,8,5,0.0127,0.0024,2.673,NA,12,1.52,246.94,15.54
SEP,8,6,0.0082,0.0023,2.836,NA,15,1.49,268.35,15.66
SEP,8,7,0.0016,0.0029,3.107,NA,21,1.5,186.22,15.67
SEP,8,8,0.0021,0.0026,3.038,NA,27,1.43,178.33,16.29
SEP,8,9,0.0087,0.0026,2.907,NA,38,1.54,130.88,17.23
SEP,8,10,0.0172,0.0099,2.843,NA,37,1.57,185.04,20.58
SEP,8,11,0.0224,0.0302,2.899,NA,39,1.55,248.55,21.18
SEP,8,12,0.0304,0.0866,2.758,NA,52,1.82,155.23,24.43
SEP,8,13,0.0422,0.0111,2.746,NA,34,2.24,168.54,25.61
SEP,8,14,0.0443,0.0056,2.704,NA,23,1.9,151.31,26.72
SEP,8,15,0.0438,0.0035,2.707,NA,17,2.09,133.14,27.51
SEP,8,16,0.0467,0.003,2.739,NA,20,1.96,243.35,27.38
SEP,8,17,0.047,0.0026,2.692,NA,13,1.77,212.55,27.64
SEP,8,18,0.041,0.0024,2.758,NA,15,3.18,207.88,25.67
SEP,8,19,0.032,0.0025,2.857,NA,27,3.14,234.56,21.11
SEP,8,20,0.0233,0.0021,2.863,NA,23,3.01,246.04,19.52
SEP,8,21,0.0196,0.0021,2.859,NA,24,2.35,215.92,19.53
SEP,8,22,0.0164,0.0024,2.83,NA,27,1.87,203.52,19.49
SEP,8,23,0.0187,0.0023,2.739,NA,17,2.23,141.28,18.17
SEP,9,0,0.0199,0.0023,2.697,NA,25,2.2,156.82,17.08
SEP,9,1,0.0223,0.0057,2.72,NA,44,2.26,133.42,17.15
SEP,9,2,0.0179,0.0072,2.73,NA,59,2.15,127.09,16.86
SEP,9,3,0.02,0.0051,2.702,NA,37,2.06,111.8,16.85
SEP,9,4,0.0134,0.0042,2.712,NA,24,2.05,88.25,16.63
SEP,9,5,0.0131,0.0038,2.78,NA,28,2.5,124.35,16.3
