DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR,RADSOL
FEB,10,15,31.44,6.44,2.45,4.13,3.03,260.75,28.90,28.59,803.82
FEB,10,16,31.62,5.88,2.45,11.74,3.43,278.89,29.67,25.12,656.39
FEB,10,17,29.19,5.23,2.43,11.15,3.45,265.14,29.69,22.19,465.89
FEB,10,18,28.27,4.81,2.44,15.75,3.76,262.33,28.92,21.24,243.10
FEB,10,19,24.23,5.27,2.61,24.12,2.98,267.81,26.52,25.88,39.74
FEB,10,20,12.09,6.07,2.83,41.94,2.76,264.63,23.77,30.79,2.55
FEB,10,21,7.68,6.07,2.89,55.02,1.98,228.49,21.91,32.72,2.68
FEB,10,22,11.88,6.02,2.56,52.12,2.73,235.96,20.66,33.69,2.82
FEB,10,23,12.35,5.23,2.52,25.95,2.99,280.99,19.19,35.87,2.91
FEB,11,0,8.27,5.96,2.67,34.33,1.81,276.35,18.15,40.41,2.91
FEB,11,1,7.34,6.77,2.68,30.22,1.58,272.13,17.03,42.25,2.99
FEB,11,2,6.83,8.42,2.62,41.89,1.64,245.21,16.32,46.69,3.00
FEB,11,3,8.50,7.48,2.57,33.27,1.82,238.56,15.58,48.20,3.08
FEB,11,4,10.53,7.23,2.43,17.74,1.48,286.92,14.84,47.72,3.16
FEB,11,5,10.73,6.57,2.43,11.95,1.07,256.66,14.01,48.09,3.16
FEB,11,6,9.12,7.91,2.61,26.86,1.24,149.65,12.86,55.99,3.26
FEB,11,7,7.15,8.81,2.89,52.12,1.19,139.70,12.00,61.52,3.26
FEB,11,8,6.89,10.41,3.42,82.90,1.50,119.68,12.32,65.23,35.94
FEB,11,9,4.56,9.78,2.92,130.85,2.00,112.54,16.38,55.33,233.86
FEB,11,10,8.00,10.08,2.73,96.32,1.39,152.73,21.59,40.69,452.68
FEB,11,11,17.49,9.03,2.70,55.10,1.64,223.60,24.66,35.14,639.97
FEB,11,12,25.28,8.29,2.67,33.81,2.06,259.17,26.14,32.80,781.49
FEB,11,13,33.13,7.81,2.51,12.07,2.24,226.01,27.49,29.85,863.25
FEB,11,14,37.22,7.58,2.54,7.25,2.07,217.66,28.97,27.44,709.03
FEB,11,15,42.70,7.27,2.50,11.91,2.33,261.50,30.12,25.51,786.10
FEB,11,16,46.09,6.97,2.50,21.74,2.61,187.66,30.60,24.00,643.55
FEB,11,17,45.94,7.46,2.47,21.40,2.36,212.16,30.32,24.90,411.31
FEB,11,18,44.42,6.71,2.56,24.47,2.09,254.81,28.72,27.81,134.91
FEB,11,19,37.67,7.02,2.56,44.51,3.41,191.28,26.56,32.14,26.31
FEB,11,20,28.10,6.88,2.57,45.07,3.73,198.74,24.50,34.52,2.49
FEB,11,21,24.71,6.49,2.52,45.17,4.13,248.64,22.83,36.24,2.62
FEB,11,22,24.00,5.76,2.50,34.13,3.10,223.94,21.22,41.67,2.69
FEB,11,23,19.73,6.11,2.49,30.83,2.21,226.22,19.15,46.32,2.82
FEB,12,0,17.19,5.83,2.48,20.87,2.03,289.02,18.29,46.16,2.90
FEB,12,1,18.82,6.12,2.42,23.96,2.46,267.83,17.45,48.37,2.95
FEB,12,2,17.80,7.98,2.41,16.06,2.19,254.67,16.58,49.84,3.08
FEB,12,3,18.62,7.96,2.42,16.99,2.45,292.19,15.48,53.93,3.09
FEB,12,4,16.83,7.80,2.43,12.45,2.05,277.98,14.57,58.01,3.17
FEB,12,5,14.10,7.61,2.45,16.62,1.89,247.20,14.12,62.83,4.81
FEB,12,6,9.25,7.51,2.49,22.45,2.26,223.68,14.00,70.98,5.41
FEB,12,7,7.23,7.78,2.59,18.23,2.46,239.31,14.22,76.95,3.17
FEB,12,8,4.36,8.10,2.81,26.08,2.00,230.05,14.87,76.14,39.19
FEB,12,9,7.26,8.36,2.75,25.93,1.95,215.42,18.76,67.78,241.26
FEB,12,10,15.05,8.53,2.53,23.53,2.27,211.31,21.28,54.74,467.29
FEB,12,11,22.11,8.45,2.48,8.20,2.20,218.60,23.76,43.67,679.03
FEB,12,12,28.26,8.15,2.46,8.45,2.37,178.19,24.81,38.53,771.59
FEB,12,13,29.74,8.44,2.46,16.21,3.27,203.18,26.13,32.39,824.69
FEB,12,14,27.65,7.73,2.46,41.05,5.44,254.99,26.86,26.01,832.00
FEB,12,15,32.23,6.86,2.49,25.84,5.32,274.90,27.28,26.55,803.35
FEB,12,16,33.21,6.55,2.46,27.53,4.97,267.29,27.59,23.51,663.52
FEB,12,17,34.88,6.73,2.47,25.75,4.98,262.81,26.96,23.71,404.82
FEB,12,18,28.22,6.85,2.49,28.86,4.79,263.37,26.06,23.55,206.06
FEB,12,19,20.35,6.81,2.58,33.53,4.06,266.38,23.72,26.88,17.65
FEB,12,20,18.99,6.95,2.64,40.83,3.36,256.37,21.53,31.84,2.74
FEB,12,21,22.80,7.09,2.56,33.13,3.62,247.59,20.42,33.76,2.77
FEB,12,22,16.69,7.06,2.54,30.37,2.52,249.35,19.24,36.22,2.89
FEB,12,23,12.44,6.75,2.56,26.93,1.81,227.44,18.27,38.18,2.96
FEB,13,0,9.89,7.11,2.58,29.76,1.60,168.99,17.48,40.93,2.99
FEB,13,1,6.78,9.75,2.59,36.15,1.31,168.73,16.79,42.59,3.05
FEB,13,2,4.00,9.60,2.59,42.01,1.36,228.10,15.97,43.47,3.03
FEB,13,3,4.09,7.89,2.63,30.93,1.29,238.87,15.54,46.52,3.09
FEB,13,4,5.31,7.94,2.62,27.80,1.15,235.59,15.49,48.34,3.06
FEB,13,5,5.17,12.76,2.61,34.46,1.10,228.74,14.78,49.14,3.13
FEB,13,6,5.10,9.09,2.66,44.11,1.64,85.18,13.93,56.06,3.21
FEB,13,7,4.02,8.80,2.75,54.60,1.84,112.64,12.43,62.48,3.30
FEB,13,8,3.24,8.68,2.81,58.93,1.91,130.23,12.52,62.64,41.63
FEB,13,9,5.28,8.72,2.92,56.28,2.71,105.75,16.54,52.02,260.79
FEB,13,10,11.07,9.65,2.72,43.39,3.28,108.92,20.03,41.33,477.40
FEB,13,11,22.66,9.54,2.56,38.42,2.97,125.27,23.05,34.36,707.20
FEB,13,12,25.54,8.28,2.52,21.32,2.67,122.23,24.65,30.91,770.50
FEB,13,13,33.55,6.39,2.55,18.41,2.49,127.60,26.37,28.31,823.61
FEB,13,14,33.68,6.09,2.52,10.43,2.41,145.51,27.71,24.25,755.05
FEB,13,15,39.12,6.13,2.54,16.82,2.65,248.47,28.43,24.25,773.87
FEB,13,16,39.32,6.15,2.52,12.28,3.30,253.51,28.99,23.99,690.93
FEB,13,17,43.16,6.29,2.56,27.12,3.07,267.08,28.48,24.72,433.80
FEB,13,18,42.86,6.28,2.59,33.25,2.66,260.81,27.49,26.06,201.61
