DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),TEMP (°C),WS (m/s),WD (°),HR (%)
OCT,10,5,0.001,0.006,3.09,NA,55,14.45,1.63,160.59,78.12
OCT,10,6,0.003,0.004,3.18,NA,52,14.16,1.24,130.42,80
OCT,10,7,0.001,0.004,3.41,NA,55,13.39,1.6,112.71,84.73
OCT,10,8,0.002,0.004,3.40,NA,85,15.08,1.74,139.93,78.83
OCT,10,9,0.007,0.012,3.37,NA,86,19.04,2.07,108.5,64.17
OCT,10,10,0.025,0.009,3.20,NA,60,23.13,1.59,193.9,52.09
OCT,10,11,0.046,0.005,3.12,NA,38,24.72,2.19,223.37,48.74
OCT,10,12,0.057,0.004,3.08,NA,40,26.3,2.2,218.95,42.8
OCT,10,13,0.065,0.003,3.09,NA,38,27.61,2.24,156.99,37.35
OCT,10,14,0.069,0.003,3.04,NA,41,28.75,2.3,209.71,33.35
OCT,10,15,0.067,0.005,3.00,NA,47,29.45,2.4,142.9,29.2
OCT,10,16,0.063,0.005,2.94,NA,42,29.98,2.43,177.77,25.94
OCT,10,17,0.066,0.010,3.01,NA,43,29.81,2.15,219.56,26.1
OCT,10,18,0.069,0.011,3.13,NA,51,27.86,3.52,291.78,30.8
OCT,10,19,0.052,0.015,3.19,NA,59,23.7,5.18,112.11,42.13
OCT,10,20,0.046,0.010,3.22,NA,48,23.5,4.59,230.21,37.64
OCT,10,21,0.042,0.004,3.16,NA,49,23.12,3.49,243.89,44.23
OCT,10,22,0.041,0.003,3.12,NA,47,21.46,2.51,206.03,54.34
OCT,10,23,0.036,0.003,3.10,NA,46,20.97,1.88,165.96,56.14
OCT,11,0,0.035,0.003,3.03,NA,43,20.18,1.78,127.59,59.72
OCT,11,1,0.026,0.004,3.10,NA,45,18.94,1.9,87.27,63.66
OCT,11,2,0.015,0.006,3.09,NA,45,17.4,1.82,120.01,69.64
OCT,11,3,0.007,0.008,3.09,NA,56,16.59,1.86,136.77,72.02
OCT,11,4,0.018,0.005,3.07,NA,49,16.03,1.8,120.67,74.33
OCT,11,5,0.015,0.006,3.07,NA,46,15.06,2.38,130.66,76.58
OCT,11,6,0.007,0.011,3.14,NA,58,14.12,2.31,121.24,78.33
OCT,11,7,0.002,0.006,3.23,NA,48,13.57,2.11,127.49,76.64
OCT,11,8,0.004,0.008,3.30,NA,68,14.32,1.97,130.16,76.27
OCT,11,9,0.016,0.030,3.25,NA,76,18.65,2.5,122.1,61.79
OCT,11,10,0.027,0.023,3.18,NA,80,20.92,3.55,84.63,50.41
OCT,11,11,0.042,0.009,3.09,NA,41,23.77,3.24,99.18,38.95
OCT,11,12,0.055,0.008,3.03,NA,32,26.26,2.54,101.57,29.98
OCT,11,13,0.062,0.007,3.00,NA,29,28.19,2.7,128.58,23.44
OCT,11,14,0.061,0.004,2.97,NA,27,29.32,2.86,126.68,19.97
OCT,11,15,0.059,0.004,3.00,NA,28,29.75,2.82,115.03,18.52
OCT,11,16,0.064,0.004,2.93,NA,22,30.38,2.57,135.23,18.02
OCT,11,17,0.060,0.003,2.93,NA,25,29.96,2.51,122.83,17.93
OCT,11,18,0.059,0.005,2.95,NA,26,28.72,1.72,146.65,19.42
OCT,11,19,0.046,0.004,3.36,NA,75,25.66,1.54,199.4,20.54
OCT,11,20,0.013,0.008,4.14,NA,113,23.82,2.17,175.14,25.56
OCT,11,21,0.024,0.013,3.25,NA,66,22.6,2.53,156.11,28.51
OCT,11,22,0.031,0.007,3.10,NA,77,20.26,3.05,194.02,58.94
OCT,11,23,0.030,0.005,3.05,NA,56,18.86,2.14,139.61,66.91
OCT,12,0,0.027,0.005,3.07,NA,39,18.15,1.86,118.79,67.13
OCT,12,1,0.018,0.013,3.01,NA,38,17.56,1.93,108.21,50.97
OCT,12,2,0.009,0.035,2.98,NA,63,15.51,2.22,126.73,50.92
OCT,12,3,0.015,0.007,2.94,NA,53,14.47,1.99,125.34,52.72
OCT,12,4,0.010,0.029,2.98,NA,53,14.15,2.46,120.44,57.08
OCT,12,5,0.006,0.009,3.05,NA,50,13.4,2.13,88.32,61.84
OCT,12,6,0.002,0.008,3.18,NA,40,12.94,1.96,132.79,65.24
OCT,12,7,0.000,0.016,3.28,NA,61,12.74,2.16,122.91,69.14
OCT,12,8,0.002,0.012,3.30,NA,70,14.3,2.38,117.23,67.63
OCT,12,9,0.009,0.007,3.23,NA,64,17.33,3.22,100.49,60.55
OCT,12,10,0.019,0.007,3.15,NA,60,20.95,2.37,108.88,55.57
OCT,12,11,0.036,0.007,3.08,NA,39,25.19,2.11,232.73,47.64
OCT,12,12,0.048,0.005,3.13,NA,37,26.79,2.2,237.21,42.59
OCT,12,13,0.061,0.025,3.10,NA,40,27.93,2.12,220.46,34.9
OCT,12,14,0.070,0.037,2.97,NA,45,28.91,2.54,168.95,27.53
OCT,12,15,0.055,0.007,2.94,NA,37,29.86,3.17,127.9,20.57
OCT,12,16,0.057,0.004,2.91,NA,33,29.69,3.71,136.8,20.58
OCT,12,17,0.047,0.004,2.93,NA,66,25.96,5.85,167.41,35.56
OCT,12,18,0.033,0.002,2.98,NA,71,22.61,6.1,176.47,44.3
OCT,12,19,0.028,0.002,2.96,NA,42,21.84,5.32,168.96,51.97
OCT,12,20,0.024,0.003,3.04,NA,33,21.1,4.83,105.51,55.32
OCT,12,21,0.034,0.004,2.98,NA,50,18.76,6.18,73.06,63.53
OCT,12,22,0.035,0.019,2.93,NA,28,17.22,5.41,55.73,68.86
OCT,12,23,0.032,0.012,2.94,NA,24,16.86,3.79,129.18,71.64
OCT,13,0,0.021,0.012,3.00,NA,22,16.01,3.66,103.56,81.84
OCT,13,1,0.016,0.008,3.00,NA,21,15.71,3.39,89.33,83.41
OCT,13,2,0.013,0.008,3.01,NA,19,15.33,2.76,120.85,84.3
OCT,13,3,0.007,0.010,3.09,NA,31,14.7,2.07,117.13,85.95
OCT,13,4,0.009,0.007,3.00,NA,25,14.4,2.62,83.75,86.76
OCT,13,5,0.005,0.004,2.98,NA,23,13.99,2.43,96.16,87.82
OCT,13,6,0.001,0.004,3.14,NA,28,13.47,1.65,112.61,88.72
OCT,13,7,0.002,0.004,3.24,NA,34,13.36,1.89,89.54,89.58
OCT,13,8,0.002,0.009,3.33,NA,43,15.26,2.03,110.18,87.22
OCT,13,9,0.009,0.007,3.21,NA,44,19.37,3.2,98.67,73.18
OCT,13,10,0.021,0.005,3.04,NA,30,21.72,4.14,99.26,61.18
OCT,13,11,0.033,0.004,3.03,NA,24,23.32,4.85,93.06,53.38
OCT,13,12,0.042,0.004,3.05,NA,22,25.03,4.51,88.1,46.94
OCT,13,13,0.049,0.004,3.05,NA,28,26.49,4.22,79.52,40.2
OCT,13,14,0.048,0.004,3.02,NA,24,27.44,4.08,93,37
OCT,13,15,0.045,0.007,3.41,NA,134,28,3.99,88.01,34.31
OCT,13,16,0.045,0.010,3.03,NA,33,28.38,4.52,73.03,33.15
OCT,13,17,0.041,0.012,3.06,NA,29,27.57,4.2,57.29,34.8
OCT,13,18,0.038,0.011,3.06,NA,25,26.26,5.12,60.11,39.29
OCT,13,19,0.032,0.007,3.04,NA,20,23.89,5.15,49.08,46.78
OCT,13,20,0.029,0.009,3.01,NA,21,22.04,5.69,47.08,52.33
OCT,13,21,0.027,0.007,2.99,NA,22,20.73,4.25,56.82,57.25
OCT,13,22,0.025,0.009,2.96,NA,19,19.56,4.14,69.12,62.45
OCT,13,23,0.022,0.008,3.01,NA,78,18.2,3.71,93.24,68.95
OCT,14,0,0.023,0.006,2.93,NA,54,17.28,3.49,77.26,72.78
OCT,14,1,0.023,0.004,2.92,NA,21,16.64,3.09,69.44,75.4
OCT,14,2,0.021,0.004,2.91,NA,15,16.21,3.45,82.12,77.99
OCT,14,3,0.020,0.006,2.91,NA,30,15.93,3.04,73.82,80.4
OCT,14,4,0.020,0.019,2.93,NA,21,16.22,2.99,84.68,77.67
OCT,14,5,0.008,0.009,2.98,NA,23,14.18,2.27,108.08,84.93
OCT,14,6,0.006,0.006,3.04,NA,27,13.82,1.96,125.13,87.03
OCT,14,7,0.001,0.010,3.23,NA,38,13.48,1.88,103.38,87.08
OCT,14,8,0.004,0.006,3.24,NA,37,15.73,2.69,93.07,83.08
OCT,14,9,0.012,0.005,3.11,NA,32,19.37,2.4,83.65,70.11
OCT,14,10,0.020,0.012,3.04,NA,35,22.84,2.23,115.74,55.63
OCT,14,11,0.030,0.005,2.96,NA,19,24.02,3.15,108.91,47.73
OCT,14,12,0.036,0.006,2.98,NA,17,26.31,2.67,129.21,41.24
OCT,14,13,0.041,0.012,2.96,NA,23,27.4,2.43,228.09,37.09
